network_connection,fc,within_network
ContA-ContA,0.273732284750378,True
ContA-ContB,0.17207791138375284,False
ContA-ContC,0.10687810496791744,False
ContA-DefaultA,0.12990333678920635,False
ContA-DefaultB,0.13199600474736511,False
ContA-DefaultC,0.058272673085873236,False
ContA-DorsAttnA,-0.0010466568508033032,False
ContA-DorsAttnB,0.049905405866125845,False
ContA-LimbicA,0.20000839598267206,False
ContA-LimbicB,0.07751047592287529,False
ContA-SalVentAttnA,-0.0259759323384742,False
ContA-SalVentAttnB,0.07511196540634009,False
ContA-SomMotA,-0.013447550329071902,False
ContA-SomMotB,-0.06291903774410901,False
ContA-TempPar,0.07631255991968314,False
ContA-VisCent,0.044650274086243696,False
ContA-VisPeri,-0.040294810626413505,False
ContB-ContB,0.22535713487808143,True
ContB-ContC,0.09480788893001714,False
ContB-DefaultA,0.07236491511758063,False
ContB-DefaultB,0.10694992842199413,False
ContB-DefaultC,0.13564875262508286,False
ContB-DorsAttnA,0.037148833693633046,False
ContB-DorsAttnB,0.08127142897904843,False
ContB-LimbicA,0.07230677351899951,False
ContB-LimbicB,-0.017119311351344212,False
ContB-SalVentAttnA,-0.051977373070777856,False
ContB-SalVentAttnB,-0.03696068786009619,False
ContB-SomMotA,0.016606201719298844,False
ContB-SomMotB,-0.04881629565470068,False
ContB-TempPar,0.21177985935110105,False
ContB-VisCent,0.10028919652454583,False
ContB-VisPeri,-0.02767275110536061,False
ContC-ContC,0.3151588248103835,True
ContC-DefaultA,0.2947143282335081,False
ContC-DefaultB,0.2169874548429923,False
ContC-DefaultC,0.03507683438630623,False
ContC-DorsAttnA,-0.06666462986386378,False
ContC-DorsAttnB,0.048824821039513105,False
ContC-LimbicA,0.1518029782670999,False
ContC-LimbicB,0.1706518330672786,False
ContC-SalVentAttnA,0.0034324629646694162,False
ContC-SalVentAttnB,0.12784873343368913,False
ContC-SomMotA,0.018316159896660168,False
ContC-SomMotB,-0.0360827793705917,False
ContC-TempPar,-0.0054385783692576595,False
