network_connection,fc,within_network
ContA-ContA,0.1315073098397831,True
ContA-ContB,0.11994540106511192,False
ContA-ContC,0.07655129375000502,False
ContA-DefaultA,0.09152899981301815,False
ContA-DefaultB,0.08894699407172078,False
ContA-DefaultC,0.07673618196411532,False
ContA-DorsAttnA,-0.029505606949792065,False
ContA-DorsAttnB,0.020395472734400524,False
ContA-LimbicA,0.11143154767933126,False
ContA-LimbicB,0.03715164081413115,False
ContA-SalVentAttnA,-0.02043258783643321,False
ContA-SalVentAttnB,0.05155468499871955,False
ContA-SomMotA,-0.03645588207373641,False
ContA-SomMotB,-0.045322888193473666,False
ContA-TempPar,0.10254604298821701,False
ContA-VisCent,0.009809732762260461,False
ContA-VisPeri,-0.04682107907057391,False
ContB-ContB,0.16775110743722868,True
ContB-ContC,0.08557752925043724,False
ContB-DefaultA,0.07785143890963764,False
ContB-DefaultB,0.10492632031894124,False
ContB-DefaultC,0.14641508559844815,False
ContB-DorsAttnA,-0.019695607826470493,False
ContB-DorsAttnB,0.0222613721149507,False
ContB-LimbicA,0.07917033504622333,False
ContB-LimbicB,0.021398362315035478,False
ContB-SalVentAttnA,-0.029946783053649634,False
ContB-SalVentAttnB,0.013228255870825108,False
ContB-SomMotA,-0.04207366499881378,False
ContB-SomMotB,-0.05358447560743126,False
ContB-TempPar,0.19657421292674054,False
ContB-VisCent,0.009593405406045535,False
ContB-VisPeri,-0.06999886144476095,False
ContC-ContC,0.18932546392514948,True
ContC-DefaultA,0.18075344550746214,False
ContC-DefaultB,0.11903287762743209,False
ContC-DefaultC,0.004274166236295994,False
ContC-DorsAttnA,-0.033826120963189266,False
ContC-DorsAttnB,-0.0003429359505346297,False
ContC-LimbicA,0.0995367041885058,False
ContC-LimbicB,0.07760416865750966,False
ContC-SalVentAttnA,-0.007842955170265157,False
ContC-SalVentAttnB,0.07406974960614833,False
ContC-SomMotA,-0.004593553204271431,False
ContC-SomMotB,-0.025409918991172228,False
ContC-TempPar,0.04294486389480571,False
ContC-VisCent,0.024095132797718594,False
ContC-VisPeri,-0.03334556076824163,False
DefaultA-DefaultA,0.18890582980400328,True
DefaultA-DefaultB,0.12431987715596249,False
DefaultA-DefaultC,-0.014604090840727876,False
DefaultA-DorsAttnA,-0.022849821216714264,False
DefaultA-DorsAttnB,0.0079319140378561,False
DefaultA-LimbicA,0.11337154778053632,False
DefaultA-LimbicB,0.08096627677663601,False
DefaultA-SalVentAttnA,-0.0066271703534936995,False
DefaultA-SalVentAttnB,0.07864162392380174,False
DefaultA-SomMotA,0.0021228202892147703,False
DefaultA-SomMotB,-0.019354714414566765,False
DefaultA-TempPar,0.01850413239291961,False
DefaultA-VisCent,0.02927497423495849,False
DefaultA-VisPeri,-0.027299140784882197,False
DefaultB-DefaultB,0.1679241308551945,True
DefaultB-DefaultC,0.19531790346912173,False
DefaultB-DorsAttnA,-0.04674273043587117,False
DefaultB-DorsAttnB,-0.014761877915419892,False
DefaultB-LimbicA,0.07554332822933525,False
DefaultB-LimbicB,0.039650183738523234,False
DefaultB-SalVentAttnA,-0.019363000542496574,False
DefaultB-SalVentAttnB,0.02847841276244539,False
DefaultB-SomMotA,-0.041939409386166464,False
DefaultB-SomMotB,-0.03527827978144874,False
DefaultB-TempPar,0.13758760095234152,False
DefaultB-VisCent,0.0033313788766806043,False
DefaultB-VisPeri,-0.0529231190881839,False
DefaultC-DefaultC,0.4627106937372611,True
DefaultC-DorsAttnA,-0.08238738869926177,False
DefaultC-DorsAttnB,-0.021186129897805932,False
DefaultC-LimbicA,0.013368107368717273,False
DefaultC-LimbicB,-0.007881448672602258,False
DefaultC-SalVentAttnA,-0.02435075792814657,False
DefaultC-SalVentAttnB,-0.028758756541775843,False
DefaultC-SomMotA,-0.11101101231886908,False
DefaultC-SomMotB,-0.056875017642810194,False
DefaultC-TempPar,0.3620440745503274,False
DefaultC-VisCent,-0.023233755869475882,False
DefaultC-VisPeri,-0.09111364249002418,False
DorsAttnA-DorsAttnA,0.1658099487272228,True
DorsAttnA-DorsAttnB,0.03660447410149829,False
DorsAttnA-LimbicA,-0.019793927241277834,False
DorsAttnA-LimbicB,-0.015037679383158581,False
DorsAttnA-SalVentAttnA,0.024175496794099215,False
DorsAttnA-SalVentAttnB,-0.015457625654466102,False
DorsAttnA-SomMotA,0.0519725118812919,False
DorsAttnA-SomMotB,0.0649393248994412,False
DorsAttnA-TempPar,-0.08631759275332376,False
DorsAttnA-VisCent,0.005327108954777463,False
DorsAttnA-VisPeri,0.008361814546821951,False
DorsAttnB-DorsAttnB,0.047592922972477726,True
DorsAttnB-LimbicA,0.023382244838230405,False
DorsAttnB-LimbicB,0.024886367392884804,False
DorsAttnB-SalVentAttnA,0.013558575538429426,False
DorsAttnB-SalVentAttnB,0.029572122551636944,False
DorsAttnB-SomMotA,0.017814794281863177,False
DorsAttnB-SomMotB,0.013778128794094688,False
DorsAttnB-TempPar,-0.020109573603989774,False
DorsAttnB-VisCent,0.0358977800071136,False
DorsAttnB-VisPeri,0.02361824976657212,False
LimbicA-LimbicA,0.10615066879268288,True
LimbicA-LimbicB,0.07064640264439602,False
LimbicA-SalVentAttnA,-0.0007796124031607794,False
LimbicA-SalVentAttnB,0.08824306189512265,False
LimbicA-SomMotA,-0.027183234546846197,False
LimbicA-SomMotB,-0.02047007121227116,False
LimbicA-TempPar,0.026031303919536706,False
LimbicA-VisCent,0.01412561319223681,False
LimbicA-VisPeri,-0.03375402347439032,False
LimbicB-LimbicB,0.10640010290822814,True
LimbicB-SalVentAttnA,0.04407176331949556,False
LimbicB-SalVentAttnB,0.12250881750008744,False
LimbicB-SomMotA,-0.022507636045161775,False
LimbicB-SomMotB,0.030695974408258248,False
LimbicB-TempPar,-0.03393830933115368,False
LimbicB-VisCent,0.03341914744665886,False
LimbicB-VisPeri,-0.017838325999981593,False
SalVentAttnA-SalVentAttnA,0.046467464484252256,True
SalVentAttnA-SalVentAttnB,0.051642719547897176,False
SalVentAttnA-SomMotA,-0.0057213761213989,False
SalVentAttnA-SomMotB,0.04331877151105902,False
SalVentAttnA-TempPar,-0.05600949156665761,False
SalVentAttnA-VisCent,0.006608835467806358,False
SalVentAttnA-VisPeri,0.01499585013770187,False
SalVentAttnB-SalVentAttnB,0.14059493106581955,True
SalVentAttnB-SomMotA,-0.0512874794265226,False
SalVentAttnB-SomMotB,0.01785111900305663,False
SalVentAttnB-TempPar,-0.05498120376642996,False
SalVentAttnB-VisCent,0.016704534144441615,False
SalVentAttnB-VisPeri,-0.02677624608959927,False
SomMotA-SomMotA,0.13343702483487566,True
SomMotA-SomMotB,0.054496041943957366,False
SomMotA-TempPar,-0.08319530513591922,False
SomMotA-VisCent,0.0708654736094385,False
SomMotA-VisPeri,0.10833567349564902,False
SomMotB-SomMotB,0.08897746982155344,True
SomMotB-TempPar,-0.09383018444661773,False
SomMotB-VisCent,0.040841344373974235,False
SomMotB-VisPeri,0.0462265649699258,False
TempPar-TempPar,0.4921032210959561,True
TempPar-VisCent,-0.033571533455350785,False
TempPar-VisPeri,-0.11338843770132398,False
VisCent-VisCent,0.07623668039215617,True
VisCent-VisPeri,0.0742741754611676,False
VisPeri-VisPeri,0.16669087125487295,True
