network_connection,fc,within_network
ContA-ContA,0.2267285788877343,True
ContA-ContB,0.12238164406152408,False
ContA-ContC,0.11605605687507722,False
ContA-DefaultA,0.09007775535564815,False
ContA-DefaultB,0.08128536671288801,False
ContA-DefaultC,-0.009408121304591014,False
ContA-DorsAttnA,0.002922490374291985,False
ContA-DorsAttnB,0.06514195286387724,False
ContA-LimbicA,0.24182232186381106,False
ContA-LimbicB,0.1451421973841727,False
ContA-SalVentAttnA,-0.0012155015636908606,False
ContA-SalVentAttnB,0.17490400366966397,False
ContA-SomMotA,-0.1080744145091813,False
ContA-SomMotB,-0.040207438352546046,False
ContA-TempPar,-0.06204142405601454,False
ContA-VisCent,0.03697280826630504,False
ContA-VisPeri,-0.09255906358323829,False
ContB-ContB,0.1755666634265474,True
ContB-ContC,0.11171860529431901,False
ContB-DefaultA,0.0833507133132096,False
ContB-DefaultB,0.11571028371234408,False
ContB-DefaultC,0.07251841933580681,False
ContB-DorsAttnA,0.009998707840608332,False
ContB-DorsAttnB,0.04465062998948777,False
ContB-LimbicA,0.12742349890371157,False
ContB-LimbicB,0.05306533322794348,False
ContB-SalVentAttnA,-0.02686873691191544,False
ContB-SalVentAttnB,0.027501180009735917,False
ContB-SomMotA,-0.06805733876958757,False
ContB-SomMotB,-0.054730390103585665,False
ContB-TempPar,0.04979029116090517,False
ContB-VisCent,0.04492564113340049,False
ContB-VisPeri,-0.06008270172244733,False
ContC-ContC,0.276147252996757,True
ContC-DefaultA,0.23516354577089285,False
ContC-DefaultB,0.17944434646955368,False
ContC-DefaultC,-0.03877133172461108,False
ContC-DorsAttnA,0.0021169104890473556,False
ContC-DorsAttnB,0.05707805278318764,False
ContC-LimbicA,0.16824144794172877,False
ContC-LimbicB,0.1522103942912365,False
ContC-SalVentAttnA,-0.00600656759982547,False
ContC-SalVentAttnB,0.14381374763589813,False
ContC-SomMotA,-0.034345520860377926,False
ContC-SomMotB,-0.03876352635871845,False
ContC-TempPar,-0.12252273849041634,False
ContC-VisCent,0.060499212814712204,False
ContC-VisPeri,-0.04653153788651696,False
DefaultA-DefaultA,0.22748377723536203,True
DefaultA-DefaultB,0.18633870422283283,False
DefaultA-DefaultC,-0.004181642071585879,False
DefaultA-DorsAttnA,-0.005961780064351746,False
DefaultA-DorsAttnB,0.03818020964366768,False
DefaultA-LimbicA,0.12249451709251319,False
DefaultA-LimbicB,0.12604407134303225,False
DefaultA-SalVentAttnA,-0.00746386447071285,False
DefaultA-SalVentAttnB,0.11365605969553277,False
DefaultA-SomMotA,-0.033244235696003696,False
DefaultA-SomMotB,-0.035085941572781276,False
DefaultA-TempPar,-0.09513148826379192,False
DefaultA-VisCent,0.05317914341772527,False
DefaultA-VisPeri,-0.04953588318239423,False
DefaultB-DefaultB,0.22593625993749378,True
DefaultB-DefaultC,0.13770637529647337,False
DefaultB-DorsAttnA,-0.028471528396034923,False
DefaultB-DorsAttnB,0.020606067610525997,False
DefaultB-LimbicA,0.10929597704279871,False
DefaultB-LimbicB,0.09059701139518753,False
DefaultB-SalVentAttnA,-0.01876800295778122,False
DefaultB-SalVentAttnB,0.06366854935939237,False
DefaultB-SomMotA,-0.049158084385267586,False
DefaultB-SomMotB,-0.04887904401904467,False
DefaultB-TempPar,-0.01743556742987172,False
DefaultB-VisCent,0.04563287173383973,False
DefaultB-VisPeri,-0.05555301398525177,False
DefaultC-DefaultC,0.3178180453815707,True
DefaultC-DorsAttnA,-0.07814044058240531,False
DefaultC-DorsAttnB,-0.03776964890254339,False
DefaultC-LimbicA,-0.012614815927719573,False
DefaultC-LimbicB,-0.009857028791449911,False
DefaultC-SalVentAttnA,-0.029606832204121955,False
DefaultC-SalVentAttnB,-0.04099347364353772,False
DefaultC-SomMotA,-0.07034763630322095,False
DefaultC-SomMotB,-0.04143201411381293,False
DefaultC-TempPar,0.2053015197722391,False
DefaultC-VisCent,-0.016238748917326625,False
DefaultC-VisPeri,-0.0789051285599723,False
DorsAttnA-DorsAttnA,0.21505050056112573,True
DorsAttnA-DorsAttnB,0.0715351912754337,False
DorsAttnA-LimbicA,0.031057558409069572,False
DorsAttnA-LimbicB,0.010819593506872137,False
DorsAttnA-SalVentAttnA,0.0434660329346764,False
DorsAttnA-SalVentAttnB,0.01926322181857076,False
DorsAttnA-SomMotA,-0.02548778240028312,False
DorsAttnA-SomMotB,0.023959385403612733,False
DorsAttnA-TempPar,-0.06906718738102374,False
DorsAttnA-VisCent,0.020063921953277355,False
DorsAttnA-VisPeri,-0.03049382192278499,False
DorsAttnB-DorsAttnB,0.08629558750148313,True
DorsAttnB-LimbicA,0.08003425225357907,False
DorsAttnB-LimbicB,0.06093594584911101,False
DorsAttnB-SalVentAttnA,0.015908741071472745,False
DorsAttnB-SalVentAttnB,0.06873573875473737,False
DorsAttnB-SomMotA,-0.041661139780909705,False
DorsAttnB-SomMotB,-0.015385456983582034,False
DorsAttnB-TempPar,-0.07054401615121715,False
DorsAttnB-VisCent,0.04724691962134886,False
DorsAttnB-VisPeri,-0.024164646005702926,False
LimbicA-LimbicA,0.27541649461605844,True
LimbicA-LimbicB,0.1814487619528694,False
LimbicA-SalVentAttnA,0.013283978932844316,False
LimbicA-SalVentAttnB,0.21448868580048952,False
LimbicA-SomMotA,-0.11509383970557124,False
LimbicA-SomMotB,-0.03442590834525848,False
LimbicA-TempPar,-0.0987719002678451,False
LimbicA-VisCent,0.04110710283259646,False
LimbicA-VisPeri,-0.11043136827196272,False
LimbicB-LimbicB,0.18175344276061703,True
LimbicB-SalVentAttnA,0.03591957376273888,False
LimbicB-SalVentAttnB,0.22812563949789386,False
LimbicB-SomMotA,-0.09555030527712743,False
LimbicB-SomMotB,-0.009504773102565565,False
LimbicB-TempPar,-0.10800467563524069,False
LimbicB-VisCent,0.03917810147584977,False
LimbicB-VisPeri,-0.09624743111647796,False
SalVentAttnA-SalVentAttnA,0.058929349738301794,True
SalVentAttnA-SalVentAttnB,0.07321606186584528,False
SalVentAttnA-SomMotA,-0.023738672299497145,False
SalVentAttnA-SomMotB,0.03290998716349845,False
SalVentAttnA-TempPar,-0.04334838132194984,False
SalVentAttnA-VisCent,-0.0009141696709728312,False
SalVentAttnA-VisPeri,-0.001574169603469221,False
SalVentAttnB-SalVentAttnB,0.31095783032268887,True
SalVentAttnB-SomMotA,-0.13698043983111155,False
SalVentAttnB-SomMotB,-0.010844891996780475,False
SalVentAttnB-TempPar,-0.11630856774914893,False
SalVentAttnB-VisCent,0.015562042039833093,False
SalVentAttnB-VisPeri,-0.11227631856539845,False
SomMotA-SomMotA,0.14486976141414756,True
SomMotA-SomMotB,0.04417332169164362,False
SomMotA-TempPar,-0.0315895767259649,False
SomMotA-VisCent,0.009725245156008722,False
SomMotA-VisPeri,0.12477917651895595,False
SomMotB-SomMotB,0.09988944263845193,True
SomMotB-TempPar,-0.028676132492162207,False
SomMotB-VisCent,0.0054804224733241425,False
SomMotB-VisPeri,0.018669043670715757,False
TempPar-TempPar,0.3452916639277177,True
TempPar-VisCent,-0.05764737702636294,False
TempPar-VisPeri,-0.029469739897682326,False
VisCent-VisCent,0.058998884311644975,True
VisCent-VisPeri,0.020698714314757605,False
VisPeri-VisPeri,0.18137700258007403,True
