network_connection,fc,within_network
ContA-ContA,0.24775537370670248,True
ContA-ContB,0.1841227559281522,False
ContA-ContC,0.11844123035238509,False
ContA-DefaultA,0.11747161769872856,False
ContA-DefaultB,0.1422109004129474,False
ContA-DefaultC,0.1297371223058637,False
ContA-DorsAttnA,-0.11967851505574127,False
ContA-DorsAttnB,0.026731310688497534,False
ContA-LimbicA,0.22044220815905058,False
ContA-LimbicB,0.11909936873861914,False
ContA-SalVentAttnA,-0.04077692573696945,False
ContA-SalVentAttnB,0.11963466687577483,False
ContA-SomMotA,-0.11961154407973319,False
ContA-SomMotB,-0.14200518197836465,False
ContA-TempPar,0.16589830011787834,False
ContA-VisCent,-0.022432208878778302,False
ContA-VisPeri,-0.07925624608666892,False
ContB-ContB,0.19067857089878573,True
ContB-ContC,0.13902847784099742,False
ContB-DefaultA,0.11219383078521876,False
ContB-DefaultB,0.14663020848595373,False
ContB-DefaultC,0.1614646863430568,False
ContB-DorsAttnA,-0.06473739105115331,False
ContB-DorsAttnB,0.03438765865448241,False
ContB-LimbicA,0.13635677662870158,False
ContB-LimbicB,0.0654441743260732,False
ContB-SalVentAttnA,-0.053765624884875525,False
ContB-SalVentAttnB,0.056634377250917294,False
ContB-SomMotA,-0.11346467046196822,False
ContB-SomMotB,-0.13475106654212404,False
ContB-TempPar,0.21920809000532934,False
ContB-VisCent,-0.017567538688584527,False
ContB-VisPeri,-0.09283209407981897,False
ContC-ContC,0.2122742985021861,True
ContC-DefaultA,0.20232243067273917,False
ContC-DefaultB,0.18317647624418934,False
ContC-DefaultC,0.11946292981120127,False
ContC-DorsAttnA,-0.07184849267210054,False
ContC-DorsAttnB,0.040028503263745845,False
ContC-LimbicA,0.12985643870226102,False
ContC-LimbicB,0.12293018007587399,False
ContC-SalVentAttnA,-0.03629213618515938,False
ContC-SalVentAttnB,0.10088067374890337,False
ContC-SomMotA,-0.08805059874648,False
ContC-SomMotB,-0.11683910649351097,False
ContC-TempPar,0.10075512744407629,False
ContC-VisCent,0.01491248739751072,False
ContC-VisPeri,-0.08286407263356832,False
DefaultA-DefaultA,0.20033979405517016,True
DefaultA-DefaultB,0.18488985332171914,False
DefaultA-DefaultC,0.11599752479721032,False
DefaultA-DorsAttnA,-0.08152830190836312,False
DefaultA-DorsAttnB,0.028996962013619655,False
DefaultA-LimbicA,0.10982568256697618,False
DefaultA-LimbicB,0.1250437360330643,False
DefaultA-SalVentAttnA,-0.02654830080828583,False
DefaultA-SalVentAttnB,0.08369851975513753,False
DefaultA-SomMotA,-0.0824796397761435,False
DefaultA-SomMotB,-0.10736478401768375,False
DefaultA-TempPar,0.08560461261956488,False
DefaultA-VisCent,0.02106077913483158,False
DefaultA-VisPeri,-0.07868376297773806,False
DefaultB-DefaultB,0.25161454432637126,True
DefaultB-DefaultC,0.267102075534022,False
DefaultB-DorsAttnA,-0.11281506886799514,False
DefaultB-DorsAttnB,0.003558036252466928,False
DefaultB-LimbicA,0.10971995028507148,False
DefaultB-LimbicB,0.11009879368973831,False
DefaultB-SalVentAttnA,-0.06527325534191189,False
DefaultB-SalVentAttnB,0.04830401142832524,False
DefaultB-SomMotA,-0.1229533641145947,False
DefaultB-SomMotB,-0.15190727116489014,False
DefaultB-TempPar,0.2145912750882186,False
DefaultB-VisCent,-0.007986953645154442,False
DefaultB-VisPeri,-0.1046930792910966,False
DefaultC-DefaultC,0.4221903406313957,True
DefaultC-DorsAttnA,-0.1593045749433953,False
DefaultC-DorsAttnB,-0.02024688759762947,False
DefaultC-LimbicA,0.05655004458793453,False
DefaultC-LimbicB,0.08815932438901462,False
DefaultC-SalVentAttnA,-0.0998543487010324,False
DefaultC-SalVentAttnB,-0.0014508088029007694,False
DefaultC-SomMotA,-0.14409109930533115,False
DefaultC-SomMotB,-0.185235701245627,False
DefaultC-TempPar,0.39287154236620897,False
DefaultC-VisCent,-0.022615940258450443,False
DefaultC-VisPeri,-0.1253135768281241,False
DorsAttnA-DorsAttnA,0.25119140420735353,True
DorsAttnA-DorsAttnB,0.06097592789000586,False
DorsAttnA-LimbicA,-0.07968550286737539,False
DorsAttnA-LimbicB,-0.09318136127004034,False
DorsAttnA-SalVentAttnA,0.04551290605335339,False
DorsAttnA-SalVentAttnB,-0.0786131136783663,False
DorsAttnA-SomMotA,0.03881186922985642,False
DorsAttnA-SomMotB,0.11684204848347018,False
DorsAttnA-TempPar,-0.16842002013622961,False
DorsAttnA-VisCent,-0.01348016009420625,False
DorsAttnA-VisPeri,-0.027293193778809885,False
DorsAttnB-DorsAttnB,0.09178380406604952,True
DorsAttnB-LimbicA,0.04841930583892874,False
DorsAttnB-LimbicB,0.053858373364764754,False
DorsAttnB-SalVentAttnA,0.02175418659848481,False
DorsAttnB-SalVentAttnB,0.05440237280105544,False
DorsAttnB-SomMotA,-0.026880118423528034,False
DorsAttnB-SomMotB,-0.03814592843488554,False
DorsAttnB-TempPar,-0.02121588591475962,False
DorsAttnB-VisCent,0.015344253247551877,False
DorsAttnB-VisPeri,-0.031712417811385146,False
LimbicA-LimbicA,0.22289553038208285,True
LimbicA-LimbicB,0.153147724431172,False
LimbicA-SalVentAttnA,-0.004393542957447843,False
LimbicA-SalVentAttnB,0.16796819309912722,False
LimbicA-SomMotA,-0.1098905054757127,False
LimbicA-SomMotB,-0.1132297991602106,False
LimbicA-TempPar,0.07158141345003068,False
LimbicA-VisCent,-0.022653453086110956,False
LimbicA-VisPeri,-0.07796096916725384,False
LimbicB-LimbicB,0.18683548943294645,True
LimbicB-SalVentAttnA,0.019707014392063613,False
LimbicB-SalVentAttnB,0.18534108958895146,False
LimbicB-SomMotA,-0.08745623189952484,False
LimbicB-SomMotB,-0.08657131803155153,False
LimbicB-TempPar,0.05705184873535243,False
LimbicB-VisCent,0.008454611825671341,False
LimbicB-VisPeri,-0.08099469088797304,False
SalVentAttnA-SalVentAttnA,0.07457982415553673,True
SalVentAttnA-SalVentAttnB,0.04856532334630908,False
SalVentAttnA-SomMotA,0.014792994492989441,False
SalVentAttnA-SomMotB,0.060679764213971366,False
SalVentAttnA-TempPar,-0.09492493049605019,False
SalVentAttnA-VisCent,-0.0006197251721828329,False
SalVentAttnA-VisPeri,0.027964007655911623,False
SalVentAttnB-SalVentAttnB,0.2158805831443352,True
SalVentAttnB-SomMotA,-0.08645802873223934,False
SalVentAttnB-SomMotB,-0.06261753381883986,False
SalVentAttnB-TempPar,0.02315139170677365,False
SalVentAttnB-VisCent,-0.003051335417181696,False
SalVentAttnB-VisPeri,-0.050182805499803564,False
SomMotA-SomMotA,0.16842420200277708,True
SomMotA-SomMotB,0.10634437723983332,False
SomMotA-TempPar,-0.15039475599293112,False
SomMotA-VisCent,0.05214733882568554,False
SomMotA-VisPeri,0.1597911537811578,False
SomMotB-SomMotB,0.19822571568017408,True
SomMotB-TempPar,-0.20414656924361946,False
SomMotB-VisCent,0.02117102723110978,False
SomMotB-VisPeri,0.046651686366179126,False
TempPar-TempPar,0.5225856909546941,True
TempPar-VisCent,-0.04611241028818839,False
TempPar-VisPeri,-0.10799305954030593,False
VisCent-VisCent,0.05833964903483447,True
VisCent-VisPeri,0.05242841259116112,False
VisPeri-VisPeri,0.24335378631937307,True
