network_connection,fc,within_network
ContA-ContA,0.24688866336263476,True
ContA-ContB,0.11189691042042021,False
ContA-ContC,0.0811028182886355,False
ContA-DefaultA,0.14025268058212587,False
ContA-DefaultB,0.13396818795680518,False
ContA-DefaultC,0.007602498834662279,False
ContA-DorsAttnA,0.00725807846493302,False
ContA-DorsAttnB,0.030963404624430087,False
ContA-LimbicA,0.2468453753815048,False
ContA-LimbicB,0.1712039573195225,False
ContA-SalVentAttnA,0.02317354463502919,False
ContA-SalVentAttnB,0.18341123057986813,False
ContA-SomMotA,-0.1369392444646964,False
ContA-SomMotB,-0.01348616760645184,False
ContA-TempPar,-0.07364464405581189,False
ContA-VisCent,0.01069663316029962,False
ContA-VisPeri,-0.08834716245426175,False
ContB-ContB,0.20900526456445828,True
ContB-ContC,0.12172736826309657,False
ContB-DefaultA,0.06419127906178508,False
ContB-DefaultB,0.09474240192320543,False
ContB-DefaultC,0.22668936421412883,False
ContB-DorsAttnA,-0.0911999279283873,False
ContB-DorsAttnB,0.009873000483809473,False
ContB-LimbicA,0.09917886101070313,False
ContB-LimbicB,0.10157690493181543,False
ContB-SalVentAttnA,-0.04240586303299767,False
ContB-SalVentAttnB,0.07212539223652849,False
ContB-SomMotA,-0.15716879987540935,False
ContB-SomMotB,-0.08407742175790615,False
ContB-TempPar,0.13688884896125197,False
ContB-VisCent,0.017290398467175824,False
ContB-VisPeri,-0.1473239028923293,False
ContC-ContC,0.21517039671951665,True
ContC-DefaultA,0.16218388383472557,False
ContC-DefaultB,0.11152997172866737,False
ContC-DefaultC,0.094832812954511,False
ContC-DorsAttnA,-0.0765566453449621,False
ContC-DorsAttnB,-0.01825895930120311,False
ContC-LimbicA,0.1118143368510318,False
ContC-LimbicB,0.15057867756864185,False
ContC-SalVentAttnA,-0.021555246894632864,False
ContC-SalVentAttnB,0.125088451057347,False
ContC-SomMotA,-0.10754984259413503,False
ContC-SomMotB,-0.0781897635043987,False
ContC-TempPar,0.013556736113880601,False
ContC-VisCent,0.015037851365440351,False
ContC-VisPeri,-0.10416672188226217,False
DefaultA-DefaultA,0.22519284924847016,True
DefaultA-DefaultB,0.1854724946039455,False
DefaultA-DefaultC,0.0081371135680235,False
DefaultA-DorsAttnA,-0.007614853902679963,False
DefaultA-DorsAttnB,-0.012918556266648415,False
DefaultA-LimbicA,0.1566025416818219,False
DefaultA-LimbicB,0.12882147859726176,False
DefaultA-SalVentAttnA,0.004754894487132196,False
DefaultA-SalVentAttnB,0.12884982067809966,False
DefaultA-SomMotA,-0.08560621702721664,False
DefaultA-SomMotB,-0.01339191565901475,False
DefaultA-TempPar,-0.029392509646947416,False
DefaultA-VisCent,0.018601797106957016,False
DefaultA-VisPeri,-0.06402069783160404,False
