network_connection,fc,within_network
ContA-ContA,0.1236866391398002,True
ContA-ContB,0.07104012925776802,False
ContA-ContC,0.06319273591037118,False
ContA-DefaultA,0.06439299035266026,False
ContA-DefaultB,0.0576051446088274,False
ContA-DefaultC,0.02977496079528045,False
ContA-DorsAttnA,-0.02744444198277581,False
ContA-DorsAttnB,0.011010022823744602,False
ContA-LimbicA,0.13504863728053196,False
ContA-LimbicB,0.10217307062572901,False
ContA-SalVentAttnA,0.02101917516666107,False
ContA-SalVentAttnB,0.11398239372273902,False
ContA-SomMotA,-0.06862432499046274,False
ContA-SomMotB,-0.015428681592204743,False
ContA-TempPar,-0.010438098801695111,False
ContA-VisCent,0.011064132672720405,False
ContA-VisPeri,-0.07417858432520742,False
ContB-ContB,0.13315009018891558,True
ContB-ContC,0.047871100626471444,False
ContB-DefaultA,0.025982341790951245,False
ContB-DefaultB,0.05705137912018212,False
ContB-DefaultC,0.12254222250095613,False
ContB-DorsAttnA,0.0007016659256485558,False
ContB-DorsAttnB,0.0317286298345015,False
ContB-LimbicA,0.039712397023652646,False
ContB-LimbicB,0.02364509197799759,False
ContB-SalVentAttnA,-0.007734163793725003,False
ContB-SalVentAttnB,0.011299892350528492,False
ContB-SomMotA,-0.042908734570260246,False
ContB-SomMotB,-0.0036559075611118357,False
ContB-TempPar,0.11993886608273137,False
ContB-VisCent,0.04107218624445974,False
ContB-VisPeri,-0.06683453856212883,False
ContC-ContC,0.12758264524719753,True
ContC-DefaultA,0.10964519589453937,False
ContC-DefaultB,0.05235092499075893,False
ContC-DefaultC,-0.0020071921987098373,False
ContC-DorsAttnA,-0.017143618300768892,False
ContC-DorsAttnB,0.006608031727148071,False
ContC-LimbicA,0.09858032021205404,False
ContC-LimbicB,0.11339430929054753,False
ContC-SalVentAttnA,0.02005114703803176,False
ContC-SalVentAttnB,0.12039224115706987,False
ContC-SomMotA,-0.053406516557559326,False
ContC-SomMotB,-0.033303522457438325,False
ContC-TempPar,-0.03186614762507901,False
ContC-VisCent,-0.0010019857314304654,False
ContC-VisPeri,-0.055296507869270387,False
DefaultA-DefaultA,0.09952248991549885,True
DefaultA-DefaultB,0.05364049083661584,False
DefaultA-DefaultC,-0.008865852958532202,False
DefaultA-DorsAttnA,-0.014012998788258511,False
DefaultA-DorsAttnB,0.004594096298580483,False
DefaultA-LimbicA,0.09403712060308583,False
DefaultA-LimbicB,0.10998747991258777,False
DefaultA-SalVentAttnA,0.024313551405384614,False
DefaultA-SalVentAttnB,0.11903985945415345,False
DefaultA-SomMotA,-0.05039381966288289,False
DefaultA-SomMotB,-0.030397683126083493,False
DefaultA-TempPar,-0.04074962094330632,False
DefaultA-VisCent,-0.003047368736675354,False
DefaultA-VisPeri,-0.054083242345568425,False
DefaultB-DefaultB,0.0922634365014316,True
DefaultB-DefaultC,0.1209320163940809,False
DefaultB-DorsAttnA,-0.03217416250991694,False
DefaultB-DorsAttnB,-0.0035661184973682296,False
DefaultB-LimbicA,0.03255307284209593,False
DefaultB-LimbicB,0.056050139588665095,False
DefaultB-SalVentAttnA,0.00813581674320049,False
DefaultB-SalVentAttnB,0.054033530975310544,False
DefaultB-SomMotA,-0.042582155274484675,False
DefaultB-SomMotB,-0.014183345716178615,False
DefaultB-TempPar,0.03106869354045492,False
DefaultB-VisCent,0.014856421101906646,False
