network_connection,fc,within_network
ContA-ContA,0.29990753713170587,True
ContA-ContB,0.17334407507268992,False
ContA-ContC,0.12307947839794599,False
ContA-DefaultA,0.15362165764305252,False
ContA-DefaultB,0.13682435553513797,False
ContA-DefaultC,0.055808010372114754,False
ContA-DorsAttnA,-0.023064581694693477,False
ContA-DorsAttnB,0.0643577518406334,False
ContA-LimbicA,0.32425086827014843,False
ContA-LimbicB,0.2506482680053904,False
ContA-SalVentAttnA,0.073363137386855,False
ContA-SalVentAttnB,0.26274038916467324,False
ContA-SomMotA,-0.1644664061311549,False
ContA-SomMotB,-0.06636235783292226,False
ContA-TempPar,0.02353916330348726,False
ContA-VisCent,-0.022124184420898793,False
ContA-VisPeri,-0.16196564479252637,False
ContB-ContB,0.18360049415192226,True
ContB-ContC,0.1428746271806974,False
ContB-DefaultA,0.110583312955832,False
ContB-DefaultB,0.1362498274914074,False
ContB-DefaultC,0.15628987720426402,False
ContB-DorsAttnA,0.029569939987617828,False
ContB-DorsAttnB,0.07214672497739119,False
ContB-LimbicA,0.17098013078960944,False
ContB-LimbicB,0.1577178084887714,False
ContB-SalVentAttnA,0.035215880552365346,False
ContB-SalVentAttnB,0.14932167044775613,False
ContB-SomMotA,-0.11213662236323971,False
ContB-SomMotB,-0.054217610660930185,False
ContB-TempPar,0.10853403433151682,False
ContB-VisCent,-0.0008073082234684536,False
ContB-VisPeri,-0.11074121494201428,False
ContC-ContC,0.23002832332961412,True
ContC-DefaultA,0.1699771235830336,False
ContC-DefaultB,0.12330879278107743,False
ContC-DefaultC,0.04821074110897687,False
ContC-DorsAttnA,0.0013000229461326309,False
ContC-DorsAttnB,0.053307294243796106,False
ContC-LimbicA,0.15751659870898355,False
ContC-LimbicB,0.15996092829947928,False
ContC-SalVentAttnA,0.049735737206137075,False
ContC-SalVentAttnB,0.17787484765472306,False
ContC-SomMotA,-0.06579811690953513,False
ContC-SomMotB,-0.05096059471180118,False
ContC-TempPar,0.03966241661613246,False
ContC-VisCent,0.002927116335701316,False
ContC-VisPeri,-0.042107034276383314,False
DefaultA-DefaultA,0.1707365883749761,True
DefaultA-DefaultB,0.14048530819082602,False
DefaultA-DefaultC,0.05117656530787559,False
DefaultA-DorsAttnA,-0.017561318851415857,False
DefaultA-DorsAttnB,0.045949041202802264,False
DefaultA-LimbicA,0.17892935505344668,False
DefaultA-LimbicB,0.19399205819706433,False
DefaultA-SalVentAttnA,0.06090296494759593,False
DefaultA-SalVentAttnB,0.1954764286486971,False
DefaultA-SomMotA,-0.08751282003469757,False
DefaultA-SomMotB,-0.04676512805664196,False
DefaultA-TempPar,0.03815091907682699,False
DefaultA-VisCent,0.0018362387789343522,False
DefaultA-VisPeri,-0.07949226742637125,False
DefaultB-DefaultB,0.1965599760768276,True
DefaultB-DefaultC,0.23480193436525015,False
DefaultB-DorsAttnA,-0.022284595077387667,False
DefaultB-DorsAttnB,0.04162977038305892,False
DefaultB-LimbicA,0.13237289819638015,False
DefaultB-LimbicB,0.17644526575236116,False
DefaultB-SalVentAttnA,0.04322116547420067,False
DefaultB-SalVentAttnB,0.1565974769254274,False
DefaultB-SomMotA,-0.08882380294240656,False
DefaultB-SomMotB,-0.050356866430644694,False
DefaultB-TempPar,0.16952422666163078,False
DefaultB-VisCent,0.007399644026647045,False
DefaultB-VisPeri,-0.0714818917244913,False
DefaultC-DefaultC,0.510527555348433,True
DefaultC-DorsAttnA,-0.018827950376986237,False
