network_connection,fc,within_network
ContA-ContA,0.20487140547521443,True
ContA-ContB,0.13023980893902634,False
ContA-ContC,0.08474194564490635,False
ContA-DefaultA,0.07631609559030772,False
ContA-DefaultB,0.07340044910182976,False
ContA-DefaultC,0.0369967304764,False
ContA-DorsAttnA,-0.060881963038790156,False
ContA-DorsAttnB,0.030954260663755326,False
ContA-LimbicA,0.20815088959078695,False
ContA-LimbicB,0.14061611844462193,False
ContA-SalVentAttnA,-0.003184691214862637,False
ContA-SalVentAttnB,0.1328504380423222,False
ContA-SomMotA,-0.11274444684878479,False
ContA-SomMotB,-0.06810762176753181,False
ContA-TempPar,-0.011964841623434088,False
ContA-VisCent,-0.04910801765659623,False
ContA-VisPeri,-0.1219445575959688,False
ContB-ContB,0.17161396928179373,True
ContB-ContC,0.08440582251345792,False
ContB-DefaultA,0.035161725158088256,False
ContB-DefaultB,0.05523898197588784,False
ContB-DefaultC,0.11469633645204971,False
ContB-DorsAttnA,0.004536236617864122,False
ContB-DorsAttnB,0.041597249930239624,False
ContB-LimbicA,0.12853052145776597,False
ContB-LimbicB,0.06984201442709334,False
ContB-SalVentAttnA,-0.007963731615906987,False
ContB-SalVentAttnB,0.05725965453793216,False
ContB-SomMotA,-0.11089101865445115,False
ContB-SomMotB,-0.03190153201751604,False
ContB-TempPar,0.06757566117737476,False
ContB-VisCent,-0.040589672107707614,False
ContB-VisPeri,-0.1577801806004268,False
ContC-ContC,0.15654210155960277,True
ContC-DefaultA,0.1515190281804282,False
ContC-DefaultB,0.0944683983582766,False
ContC-DefaultC,0.03027883215289885,False
ContC-DorsAttnA,-0.06102715590997428,False
ContC-DorsAttnB,0.025374926296453534,False
ContC-LimbicA,0.1021910763971391,False
ContC-LimbicB,0.11469436594046228,False
ContC-SalVentAttnA,-0.013720674576622476,False
ContC-SalVentAttnB,0.11192095019227465,False
ContC-SomMotA,-0.058912442456083076,False
ContC-SomMotB,-0.057512957850004015,False
ContC-TempPar,-0.021040301501674935,False
ContC-VisCent,-0.018916479016398976,False
ContC-VisPeri,-0.08471763013829206,False
DefaultA-DefaultA,0.18547838785187182,True
DefaultA-DefaultB,0.13521930171051372,False
DefaultA-DefaultC,0.007977579275135831,False
DefaultA-DorsAttnA,-0.08021690387001054,False
DefaultA-DorsAttnB,0.0002756363923866324,False
DefaultA-LimbicA,0.08821840365711434,False
DefaultA-LimbicB,0.11690972531187847,False
DefaultA-SalVentAttnA,-0.004889363538730363,False
DefaultA-SalVentAttnB,0.11909297163281356,False
DefaultA-SomMotA,-0.053716670961804235,False
DefaultA-SomMotB,-0.05436606196321964,False
DefaultA-TempPar,-0.06455660214537488,False
DefaultA-VisCent,-0.0122284850540025,False
DefaultA-VisPeri,-0.07450283345042097,False
DefaultB-DefaultB,0.18969012088473186,True
DefaultB-DefaultC,0.21632086844528928,False
DefaultB-DorsAttnA,-0.1162781159908174,False
DefaultB-DorsAttnB,-0.024250346929941102,False
DefaultB-LimbicA,0.05690490068565503,False
DefaultB-LimbicB,0.0976618099596282,False
DefaultB-SalVentAttnA,-0.01093140660501681,False
DefaultB-SalVentAttnB,0.0911623986762399,False
DefaultB-SomMotA,-0.09058064214249743,False
DefaultB-SomMotB,-0.06660670304667533,False
DefaultB-TempPar,0.0772496396559631,False
DefaultB-VisCent,-0.015133113970081125,False
DefaultB-VisPeri,-0.0925450015768074,False
DefaultC-DefaultC,0.5563314736013717,True
DefaultC-DorsAttnA,-0.13931255459361525,False
DefaultC-DorsAttnB,-0.023345735845428123,False
DefaultC-LimbicA,-0.008490738559505166,False
DefaultC-LimbicB,0.06715892142131952,False
DefaultC-SalVentAttnA,-0.012658726039442974,False
DefaultC-SalVentAttnB,0.0528546311953075,False
DefaultC-SomMotA,-0.14376322741953293,False
DefaultC-SomMotB,-0.08317181034813957,False
DefaultC-TempPar,0.3989827130951398,False
DefaultC-VisCent,-0.019765210385145098,False
DefaultC-VisPeri,-0.1163426835490103,False
DorsAttnA-DorsAttnA,0.20835451099390037,True
DorsAttnA-DorsAttnB,0.036614180050181584,False
DorsAttnA-LimbicA,-0.037016455971447725,False
DorsAttnA-LimbicB,-0.10496744565962324,False
DorsAttnA-SalVentAttnA,0.028071349722109465,False
DorsAttnA-SalVentAttnB,-0.07005601889232872,False
DorsAttnA-SomMotA,0.008947722380801028,False
DorsAttnA-SomMotB,0.05918240394177245,False
DorsAttnA-TempPar,-0.086956490463917,False
DorsAttnA-VisCent,-0.02870704410986922,False
DorsAttnA-VisPeri,-0.03978441497694079,False
DorsAttnB-DorsAttnB,0.07208943587106956,True
DorsAttnB-LimbicA,0.039981951740361475,False
DorsAttnB-LimbicB,0.0525553396168405,False
DorsAttnB-SalVentAttnA,0.009532183827586284,False
DorsAttnB-SalVentAttnB,0.060111095259175004,False
DorsAttnB-SomMotA,-0.031143134645878263,False
DorsAttnB-SomMotB,-0.020491764410333537,False
DorsAttnB-TempPar,-0.024824002107126514,False
DorsAttnB-VisCent,0.0009546226126621184,False
DorsAttnB-VisPeri,-0.037728007243984854,False
LimbicA-LimbicA,0.21632577318137441,True
LimbicA-LimbicB,0.16992915417620844,False
LimbicA-SalVentAttnA,0.011589349570552321,False
LimbicA-SalVentAttnB,0.1512091330144327,False
LimbicA-SomMotA,-0.11743061496368802,False
LimbicA-SomMotB,-0.0583734530421427,False
LimbicA-TempPar,-0.06041804671352207,False
LimbicA-VisCent,-0.05578653484725871,False
LimbicA-VisPeri,-0.14038590462128347,False
LimbicB-LimbicB,0.24978640432770396,True
LimbicB-SalVentAttnA,0.03719699044529448,False
LimbicB-SalVentAttnB,0.21847226187735058,False
LimbicB-SomMotA,-0.11240549751464854,False
LimbicB-SomMotB,-0.0532588260667483,False
LimbicB-TempPar,-0.017434268350371575,False
LimbicB-VisCent,-0.019757529578381106,False
LimbicB-VisPeri,-0.11035732160204428,False
SalVentAttnA-SalVentAttnA,0.04545376274549198,True
SalVentAttnA-SalVentAttnB,0.048128032688262906,False
SalVentAttnA-SomMotA,-0.0263000202244794,False
SalVentAttnA-SomMotB,0.00982695545000894,False
SalVentAttnA-TempPar,-0.03865368908633344,False
SalVentAttnA-VisCent,-0.014881943739195323,False
SalVentAttnA-VisPeri,-0.016677044463226424,False
SalVentAttnB-SalVentAttnB,0.22219054957428191,True
SalVentAttnB-SomMotA,-0.12389470829634956,False
SalVentAttnB-SomMotB,-0.08093375146112933,False
SalVentAttnB-TempPar,-0.040678213556437436,False
SalVentAttnB-VisCent,-0.03732432957401389,False
SalVentAttnB-VisPeri,-0.10796064023022109,False
SomMotA-SomMotA,0.16050394806777846,True
SomMotA-SomMotB,0.0668807551809919,False
SomMotA-TempPar,-0.08277034805943785,False
SomMotA-VisCent,0.06339530907224294,False
SomMotA-VisPeri,0.1868595617898983,False
SomMotB-SomMotB,0.11726568945447272,True
SomMotB-TempPar,-0.06537677100303169,False
