network_connection,fc,within_network
ContA-ContA,0.12118634989951219,True
ContA-ContB,0.07323171102423952,False
ContA-ContC,0.05908583002954187,False
ContA-DefaultA,0.0993134199526189,False
ContA-DefaultB,0.11984764089949095,False
ContA-DefaultC,0.026153598722813285,False
ContA-DorsAttnA,0.04551542616394379,False
ContA-DorsAttnB,-0.004902032051193083,False
ContA-LimbicA,0.1412622578000209,False
ContA-LimbicB,0.09207382149804684,False
ContA-SalVentAttnA,0.02510468691832541,False
ContA-SalVentAttnB,0.06498481824592399,False
ContA-SomMotA,0.00027735620106538513,False
ContA-SomMotB,0.05924924821199509,False
ContA-TempPar,-0.049891646174892494,False
ContA-VisCent,0.017914529849334417,False
ContA-VisPeri,-0.03316107610272835,False
ContB-ContB,0.07369274185180913,True
ContB-ContC,0.08003971266500609,False
ContB-DefaultA,0.06140458463461495,False
ContB-DefaultB,0.06924424246382703,False
ContB-DefaultC,0.0418050555297609,False
ContB-DorsAttnA,0.038630321536346296,False
ContB-DorsAttnB,0.016128331970753564,False
ContB-LimbicA,0.0741227584186466,False
ContB-LimbicB,0.035885582347890174,False
ContB-SalVentAttnA,0.00465926970474795,False
ContB-SalVentAttnB,0.049068450992935275,False
ContB-SomMotA,-0.023988727488839415,False
ContB-SomMotB,0.03378638744226474,False
ContB-TempPar,0.045264753366192616,False
ContB-VisCent,-0.005747586176245838,False
ContB-VisPeri,-0.03572143199714617,False
ContC-ContC,0.23828159742948773,True
ContC-DefaultA,0.18767037785327778,False
ContC-DefaultB,0.12634786325046027,False
ContC-DefaultC,0.0192047766681373,False
ContC-DorsAttnA,-0.00103412267331235,False
ContC-DorsAttnB,0.004278080452441047,False
ContC-LimbicA,0.08170164193763976,False
ContC-LimbicB,0.05734253087250529,False
ContC-SalVentAttnA,0.0014535111140615775,False
ContC-SalVentAttnB,0.12255573308594236,False
ContC-SomMotA,-0.03636806334596822,False
ContC-SomMotB,0.01758934858427253,False
ContC-TempPar,0.006835655565389606,False
ContC-VisCent,0.0031187457584962515,False
ContC-VisPeri,-0.010768678097373731,False
DefaultA-DefaultA,0.20600270149609612,True
DefaultA-DefaultB,0.17712565301131777,False
DefaultA-DefaultC,0.043647866711891074,False
DefaultA-DorsAttnA,-0.0176511295494582,False
DefaultA-DorsAttnB,-0.049774555506551375,False
DefaultA-LimbicA,0.0955368334038859,False
DefaultA-LimbicB,0.0880228463532691,False
DefaultA-SalVentAttnA,-0.01815402415871875,False
DefaultA-SalVentAttnB,0.09258228209476875,False
DefaultA-SomMotA,-0.020055845137301825,False
DefaultA-SomMotB,0.022197935984458357,False
DefaultA-TempPar,-0.06655321944504741,False
DefaultA-VisCent,0.01960557442074313,False
DefaultA-VisPeri,0.002761297815892064,False
DefaultB-DefaultB,0.24900390510298565,True
DefaultB-DefaultC,0.2657257055177291,False
DefaultB-DorsAttnA,-0.02884111502179843,False
DefaultB-DorsAttnB,-0.06676731483226474,False
DefaultB-LimbicA,0.08552577918791936,False
DefaultB-LimbicB,0.0815891578545651,False
DefaultB-SalVentAttnA,-0.046130843779399675,False
DefaultB-SalVentAttnB,0.06923108888671613,False
DefaultB-SomMotA,-0.06212587999147097,False
DefaultB-SomMotB,-0.01022624136664955,False
DefaultB-TempPar,0.08230925462967287,False
DefaultB-VisCent,-0.007379925916399498,False
DefaultB-VisPeri,-0.045524795962705894,False
DefaultC-DefaultC,0.5508365823208597,True
DefaultC-DorsAttnA,-0.10355424613607009,False
DefaultC-DorsAttnB,-0.06546390192229318,False
DefaultC-LimbicA,-0.060807774599292666,False
DefaultC-LimbicB,0.023213289176880186,False
DefaultC-SalVentAttnA,-0.10472895383948856,False
DefaultC-SalVentAttnB,0.004005727355158969,False
DefaultC-SomMotA,-0.13615146327668096,False
DefaultC-SomMotB,-0.11347694507166631,False
DefaultC-TempPar,0.3500330524548882,False
DefaultC-VisCent,-0.05843003556894228,False
DefaultC-VisPeri,-0.0787639097459893,False
DorsAttnA-DorsAttnA,0.1583377224464127,True
DorsAttnA-DorsAttnB,0.07194342727049881,False
DorsAttnA-LimbicA,0.07096782312035103,False
DorsAttnA-LimbicB,0.022830650513701273,False
DorsAttnA-SalVentAttnA,0.06281628893220009,False
DorsAttnA-SalVentAttnB,-0.006506115669608231,False
DorsAttnA-SomMotA,0.03628458006066558,False
DorsAttnA-SomMotB,0.08980258470074956,False
DorsAttnA-TempPar,-0.06728907066894443,False
DorsAttnA-VisCent,0.0321620632422197,False
DorsAttnA-VisPeri,-0.032789846751530946,False
DorsAttnB-DorsAttnB,0.07069446394364018,True
DorsAttnB-LimbicA,0.043272803161420716,False
DorsAttnB-LimbicB,0.014841450909377637,False
DorsAttnB-SalVentAttnA,0.05275405050641185,False
DorsAttnB-SalVentAttnB,0.02359469964976498,False
DorsAttnB-SomMotA,-0.0014596915039419628,False
DorsAttnB-SomMotB,0.023967304756457836,False
DorsAttnB-TempPar,0.015622524081467234,False
DorsAttnB-VisCent,0.00027518286940668354,False
DorsAttnB-VisPeri,-0.028658383956870606,False
LimbicA-LimbicA,0.2240237977366887,True
LimbicA-LimbicB,0.1282880022087385,False
LimbicA-SalVentAttnA,0.048422234287146974,False
LimbicA-SalVentAttnB,0.11064081825088616,False
LimbicA-SomMotA,-0.0179809347190809,False
LimbicA-SomMotB,0.05082098956310873,False
LimbicA-TempPar,-0.059949224433432605,False
LimbicA-VisCent,0.012762925973836048,False
LimbicA-VisPeri,-0.06920560135040676,False
LimbicB-LimbicB,0.12399817776457459,True
LimbicB-SalVentAttnA,0.040315115107259686,False
LimbicB-SalVentAttnB,0.10418323005935456,False
LimbicB-SomMotA,-0.04104429975988618,False
LimbicB-SomMotB,0.021535151468793146,False
LimbicB-TempPar,-0.06154900650107175,False
LimbicB-VisCent,0.007919001876579627,False
LimbicB-VisPeri,-0.05081291131407359,False
SalVentAttnA-SalVentAttnA,0.10589520631793319,True
SalVentAttnA-SalVentAttnB,0.043942607006442855,False
SalVentAttnA-SomMotA,0.029087768324316532,False
SalVentAttnA-SomMotB,0.08615277731408467,False
SalVentAttnA-TempPar,-0.06974930217187598,False
SalVentAttnA-VisCent,0.001381380362712735,False
SalVentAttnA-VisPeri,-0.0007440060923361236,False
SalVentAttnB-SalVentAttnB,0.11315230862006435,True
SalVentAttnB-SomMotA,-0.0383882648177873,False
SalVentAttnB-SomMotB,0.013646663388976568,False
SalVentAttnB-TempPar,-0.0015371652639928068,False
SalVentAttnB-VisCent,-0.020620434021168522,False
SalVentAttnB-VisPeri,-0.027442901812055675,False
SomMotA-SomMotA,0.09183436071743649,True
SomMotA-SomMotB,0.07380092244085487,False
SomMotA-TempPar,-0.11989742298929165,False
SomMotA-VisCent,0.0681003334732315,False
SomMotA-VisPeri,0.07519782622508432,False
SomMotB-SomMotB,0.11977680300361648,True
SomMotB-TempPar,-0.10743402267123832,False
SomMotB-VisCent,0.03810486021866961,False
SomMotB-VisPeri,0.03585819676490135,False
TempPar-TempPar,0.39703762410599963,True
TempPar-VisCent,-0.0850435637240493,False
TempPar-VisPeri,-0.08306473132647088,False
VisCent-VisCent,0.07618320954835901,True
VisCent-VisPeri,0.026847276866552836,False
VisPeri-VisPeri,0.09821267272731114,True
