network_connection,fc,within_network
ContA-ContA,0.18350301627022372,True
ContA-ContB,0.06376326172674944,False
ContA-ContC,0.03487235821863463,False
ContA-DefaultA,0.05788393437796422,False
ContA-DefaultB,0.054985853560900515,False
ContA-DefaultC,0.014224022354836023,False
ContA-DorsAttnA,-0.05367072038301762,False
ContA-DorsAttnB,0.02057097509174057,False
ContA-LimbicA,0.19611171342870287,False
ContA-LimbicB,0.08636322398260252,False
ContA-SalVentAttnA,0.008120397746328355,False
ContA-SalVentAttnB,0.10776728598896228,False
ContA-SomMotA,-0.05399654685816874,False
ContA-SomMotB,-0.013033146323082353,False
ContA-TempPar,-0.06518901612149106,False
ContA-VisCent,-0.008294449785219975,False
ContA-VisPeri,-0.09037480571649432,False
ContB-ContB,0.09710015879357725,True
ContB-ContC,0.023096348719266333,False
ContB-DefaultA,-0.0010987961843237871,False
ContB-DefaultB,0.045067712144402534,False
ContB-DefaultC,0.12654260202652723,False
ContB-DorsAttnA,-0.007864281777052102,False
ContB-DorsAttnB,0.021542557978869503,False
ContB-LimbicA,0.041368846567933354,False
ContB-LimbicB,0.0057893231062462166,False
ContB-SalVentAttnA,-0.02942725847692682,False
ContB-SalVentAttnB,-0.0287712456558158,False
ContB-SomMotA,-0.06360778002984456,False
ContB-SomMotB,-0.02263840215786723,False
ContB-TempPar,0.11038381036554762,False
ContB-VisCent,-0.007713887008007882,False
ContB-VisPeri,-0.07197604172237475,False
ContC-ContC,0.17053860198267948,True
ContC-DefaultA,0.16835516280149207,False
ContC-DefaultB,0.09140212518850545,False
ContC-DefaultC,-0.03178307340397882,False
ContC-DorsAttnA,-0.08179712654013323,False
ContC-DorsAttnB,0.006209937183340536,False
ContC-LimbicA,0.0851239320518772,False
ContC-LimbicB,0.08990186634952009,False
ContC-SalVentAttnA,0.034632617295870374,False
ContC-SalVentAttnB,0.11474088957901471,False
ContC-SomMotA,0.02094118525256251,False
ContC-SomMotB,-0.033419874409813866,False
ContC-TempPar,-0.09394564857815814,False
ContC-VisCent,0.033959399407793356,False
ContC-VisPeri,0.02630761631431637,False
DefaultA-DefaultA,0.21499163289840395,True
DefaultA-DefaultB,0.1292984586440716,False
DefaultA-DefaultC,-0.07262338228964922,False
DefaultA-DorsAttnA,-0.08016768192606498,False
DefaultA-DorsAttnB,0.007309327187001312,False
DefaultA-LimbicA,0.09762914822556545,False
DefaultA-LimbicB,0.10531787831420139,False
DefaultA-SalVentAttnA,0.04067546962295359,False
DefaultA-SalVentAttnB,0.14296055455075626,False
DefaultA-SomMotA,0.023864930037424882,False
DefaultA-SomMotB,-0.03326177582843216,False
DefaultA-TempPar,-0.14479925231365529,False
DefaultA-VisCent,0.045004052821364944,False
DefaultA-VisPeri,0.003443170445880362,False
DefaultB-DefaultB,0.14152296688340604,True
DefaultB-DefaultC,0.12583278811200915,False
DefaultB-DorsAttnA,-0.08340584634514962,False
DefaultB-DorsAttnB,0.0046928865749458985,False
DefaultB-LimbicA,0.064308875494863,False
DefaultB-LimbicB,0.08617951818867774,False
DefaultB-SalVentAttnA,0.016069706561075356,False
DefaultB-SalVentAttnB,0.08377094026150567,False
DefaultB-SomMotA,-0.027258388719481202,False
DefaultB-SomMotB,-0.026940748389271924,False
DefaultB-TempPar,0.03473418608938495,False
DefaultB-VisCent,0.024259931869048332,False
DefaultB-VisPeri,-0.03894454251156236,False
DefaultC-DefaultC,0.4495175251366689,True
DefaultC-DorsAttnA,-0.06011673486590125,False
DefaultC-DorsAttnB,0.004471661394575887,False
DefaultC-LimbicA,-0.01285110023697218,False
DefaultC-LimbicB,0.0256412016103398,False
DefaultC-SalVentAttnA,-0.03333488879935474,False
DefaultC-SalVentAttnB,-0.05921744481747911,False
DefaultC-SomMotA,-0.10630014783621176,False
DefaultC-SomMotB,-0.019889033300594057,False
DefaultC-TempPar,0.40058441975265624,False
DefaultC-VisCent,-0.017543321546150212,False
DefaultC-VisPeri,-0.08037158725518684,False
DorsAttnA-DorsAttnA,0.28473240787010273,True
DorsAttnA-DorsAttnB,0.10877354846572747,False
DorsAttnA-LimbicA,-0.04919659527545371,False
DorsAttnA-LimbicB,-0.10200267377924492,False
DorsAttnA-SalVentAttnA,-0.010048900317805006,False
DorsAttnA-SalVentAttnB,-0.06612723364283912,False
DorsAttnA-SomMotA,0.016796526532975288,False
DorsAttnA-SomMotB,0.04605666154542846,False
DorsAttnA-TempPar,-0.044376478847366445,False
DorsAttnA-VisCent,0.004922294751712593,False
DorsAttnA-VisPeri,-0.007917106752604389,False
DorsAttnB-DorsAttnB,0.10264630412508231,True
DorsAttnB-LimbicA,0.057311597285555405,False
DorsAttnB-LimbicB,0.022343756653369677,False
DorsAttnB-SalVentAttnA,0.01879250093567335,False
DorsAttnB-SalVentAttnB,0.062329230815281154,False
DorsAttnB-SomMotA,-0.015436603805375251,False
DorsAttnB-SomMotB,0.008954429519345511,False
DorsAttnB-TempPar,-0.041888826409478615,False
DorsAttnB-VisCent,0.020597078660343014,False
DorsAttnB-VisPeri,-0.01460241281455992,False
LimbicA-LimbicA,0.24898642231552637,True
LimbicA-LimbicB,0.14116219825789436,False
LimbicA-SalVentAttnA,0.042066655990284786,False
LimbicA-SalVentAttnB,0.20205887613433285,False
LimbicA-SomMotA,-0.043355814854513675,False
LimbicA-SomMotB,-0.005529153481845382,False
LimbicA-TempPar,-0.13234366987238066,False
LimbicA-VisCent,0.0032349733471436336,False
LimbicA-VisPeri,-0.07514914294835887,False
LimbicB-LimbicB,0.1456885747849465,True
LimbicB-SalVentAttnA,0.048412985188893774,False
LimbicB-SalVentAttnB,0.18773750152972704,False
LimbicB-SomMotA,-0.03840887995900834,False
LimbicB-SomMotB,-0.013661729113782892,False
LimbicB-TempPar,-0.07006393722406434,False
LimbicB-VisCent,0.014953538692492873,False
LimbicB-VisPeri,-0.039836532828671146,False
SalVentAttnA-SalVentAttnA,0.036011526841783555,True
SalVentAttnA-SalVentAttnB,0.08072996390991863,False
SalVentAttnA-SomMotA,0.016153538082049206,False
SalVentAttnA-SomMotB,0.016337279431182516,False
SalVentAttnA-TempPar,-0.06745944598087575,False
SalVentAttnA-VisCent,0.014510846070742808,False
SalVentAttnA-VisPeri,0.01711685906313041,False
SalVentAttnB-SalVentAttnB,0.2709376233709414,True
SalVentAttnB-SomMotA,-0.025247525525718163,False
SalVentAttnB-SomMotB,-0.006378126109792215,False
SalVentAttnB-TempPar,-0.1795241785039804,False
SalVentAttnB-VisCent,0.020847747057628038,False
SalVentAttnB-VisPeri,-0.01781349746729548,False
SomMotA-SomMotA,0.11662208244751614,True
SomMotA-SomMotB,0.04595413658009658,False
SomMotA-TempPar,-0.09401002840024911,False
SomMotA-VisCent,0.04002225684947755,False
SomMotA-VisPeri,0.12393481880330287,False
SomMotB-SomMotB,0.06502625821571405,True
SomMotB-TempPar,-0.0293077995094416,False
SomMotB-VisCent,0.014375213741470766,False
SomMotB-VisPeri,0.014119755150804637,False
TempPar-TempPar,0.5166718860384972,True
TempPar-VisCent,-0.0461415960126133,False
TempPar-VisPeri,-0.062001418486232265,False
VisCent-VisCent,0.02489810073320936,True
VisCent-VisPeri,0.04360949263076587,False
VisPeri-VisPeri,0.21874893947128096,True
