network_connection,fc,within_network
ContA-ContA,0.19378745776496828,True
ContA-ContB,0.08115015073270598,False
ContA-ContC,0.05317692855813756,False
ContA-DefaultA,0.08158190461189291,False
ContA-DefaultB,0.07873192997614172,False
ContA-DefaultC,-0.002435485520084988,False
ContA-DorsAttnA,0.044014924062665,False
ContA-DorsAttnB,0.0794395051277418,False
ContA-LimbicA,0.18499774249514672,False
ContA-LimbicB,0.10323801434752361,False
ContA-SalVentAttnA,0.03946215073330551,False
ContA-SalVentAttnB,0.14693749671942993,False
ContA-SomMotA,-0.04564748335925496,False
ContA-SomMotB,0.01280117702325285,False
ContA-TempPar,-0.03833353553005748,False
ContA-VisCent,0.008895018657445089,False
ContA-VisPeri,-0.0359022086848458,False
ContB-ContB,0.1403289691908015,True
ContB-ContC,0.06980703255620888,False
ContB-DefaultA,0.04935488257134053,False
ContB-DefaultB,0.05910126347233079,False
ContB-DefaultC,0.12489020275756242,False
ContB-DorsAttnA,0.054978111673481794,False
ContB-DorsAttnB,0.05527475782007493,False
ContB-LimbicA,0.06900988268091418,False
ContB-LimbicB,0.05150910832394329,False
ContB-SalVentAttnA,0.015989284487074526,False
ContB-SalVentAttnB,0.06193159266713532,False
ContB-SomMotA,-0.023548957066899207,False
ContB-SomMotB,-0.005267247289833765,False
ContB-TempPar,0.1429045185677621,False
ContB-VisCent,0.011527562829450291,False
ContB-VisPeri,-0.02010518743046941,False
ContC-ContC,0.13047829717359644,True
ContC-DefaultA,0.10490575356239627,False
ContC-DefaultB,0.06080334982146429,False
ContC-DefaultC,0.007896673129832853,False
ContC-DorsAttnA,0.03284504338964789,False
ContC-DorsAttnB,0.025545454133512044,False
ContC-LimbicA,0.09456643641763877,False
ContC-LimbicB,0.08599003251753039,False
ContC-SalVentAttnA,0.02383050117163764,False
ContC-SalVentAttnB,0.10921222561678261,False
ContC-SomMotA,-0.025432919589217774,False
ContC-SomMotB,-0.014728628034085626,False
ContC-TempPar,-0.011972582065944029,False
ContC-VisCent,0.004938734212968636,False
ContC-VisPeri,-0.019720175778119475,False
DefaultA-DefaultA,0.12308043821832135,True
DefaultA-DefaultB,0.10534020679494137,False
DefaultA-DefaultC,0.03453426689123823,False
DefaultA-DorsAttnA,0.017187976116024482,False
DefaultA-DorsAttnB,0.021260303752168242,False
DefaultA-LimbicA,0.08956691042810695,False
DefaultA-LimbicB,0.11120890221311755,False
DefaultA-SalVentAttnA,0.03573881762789483,False
DefaultA-SalVentAttnB,0.11816356118562363,False
DefaultA-SomMotA,-0.02008813771955792,False
DefaultA-SomMotB,0.01211727405084113,False
DefaultA-TempPar,-0.010021985369114684,False
DefaultA-VisCent,0.012513158822314623,False
DefaultA-VisPeri,-0.023750190186774354,False
DefaultB-DefaultB,0.15469868472349557,True
DefaultB-DefaultC,0.1828228023013361,False
DefaultB-DorsAttnA,-0.024870384487684877,False
DefaultB-DorsAttnB,0.00809437791216703,False
DefaultB-LimbicA,0.049167713488882075,False
DefaultB-LimbicB,0.09075362154049062,False
DefaultB-SalVentAttnA,0.019404172416077236,False
DefaultB-SalVentAttnB,0.08338336330519122,False
DefaultB-SomMotA,-0.029194082878548022,False
DefaultB-SomMotB,0.011909444911858058,False
DefaultB-TempPar,0.09853145646643502,False
DefaultB-VisCent,-0.0010454955705059069,False
DefaultB-VisPeri,-0.03675699517615868,False
DefaultC-DefaultC,0.5283690802395851,True
DefaultC-DorsAttnA,-0.07779506381910219,False
DefaultC-DorsAttnB,-0.005700766669689278,False
DefaultC-LimbicA,-0.05908724538033653,False
DefaultC-LimbicB,0.0760116822119817,False
DefaultC-SalVentAttnA,-0.0008666134107124312,False
DefaultC-SalVentAttnB,0.04639329238489225,False
DefaultC-SomMotA,-0.07577141716737394,False
DefaultC-SomMotB,-0.026804548306936116,False
DefaultC-TempPar,0.441670941448646,False
DefaultC-VisCent,-0.006303385170457591,False
DefaultC-VisPeri,-0.060734645234920184,False
DorsAttnA-DorsAttnA,0.24650007273610444,True
DorsAttnA-DorsAttnB,0.09455952156184365,False
DorsAttnA-LimbicA,0.0788335749276514,False
DorsAttnA-LimbicB,-0.02647592998455959,False
DorsAttnA-SalVentAttnA,0.060205697149996414,False
DorsAttnA-SalVentAttnB,0.014201847870195683,False
DorsAttnA-SomMotA,0.023926942598740123,False
DorsAttnA-SomMotB,0.057894021868958,False
DorsAttnA-TempPar,-0.05759089229729929,False
DorsAttnA-VisCent,-0.019642556974143868,False
DorsAttnA-VisPeri,-0.029386145766442683,False
DorsAttnB-DorsAttnB,0.10369531558696247,True
DorsAttnB-LimbicA,0.08607699475979344,False
DorsAttnB-LimbicB,0.026178289415075464,False
DorsAttnB-SalVentAttnA,0.026634444469003614,False
DorsAttnB-SalVentAttnB,0.05996215392256474,False
DorsAttnB-SomMotA,-0.018859674863121116,False
DorsAttnB-SomMotB,-0.01010616348977685,False
DorsAttnB-TempPar,-0.0063775995457336036,False
DorsAttnB-VisCent,0.017560664578226654,False
DorsAttnB-VisPeri,-0.0035115834151881616,False
LimbicA-LimbicA,0.21172112927352393,True
LimbicA-LimbicB,0.12495257486385057,False
LimbicA-SalVentAttnA,0.04860968476576977,False
LimbicA-SalVentAttnB,0.18918800400233088,False
LimbicA-SomMotA,-0.06608432769649956,False
LimbicA-SomMotB,0.004732245719768806,False
LimbicA-TempPar,-0.09637800992873902,False
LimbicA-VisCent,-0.004034565013194483,False
LimbicA-VisPeri,-0.05603633791103529,False
LimbicB-LimbicB,0.18908720162089765,True
LimbicB-SalVentAttnA,0.04964457951270955,False
LimbicB-SalVentAttnB,0.2140373969112806,False
LimbicB-SomMotA,-0.06587281524498588,False
LimbicB-SomMotB,-0.0039254218514026586,False
LimbicB-TempPar,0.016455034683104792,False
LimbicB-VisCent,0.02743334753228927,False
LimbicB-VisPeri,-0.045819246298367595,False
SalVentAttnA-SalVentAttnA,0.05745655894031147,True
SalVentAttnA-SalVentAttnB,0.0676656886089176,False
SalVentAttnA-SomMotA,0.003735519763837965,False
SalVentAttnA-SomMotB,0.05968664546324157,False
SalVentAttnA-TempPar,-0.026051662735717875,False
SalVentAttnA-VisCent,0.013502284672845172,False
SalVentAttnA-VisPeri,-0.014705298409942051,False
SalVentAttnB-SalVentAttnB,0.2543496271535033,True
SalVentAttnB-SomMotA,-0.09344253804093615,False
SalVentAttnB-SomMotB,-0.007190863744666232,False
SalVentAttnB-TempPar,-0.028089933569846386,False
SalVentAttnB-VisCent,0.017843268656211855,False
SalVentAttnB-VisPeri,-0.06424278432899612,False
SomMotA-SomMotA,0.1557107679312651,True
SomMotA-SomMotB,0.08401102685877047,False
SomMotA-TempPar,-0.008968686462622574,False
SomMotA-VisCent,0.08484393884494243,False
SomMotA-VisPeri,0.1720280432638088,False
SomMotB-SomMotB,0.14488462908877195,True
SomMotB-TempPar,-0.04981097781024146,False
SomMotB-VisCent,0.049958655676907986,False
SomMotB-VisPeri,0.05688983909460388,False
TempPar-TempPar,0.5003984008359632,True
TempPar-VisCent,0.02049845337095376,False
TempPar-VisPeri,0.02398344725171795,False
VisCent-VisCent,0.11094108251880401,True
VisCent-VisPeri,0.14441095336831264,False
VisPeri-VisPeri,0.26417112944025484,True
