network_connection,fc,within_network
ContA-ContA,0.2838879720113443,True
ContA-ContB,0.131876758755878,False
ContA-ContC,0.08045016641918198,False
ContA-DefaultA,0.06092565233932702,False
ContA-DefaultB,0.08279103083009816,False
ContA-DefaultC,0.06520536951962323,False
ContA-DorsAttnA,-0.03806868809749168,False
ContA-DorsAttnB,0.04238009498849094,False
ContA-LimbicA,0.23796525689636502,False
ContA-LimbicB,0.18703072131360765,False
ContA-SalVentAttnA,0.008283273639049734,False
ContA-SalVentAttnB,0.17290907983260037,False
ContA-SomMotA,-0.11546601914782961,False
ContA-SomMotB,-0.043277024718987485,False
ContA-TempPar,-0.05453610362962063,False
ContA-VisCent,0.0015581954415701147,False
ContA-VisPeri,-0.08621810192582036,False
ContB-ContB,0.1649477764078514,True
ContB-ContC,0.06141844217841025,False
ContB-DefaultA,0.027609151631338563,False
ContB-DefaultB,0.07227412482191425,False
ContB-DefaultC,0.13430797917819975,False
ContB-DorsAttnA,-0.025220048694704903,False
ContB-DorsAttnB,0.032729539793346175,False
ContB-LimbicA,0.11197342058127517,False
ContB-LimbicB,0.07425807308228263,False
ContB-SalVentAttnA,-0.017663223718382394,False
ContB-SalVentAttnB,0.053546478597897476,False
ContB-SomMotA,-0.1017438440487726,False
ContB-SomMotB,-0.04683439709580182,False
ContB-TempPar,0.0987769998967955,False
ContB-VisCent,-0.010626602555286458,False
ContB-VisPeri,-0.10290986848845723,False
ContC-ContC,0.1797758933032149,True
ContC-DefaultA,0.14928859156931124,False
ContC-DefaultB,0.0606314300420684,False
ContC-DefaultC,-0.006596190353829172,False
ContC-DorsAttnA,-0.06343919043567364,False
ContC-DorsAttnB,0.006559871060086876,False
ContC-LimbicA,0.1044840968436009,False
ContC-LimbicB,0.13772045310157097,False
ContC-SalVentAttnA,0.015551767690615023,False
ContC-SalVentAttnB,0.14630875667013868,False
ContC-SomMotA,-0.05269718393340403,False
ContC-SomMotB,-0.045763479095427946,False
ContC-TempPar,-0.02041984526340095,False
ContC-VisCent,0.005446954321105504,False
ContC-VisPeri,-0.04977699599644235,False
DefaultA-DefaultA,0.15353253004581519,True
DefaultA-DefaultB,0.09141812611232572,False
DefaultA-DefaultC,0.00903022297243292,False
DefaultA-DorsAttnA,-0.06708874405930082,False
DefaultA-DorsAttnB,-0.015120845923867492,False
DefaultA-LimbicA,0.06839786882346882,False
DefaultA-LimbicB,0.13846194752278254,False
DefaultA-SalVentAttnA,0.02245231129429673,False
DefaultA-SalVentAttnB,0.14083952013202294,False
DefaultA-SomMotA,-0.05631057724915877,False
DefaultA-SomMotB,-0.032608158682583814,False
DefaultA-TempPar,-0.01631294948753637,False
DefaultA-VisCent,0.0048122437783923435,False
DefaultA-VisPeri,-0.060707803604015106,False
DefaultB-DefaultB,0.14528975933120375,True
DefaultB-DefaultC,0.18244262845399356,False
DefaultB-DorsAttnA,-0.055158454263987196,False
DefaultB-DorsAttnB,-0.008688678467609606,False
DefaultB-LimbicA,0.05775650560615982,False
DefaultB-LimbicB,0.11374026372618058,False
DefaultB-SalVentAttnA,0.008191894542040263,False
DefaultB-SalVentAttnB,0.09389822047313921,False
DefaultB-SomMotA,-0.09846213951123177,False
DefaultB-SomMotB,-0.04484339769445193,False
DefaultB-TempPar,0.053362588366126854,False
DefaultB-VisCent,-0.014646342483523507,False
DefaultB-VisPeri,-0.10168366528782395,False
DefaultC-DefaultC,0.4214800492183773,True
DefaultC-DorsAttnA,-0.06294068670976237,False
DefaultC-DorsAttnB,0.002976437916929435,False
DefaultC-LimbicA,0.0299913776124157,False
DefaultC-LimbicB,0.10326693071895102,False
DefaultC-SalVentAttnA,-0.020616680722968676,False
DefaultC-SalVentAttnB,0.043591041925861385,False
DefaultC-SomMotA,-0.16766659324072103,False
DefaultC-SomMotB,-0.06625350737943307,False
DefaultC-TempPar,0.25384793005589584,False
DefaultC-VisCent,-0.04078302974720143,False
DefaultC-VisPeri,-0.16619566591230386,False
DorsAttnA-DorsAttnA,0.24076732167580944,True
DorsAttnA-DorsAttnB,0.10255040282681455,False
DorsAttnA-LimbicA,0.004095776979509752,False
DorsAttnA-LimbicB,-0.09233810830576474,False
DorsAttnA-SalVentAttnA,0.03329741197961607,False
DorsAttnA-SalVentAttnB,-0.061105035931719384,False
