network_connection,fc,within_network
ContA-ContA,0.3912046390321815,True
ContA-ContB,0.25771310552126125,False
ContA-ContC,0.18300770493614038,False
ContA-DefaultA,0.1788993538592389,False
ContA-DefaultB,0.16628740530497169,False
ContA-DefaultC,0.04805152924632249,False
ContA-DorsAttnA,-0.025302683166349073,False
ContA-DorsAttnB,0.1008702281096464,False
ContA-LimbicA,0.3549123398287399,False
ContA-LimbicB,0.23026221918104636,False
ContA-SalVentAttnA,-0.023558171428393348,False
ContA-SalVentAttnB,0.19989471794565872,False
ContA-SomMotA,-0.1150753172332283,False
ContA-SomMotB,-0.03796203102148254,False
ContA-TempPar,-0.003227930868265958,False
ContA-VisCent,0.03741832095760579,False
ContA-VisPeri,-0.13401675866388882,False
ContB-ContB,0.2983783333366508,True
ContB-ContC,0.16616718771347636,False
ContB-DefaultA,0.13688747401792847,False
ContB-DefaultB,0.15147378013242224,False
ContB-DefaultC,0.12099725230832184,False
ContB-DorsAttnA,0.01644832418311648,False
ContB-DorsAttnB,0.11086246618890482,False
ContB-LimbicA,0.23406509027422548,False
ContB-LimbicB,0.0963193617019589,False
ContB-SalVentAttnA,-0.08075910104492333,False
ContB-SalVentAttnB,0.0551721938760124,False
ContB-SomMotA,-0.10159210471683006,False
ContB-SomMotB,-0.07605141016059987,False
ContB-TempPar,0.14442025004799525,False
ContB-VisCent,0.02840465142685725,False
ContB-VisPeri,-0.1450597035741171,False
ContC-ContC,0.365646577321751,True
ContC-DefaultA,0.3380309745204268,False
ContC-DefaultB,0.1568958609607338,False
ContC-DefaultC,-0.11612876990235275,False
ContC-DorsAttnA,0.038132612673887664,False
ContC-DorsAttnB,0.12746602740295898,False
ContC-LimbicA,0.24451180135211542,False
ContC-LimbicB,0.21372538241695127,False
ContC-SalVentAttnA,0.000686859764562201,False
ContC-SalVentAttnB,0.21240077969326318,False
ContC-SomMotA,0.026953434136222594,False
ContC-SomMotB,-0.04954090481673089,False
ContC-TempPar,-0.133188367472498,False
ContC-VisCent,0.1019983524020987,False
ContC-VisPeri,-0.046999782964086766,False
DefaultA-DefaultA,0.3285326990198663,True
DefaultA-DefaultB,0.16735984205461182,False
DefaultA-DefaultC,-0.09859297218513298,False
DefaultA-DorsAttnA,0.01519505994362791,False
DefaultA-DorsAttnB,0.09877592125844699,False
DefaultA-LimbicA,0.21758258220951698,False
DefaultA-LimbicB,0.20275046413742517,False
DefaultA-SalVentAttnA,0.003038439163050544,False
DefaultA-SalVentAttnB,0.19220891542202692,False
DefaultA-SomMotA,0.026238935749728326,False
DefaultA-SomMotB,-0.03697300793708794,False
DefaultA-TempPar,-0.13470981831228696,False
DefaultA-VisCent,0.0978795297675854,False
DefaultA-VisPeri,-0.04763218643710798,False
DefaultB-DefaultB,0.1940519840552995,True
DefaultB-DefaultC,0.15683963845325533,False
DefaultB-DorsAttnA,-0.06939970223028723,False
DefaultB-DorsAttnB,0.029997150835180113,False
DefaultB-LimbicA,0.15859808244850745,False
DefaultB-LimbicB,0.12523624167724512,False
