network_connection,fc,within_network
ContA-ContA,0.2188076554756136,True
ContA-ContB,0.128622908748039,False
ContA-ContC,0.054786587351845745,False
ContA-DefaultA,0.08767880302319847,False
ContA-DefaultB,0.09302113985663828,False
ContA-DefaultC,0.09475943953920152,False
ContA-DorsAttnA,-0.04507780184651963,False
ContA-DorsAttnB,0.06974053625522598,False
ContA-LimbicA,0.16348101874519202,False
ContA-LimbicB,0.20740008221341308,False
ContA-SalVentAttnA,0.05914068794498334,False
ContA-SalVentAttnB,0.21602037237361116,False
ContA-SomMotA,-0.14102545941236586,False
ContA-SomMotB,-0.0687270810044662,False
ContA-TempPar,0.03770492434262939,False
ContA-VisCent,-0.03345170755330402,False
ContA-VisPeri,-0.14628640580039426,False
ContB-ContB,0.13888920324787735,True
ContB-ContC,0.08923772227904,False
ContB-DefaultA,0.06871541384393601,False
ContB-DefaultB,0.08299746804961262,False
ContB-DefaultC,0.11478921559218669,False
ContB-DorsAttnA,-0.02287193190354383,False
ContB-DorsAttnB,0.042679148396572816,False
ContB-LimbicA,0.09234155876985603,False
ContB-LimbicB,0.1088572618234821,False
ContB-SalVentAttnA,0.03084605351427495,False
ContB-SalVentAttnB,0.09922852731243233,False
ContB-SomMotA,-0.09080421970137176,False
ContB-SomMotB,-0.051491667369890116,False
ContB-TempPar,0.06124796926681479,False
ContB-VisCent,-0.01458636771081377,False
ContB-VisPeri,-0.09347125763890364,False
ContC-ContC,0.2213007433600685,True
ContC-DefaultA,0.17293814420260747,False
ContC-DefaultB,0.12800419439700172,False
ContC-DefaultC,0.04494048586066725,False
ContC-DorsAttnA,-0.05103405500356895,False
ContC-DorsAttnB,0.01057551681016875,False
ContC-LimbicA,0.02987591754763342,False
ContC-LimbicB,0.11440504438150478,False
ContC-SalVentAttnA,0.036854009507807706,False
ContC-SalVentAttnB,0.12172400187699871,False
ContC-SomMotA,-0.05143069037795484,False
ContC-SomMotB,-0.02175660856133161,False
ContC-TempPar,-0.03112078382574998,False
ContC-VisCent,-0.002491924602337562,False
ContC-VisPeri,-0.06705240682355829,False
DefaultA-DefaultA,0.1733361512625394,True
DefaultA-DefaultB,0.13185984493021333,False
DefaultA-DefaultC,0.042431284361022455,False
DefaultA-DorsAttnA,-0.04936246275790106,False
DefaultA-DorsAttnB,0.00014280294660459452,False
DefaultA-LimbicA,0.05049793775790737,False
DefaultA-LimbicB,0.1312566149390873,False
DefaultA-SalVentAttnA,0.04690609395168004,False
DefaultA-SalVentAttnB,0.1322799104476968,False
DefaultA-SomMotA,-0.07602030354648878,False
DefaultA-SomMotB,-0.007631761865246452,False
DefaultA-TempPar,-0.011511765092085104,False
DefaultA-VisCent,-0.013060982687918984,False
DefaultA-VisPeri,-0.10626579086956323,False
DefaultB-DefaultB,0.183127259747897,True
DefaultB-DefaultC,0.21667864367970552,False
DefaultB-DorsAttnA,-0.09480361317753612,False
DefaultB-DorsAttnB,0.0019197747516850009,False
DefaultB-LimbicA,0.028500742759199525,False
DefaultB-LimbicB,0.14702094909009758,False
DefaultB-SalVentAttnA,0.03436314981535711,False
DefaultB-SalVentAttnB,0.1335236553676519,False
DefaultB-SomMotA,-0.09947050589432353,False
DefaultB-SomMotB,-0.051876391965366586,False
DefaultB-TempPar,0.07665879076729132,False
DefaultB-VisCent,-0.02225259648723278,False
DefaultB-VisPeri,-0.10706315610937969,False
DefaultC-DefaultC,0.46829396842340376,True
DefaultC-DorsAttnA,-0.11983562953802888,False
DefaultC-DorsAttnB,0.013545141848036115,False
DefaultC-LimbicA,0.006493742302890052,False
DefaultC-LimbicB,0.1724474285371723,False
DefaultC-SalVentAttnA,0.02593369344868349,False
DefaultC-SalVentAttnB,0.13262447890571033,False
