network_connection,fc,within_network
ContA-ContA,0.26963794564788707,True
ContA-ContB,0.22480257401203313,False
ContA-ContC,0.11439451695727428,False
ContA-DefaultA,0.07362391058177256,False
ContA-DefaultB,0.11605669136454809,False
ContA-DefaultC,0.11983023888328428,False
ContA-DorsAttnA,0.0053646386003900585,False
ContA-DorsAttnB,0.12252279679547376,False
ContA-LimbicA,0.26560149902712776,False
ContA-LimbicB,0.2252049710444338,False
ContA-SalVentAttnA,0.04053299643014684,False
ContA-SalVentAttnB,0.22394823087858767,False
ContA-SomMotA,-0.12187819446679324,False
ContA-SomMotB,-0.03466909046848392,False
ContA-TempPar,-0.010173016766687608,False
ContA-VisCent,0.04273382120888844,False
ContA-VisPeri,-0.10813888607926544,False
ContB-ContB,0.26221844173624287,True
ContB-ContC,0.08912771325095208,False
ContB-DefaultA,0.03819741210807295,False
ContB-DefaultB,0.0792641104701539,False
ContB-DefaultC,0.14393392817961656,False
ContB-DorsAttnA,0.04191984484554104,False
ContB-DorsAttnB,0.1040845636921102,False
ContB-LimbicA,0.1946731528673084,False
ContB-LimbicB,0.13338946313456396,False
ContB-SalVentAttnA,0.009243150441595639,False
ContB-SalVentAttnB,0.11336589037136548,False
ContB-SomMotA,-0.10404860253240422,False
ContB-SomMotB,-0.020729873854912612,False
ContB-TempPar,0.08177553659518245,False
ContB-VisCent,0.03459214010248188,False
ContB-VisPeri,-0.09719474163185693,False
ContC-ContC,0.18988212260682866,True
ContC-DefaultA,0.12291108636866252,False
ContC-DefaultB,0.10259443030223754,False
ContC-DefaultC,0.0515333570262699,False
ContC-DorsAttnA,-0.020639158834244015,False
ContC-DorsAttnB,0.047153834909322616,False
ContC-LimbicA,0.1203383988162873,False
ContC-LimbicB,0.1420085324112854,False
ContC-SalVentAttnA,0.028844146076921522,False
ContC-SalVentAttnB,0.1604695692154957,False
ContC-SomMotA,-0.03710362731347458,False
ContC-SomMotB,-0.009720771190785916,False
ContC-TempPar,0.03233768817619272,False
ContC-VisCent,0.023374106210687192,False
ContC-VisPeri,-0.03697598715750765,False
DefaultA-DefaultA,0.10717658003163558,True
DefaultA-DefaultB,0.10656515459652602,False
DefaultA-DefaultC,0.05652897445904947,False
DefaultA-DorsAttnA,-0.04017681871573057,False
DefaultA-DorsAttnB,0.009568543054978451,False
DefaultA-LimbicA,0.07431227731948269,False
DefaultA-LimbicB,0.09632973063699125,False
DefaultA-SalVentAttnA,0.01535872529458504,False
DefaultA-SalVentAttnB,0.10350611585157198,False
DefaultA-SomMotA,-0.007974399034691269,False
DefaultA-SomMotB,-0.0001282540847970132,False
DefaultA-TempPar,0.03029396778452959,False
DefaultA-VisCent,0.02136729564781368,False
DefaultA-VisPeri,-0.016761390985913394,False
DefaultB-DefaultB,0.17260322163447112,True
