network_connection,fc,within_network
ContA-ContA,0.2547395593207053,True
ContA-ContB,0.15192153550015733,False
ContA-ContC,0.12406600212410061,False
ContA-DefaultA,0.10782036137674904,False
ContA-DefaultB,0.09049052906556392,False
ContA-DefaultC,0.018812360343395666,False
ContA-DorsAttnA,-0.03915015635743307,False
ContA-DorsAttnB,0.03726730918483054,False
ContA-LimbicA,0.2616430738791165,False
ContA-LimbicB,0.2212449275783852,False
ContA-SalVentAttnA,0.02545791429513436,False
ContA-SalVentAttnB,0.2216085307547017,False
ContA-SomMotA,-0.13610602752174858,False
ContA-SomMotB,-0.05009491614972837,False
ContA-TempPar,-0.06464253657688213,False
ContA-VisCent,-0.011978408049276372,False
ContA-VisPeri,-0.11280760026827145,False
ContB-ContB,0.17389468194557364,True
ContB-ContC,0.1335299695305139,False
ContB-DefaultA,0.10234139316430978,False
ContB-DefaultB,0.11512878393161358,False
ContB-DefaultC,0.10220887696817522,False
ContB-DorsAttnA,-0.010400783442226927,False
ContB-DorsAttnB,0.04507840248825918,False
ContB-LimbicA,0.14269102129373615,False
ContB-LimbicB,0.11788805864823065,False
ContB-SalVentAttnA,-0.0016765926640360514,False
ContB-SalVentAttnB,0.09970923411570637,False
ContB-SomMotA,-0.10693880272810195,False
ContB-SomMotB,-0.04971400995972608,False
ContB-TempPar,0.056358817713445065,False
ContB-VisCent,-0.009368950017591669,False
ContB-VisPeri,-0.13048533389096828,False
ContC-ContC,0.20515521660291733,True
ContC-DefaultA,0.18118754422265573,False
ContC-DefaultB,0.1103042777825076,False
ContC-DefaultC,0.009882578328658912,False
ContC-DorsAttnA,-0.045717019483466535,False
ContC-DorsAttnB,0.025165635504696703,False
ContC-LimbicA,0.15874244153340733,False
ContC-LimbicB,0.16564202248648194,False
ContC-SalVentAttnA,0.025048101049104616,False
ContC-SalVentAttnB,0.16418695996330412,False
ContC-SomMotA,-0.06042948824661247,False
ContC-SomMotB,-0.04166487896294812,False
ContC-TempPar,-0.016636222053674533,False
ContC-VisCent,0.0002588822339759748,False
ContC-VisPeri,-0.09004487365329394,False
DefaultA-DefaultA,0.1600530069810885,True
DefaultA-DefaultB,0.1211892242402748,False
DefaultA-DefaultC,0.01478915688135367,False
DefaultA-DorsAttnA,-0.035279430848346546,False
DefaultA-DorsAttnB,-0.0004950100521030672,False
DefaultA-LimbicA,0.12164876871334403,False
DefaultA-LimbicB,0.13298207417112598,False
DefaultA-SalVentAttnA,0.013391647039223336,False
DefaultA-SalVentAttnB,0.11674902018208715,False
DefaultA-SomMotA,-0.05004844211271051,False
DefaultA-SomMotB,-0.018660989954060073,False
DefaultA-TempPar,-0.020485415052261313,False
DefaultA-VisCent,0.011633731050250368,False
DefaultA-VisPeri,-0.07400370326374203,False
DefaultB-DefaultB,0.17022728701305825,True
DefaultB-DefaultC,0.14094865716802382,False
DefaultB-DorsAttnA,-0.06835653498991062,False
DefaultB-DorsAttnB,-0.043734189278475395,False
DefaultB-LimbicA,0.07248008815613835,False
DefaultB-LimbicB,0.07611601159028873,False
DefaultB-SalVentAttnA,-0.016882268445805676,False
DefaultB-SalVentAttnB,0.05530806214749934,False
DefaultB-SomMotA,-0.05013042676524615,False
DefaultB-SomMotB,-0.019319970907489832,False
DefaultB-TempPar,0.049027183629670734,False
DefaultB-VisCent,-0.010813033397857205,False
DefaultB-VisPeri,-0.06635908427361432,False
DefaultC-DefaultC,0.32181458685840003,True
DefaultC-DorsAttnA,-0.13032588932588327,False
DefaultC-DorsAttnB,-0.028801269969112107,False
DefaultC-LimbicA,-0.014659329009044814,False
DefaultC-LimbicB,0.03838457127239654,False
DefaultC-SalVentAttnA,-0.015518366528722724,False
DefaultC-SalVentAttnB,-0.012266247188214435,False
DefaultC-SomMotA,-0.047005016869036007,False
DefaultC-SomMotB,-0.04985875559125323,False
DefaultC-TempPar,0.23509605240359657,False
DefaultC-VisCent,-0.02650613624255329,False
DefaultC-VisPeri,-0.08487340020455637,False
DorsAttnA-DorsAttnA,0.2159215458858261,True
DorsAttnA-DorsAttnB,0.09344388459234235,False
DorsAttnA-LimbicA,-0.02316477686483699,False
DorsAttnA-LimbicB,-0.06348345932447642,False
DorsAttnA-SalVentAttnA,0.0019328634747900714,False
DorsAttnA-SalVentAttnB,-0.03651722843719332,False
DorsAttnA-SomMotA,-0.03656218486362221,False
DorsAttnA-SomMotB,0.033712357472896415,False
DorsAttnA-TempPar,-0.08743474811181208,False
DorsAttnA-VisCent,-0.02061553495068486,False
DorsAttnA-VisPeri,-0.03965355208074079,False
DorsAttnB-DorsAttnB,0.1307079164956354,True
DorsAttnB-LimbicA,0.05052622093262435,False
DorsAttnB-LimbicB,0.06979035831308385,False
DorsAttnB-SalVentAttnA,0.025181687603490873,False
DorsAttnB-SalVentAttnB,0.08229372267475911,False
DorsAttnB-SomMotA,-0.0847984219947087,False
DorsAttnB-SomMotB,-0.0681231941755941,False
DorsAttnB-TempPar,-0.032171828132837456,False
DorsAttnB-VisCent,-0.012251286087049541,False
DorsAttnB-VisPeri,-0.07812562534307582,False
LimbicA-LimbicA,0.2711082116056379,True
LimbicA-LimbicB,0.2614498917609668,False
LimbicA-SalVentAttnA,0.04563869840582866,False
LimbicA-SalVentAttnB,0.2697105384032368,False
LimbicA-SomMotA,-0.14155322411929167,False
LimbicA-SomMotB,-0.049537692356787774,False
LimbicA-TempPar,-0.0747556018844255,False
LimbicA-VisCent,-0.006677758207753424,False
LimbicA-VisPeri,-0.12657186591315314,False
LimbicB-LimbicB,0.33182640750209885,True
LimbicB-SalVentAttnA,0.07611330662072878,False
LimbicB-SalVentAttnB,0.33664393707301205,False
LimbicB-SomMotA,-0.15747229834430293,False
LimbicB-SomMotB,-0.06402554730658432,False
LimbicB-TempPar,-0.07130347013068325,False
LimbicB-VisCent,0.005288962806509063,False
LimbicB-VisPeri,-0.14936874719433285,False
SalVentAttnA-SalVentAttnA,0.08161853876440116,True
SalVentAttnA-SalVentAttnB,0.10511209991162665,False
SalVentAttnA-SomMotA,-0.022672062078839695,False
SalVentAttnA-SomMotB,0.02634288744063631,False
SalVentAttnA-TempPar,-0.05994066376255471,False
SalVentAttnA-VisCent,-0.005292784682187883,False
SalVentAttnA-VisPeri,0.004037848118652874,False
SalVentAttnB-SalVentAttnB,0.3484261276303795,True
SalVentAttnB-SomMotA,-0.15362858812536276,False
SalVentAttnB-SomMotB,-0.04631147097084617,False
SalVentAttnB-TempPar,-0.1276859283344448,False
SalVentAttnB-VisCent,-0.007356372841937809,False
SalVentAttnB-VisPeri,-0.11071378830258752,False
SomMotA-SomMotA,0.16937201026913093,True
SomMotA-SomMotB,0.06401115761721234,False
SomMotA-TempPar,0.013187181007128474,False
SomMotA-VisCent,0.03644427716139762,False
SomMotA-VisPeri,0.1756126961726198,False
SomMotB-SomMotB,0.11639387257934737,True
SomMotB-TempPar,-0.047039182849797447,False
SomMotB-VisCent,0.0192769401397046,False
SomMotB-VisPeri,0.05820770803479913,False
TempPar-TempPar,0.3616367540115438,True
TempPar-VisCent,-0.0006050198672396275,False
TempPar-VisPeri,-0.05839430399608895,False
VisCent-VisCent,0.04260294718594462,True
VisCent-VisPeri,0.02195624560280493,False
VisPeri-VisPeri,0.25904837017801563,True
