network_connection,fc,within_network
ContA-ContA,0.32170668957720094,True
ContA-ContB,0.23940684555747363,False
ContA-ContC,0.1572922759182916,False
ContA-DefaultA,0.19842868733096253,False
ContA-DefaultB,0.1855860655822319,False
ContA-DefaultC,0.051413033927875613,False
ContA-DorsAttnA,-0.03523997497378387,False
ContA-DorsAttnB,0.0560348713406122,False
ContA-LimbicA,0.3161099553389177,False
ContA-LimbicB,0.18000031189762794,False
ContA-SalVentAttnA,-0.01975010227441055,False
ContA-SalVentAttnB,0.17650789383784643,False
ContA-SomMotA,-0.0954546187730708,False
ContA-SomMotB,-0.08805459078304506,False
ContA-TempPar,0.010404482642006628,False
ContA-VisCent,0.09312633384931046,False
ContA-VisPeri,-0.05707678989482558,False
ContB-ContB,0.2746690423883981,True
ContB-ContC,0.15685890131089017,False
ContB-DefaultA,0.1609354815127462,False
ContB-DefaultB,0.1838239890772982,False
ContB-DefaultC,0.14117777187658825,False
ContB-DorsAttnA,-0.04862646833788499,False
ContB-DorsAttnB,0.026445893591686597,False
ContB-LimbicA,0.20301560545070585,False
ContB-LimbicB,0.1105141639951945,False
ContB-SalVentAttnA,-0.041919809899726476,False
ContB-SalVentAttnB,0.07799273477254212,False
ContB-SomMotA,-0.09869001675683269,False
ContB-SomMotB,-0.09694805269026276,False
ContB-TempPar,0.10747195939491841,False
ContB-VisCent,0.06788855085789354,False
ContB-VisPeri,-0.06915012091927822,False
ContC-ContC,0.29271893279022665,True
ContC-DefaultA,0.29768251004932017,False
ContC-DefaultB,0.19383510697157416,False
ContC-DefaultC,-0.05763295311515783,False
ContC-DorsAttnA,-0.052046960950940156,False
ContC-DorsAttnB,0.017136601514229095,False
ContC-LimbicA,0.18366564227366636,False
ContC-LimbicB,0.11793575657157061,False
ContC-SalVentAttnA,-0.025619331950297707,False
ContC-SalVentAttnB,0.13300568658878112,False
ContC-SomMotA,-0.046141210154399176,False
ContC-SomMotB,-0.0832853165296668,False
ContC-TempPar,-0.05489629741488616,False
ContC-VisCent,0.07083928190943542,False
ContC-VisPeri,-0.020023246438362348,False
DefaultA-DefaultA,0.3387798629934318,True
DefaultA-DefaultB,0.24422800477098475,False
DefaultA-DefaultC,-0.05636676008395475,False
DefaultA-DorsAttnA,-0.039060494932388154,False
DefaultA-DorsAttnB,0.02398620200573267,False
DefaultA-LimbicA,0.22376070777472326,False
DefaultA-LimbicB,0.1371602210587914,False
DefaultA-SalVentAttnA,-0.02633031845521123,False
DefaultA-SalVentAttnB,0.157339546622247,False
DefaultA-SomMotA,-0.06086340779385145,False
DefaultA-SomMotB,-0.093716951819873,False
DefaultA-TempPar,-0.05225939495465862,False
DefaultA-VisCent,0.08560911589368772,False
DefaultA-VisPeri,-0.04409633289247999,False
DefaultB-DefaultB,0.25362966262008957,True
DefaultB-DefaultC,0.1320146703264592,False
DefaultB-DorsAttnA,-0.06048817268183456,False
