network_connection,fc,within_network
ContA-ContA,0.195798368192787,True
ContA-ContB,0.07950849485722629,False
ContA-ContC,0.03124836047455028,False
ContA-DefaultA,0.051764920751114295,False
ContA-DefaultB,0.1135775674630682,False
ContA-DefaultC,0.14235279813899807,False
ContA-DorsAttnA,-0.043610908564476504,False
ContA-DorsAttnB,0.005464174216729969,False
ContA-LimbicA,0.14486944019700215,False
ContA-LimbicB,0.059126647073888684,False
ContA-SalVentAttnA,0.0019194262227832859,False
ContA-SalVentAttnB,0.08073016343560095,False
ContA-SomMotA,-0.07777390963908916,False
ContA-SomMotB,-0.0655213862388195,False
ContA-TempPar,0.09045467366265658,False
ContA-VisCent,-0.0261503381089887,False
ContA-VisPeri,-0.07114245595543112,False
ContB-ContB,0.0834382371736495,True
ContB-ContC,0.016791199076438564,False
ContB-DefaultA,0.01034160674830323,False
ContB-DefaultB,0.04924434978157628,False
ContB-DefaultC,0.10611564160612945,False
ContB-DorsAttnA,-0.0008884314081949333,False
ContB-DorsAttnB,0.012842945412777453,False
ContB-LimbicA,0.05955372832594461,False
ContB-LimbicB,0.012945423966389412,False
ContB-SalVentAttnA,-0.022624674399791937,False
ContB-SalVentAttnB,0.010035276067384427,False
ContB-SomMotA,-0.052856305021036484,False
ContB-SomMotB,-0.043157986866172116,False
ContB-TempPar,0.10623376320120964,False
ContB-VisCent,-0.0035987706413781627,False
ContB-VisPeri,-0.05044468458205441,False
ContC-ContC,0.15838279141217487,True
ContC-DefaultA,0.10299456700003393,False
ContC-DefaultB,0.04027901228716457,False
ContC-DefaultC,-0.04609939208413299,False
ContC-DorsAttnA,-0.06300634526142725,False
ContC-DorsAttnB,0.004245413532015701,False
ContC-LimbicA,0.05759130706620528,False
ContC-LimbicB,0.08609189866677548,False
ContC-SalVentAttnA,-0.003987740601518394,False
ContC-SalVentAttnB,0.08794989799233462,False
ContC-SomMotA,-0.018503327479931102,False
ContC-SomMotB,-0.047664727282334604,False
ContC-TempPar,-0.05197271911251205,False
ContC-VisCent,0.021496877763800673,False
ContC-VisPeri,-0.01939138757923653,False
DefaultA-DefaultA,0.09301524536638789,True
DefaultA-DefaultB,0.08703141619126151,False
DefaultA-DefaultC,0.02214691789563038,False
DefaultA-DorsAttnA,-0.0568421812193881,False
DefaultA-DorsAttnB,-0.01029807774936909,False
DefaultA-LimbicA,0.04944046084494171,False
DefaultA-LimbicB,0.06297011429845788,False
DefaultA-SalVentAttnA,-0.00044546710820570374,False
DefaultA-SalVentAttnB,0.050857377942084135,False
DefaultA-SomMotA,-0.015695720978320605,False
DefaultA-SomMotB,-0.036742139447360815,False
DefaultA-TempPar,-0.025197362563722826,False
DefaultA-VisCent,0.00725478992577196,False
DefaultA-VisPeri,-0.01783182035847453,False
DefaultB-DefaultB,0.19927369223635732,True
DefaultB-DefaultC,0.24996770055324946,False
DefaultB-DorsAttnA,-0.09237073144238564,False
DefaultB-DorsAttnB,-0.05382707007961243,False
DefaultB-LimbicA,0.058379860299124016,False
DefaultB-LimbicB,0.033856029634358194,False
DefaultB-SalVentAttnA,-0.02735719815082448,False
DefaultB-SalVentAttnB,-0.006954479849803169,False
DefaultB-SomMotA,-0.046798753835244435,False
DefaultB-SomMotB,-0.050097690605210424,False
DefaultB-TempPar,0.11841164483313502,False
DefaultB-VisCent,-0.009536012277016745,False
DefaultB-VisPeri,-0.018937288721074644,False
DefaultC-DefaultC,0.5088278358436277,True
DefaultC-DorsAttnA,-0.13190655548016272,False
DefaultC-DorsAttnB,-0.08061463146697377,False
DefaultC-LimbicA,0.048862140750108744,False
DefaultC-LimbicB,-0.015878610696250316,False
DefaultC-SalVentAttnA,-0.06892179413372813,False
DefaultC-SalVentAttnB,-0.07048888633201722,False
DefaultC-SomMotA,-0.09865990807765257,False
DefaultC-SomMotB,-0.09027156290756584,False
DefaultC-TempPar,0.3676789961480044,False
DefaultC-VisCent,-0.0010921721724568485,False
DefaultC-VisPeri,-0.05418188059215895,False
DorsAttnA-DorsAttnA,0.22389717714505053,True
DorsAttnA-DorsAttnB,0.07676807653275654,False
DorsAttnA-LimbicA,-0.008972687691233704,False
DorsAttnA-LimbicB,-0.0538346323838972,False
DorsAttnA-SalVentAttnA,0.04416721571157797,False
DorsAttnA-SalVentAttnB,-0.021913883459021424,False
DorsAttnA-SomMotA,0.046434718872992886,False
DorsAttnA-SomMotB,0.0929833156422388,False
