network_connection,fc,within_network
ContA-ContA,0.3437482417481692,True
ContA-ContB,0.16368547352964488,False
ContA-ContC,-0.0019588174081746307,False
ContA-DefaultA,0.06266879793179095,False
ContA-DefaultB,0.1114027414695352,False
ContA-DefaultC,0.10317647035506362,False
ContA-DorsAttnA,-0.029755488319901678,False
ContA-DorsAttnB,0.044020109010593715,False
ContA-LimbicA,0.31504651411284096,False
ContA-LimbicB,0.21417285461606955,False
ContA-SalVentAttnA,0.0375738615250216,False
ContA-SalVentAttnB,0.23021419306513896,False
ContA-SomMotA,-0.1794783918175182,False
ContA-SomMotB,-0.017473086938542784,False
ContA-TempPar,-0.01018419721666577,False
ContA-VisCent,-0.04390661101245849,False
ContA-VisPeri,-0.19966726894442177,False
ContB-ContB,0.14464271972132625,True
ContB-ContC,0.03728092295091388,False
ContB-DefaultA,0.010728530720761874,False
ContB-DefaultB,0.07005423209744625,False
ContB-DefaultC,0.1013756806907913,False
ContB-DorsAttnA,0.00662969354841868,False
ContB-DorsAttnB,0.038837353557945535,False
ContB-LimbicA,0.1421722916134844,False
ContB-LimbicB,0.07839593859787457,False
ContB-SalVentAttnA,-0.0002398470298303891,False
ContB-SalVentAttnB,0.06240358951892923,False
ContB-SomMotA,-0.10327335084519225,False
ContB-SomMotB,-0.0044321554238095145,False
ContB-TempPar,0.04085821198955482,False
ContB-VisCent,-0.010839875905112747,False
ContB-VisPeri,-0.11637299339052111,False
ContC-ContC,0.21686465308979522,True
ContC-DefaultA,0.16020698897480976,False
ContC-DefaultB,0.05124027252031674,False
ContC-DefaultC,-0.05833887167523128,False
ContC-DorsAttnA,-0.024629685043693582,False
ContC-DorsAttnB,0.03704607299652569,False
ContC-LimbicA,0.004990326547733451,False
ContC-LimbicB,0.10610653457515572,False
ContC-SalVentAttnA,0.026138629578624666,False
ContC-SalVentAttnB,0.1296061658208547,False
ContC-SomMotA,-0.011082102853725516,False
ContC-SomMotB,-0.022303318100680144,False
ContC-TempPar,-0.050919652049039144,False
ContC-VisCent,0.03015947041208461,False
ContC-VisPeri,-0.01933545008935318,False
DefaultA-DefaultA,0.17082352660118097,True
DefaultA-DefaultB,0.07074318128490947,False
DefaultA-DefaultC,-0.05487070590082165,False
DefaultA-DorsAttnA,-0.01732430918717492,False
DefaultA-DorsAttnB,0.032990009596448655,False
DefaultA-LimbicA,0.06155990987155054,False
DefaultA-LimbicB,0.1251821300236497,False
DefaultA-SalVentAttnA,0.03742526942991067,False
DefaultA-SalVentAttnB,0.1589741857955643,False
DefaultA-SomMotA,-0.010929628584159265,False
DefaultA-SomMotB,-0.009060017958634849,False
DefaultA-TempPar,-0.05031628706229002,False
DefaultA-VisCent,0.023145896503054608,False
DefaultA-VisPeri,-0.05014809463520364,False
DefaultB-DefaultB,0.14894160975105053,True
DefaultB-DefaultC,0.20424042135017115,False
DefaultB-DorsAttnA,-0.04683475717993594,False
DefaultB-DorsAttnB,-0.015266396976923436,False
DefaultB-LimbicA,0.06682351898925677,False
DefaultB-LimbicB,0.08905274636590775,False
DefaultB-SalVentAttnA,0.006501270654008518,False
DefaultB-SalVentAttnB,0.07807179994500102,False
DefaultB-SomMotA,-0.07844194608325968,False
DefaultB-SomMotB,-0.02050721680116307,False
DefaultB-TempPar,0.13069134587764727,False
DefaultB-VisCent,-0.018290790609223596,False
DefaultB-VisPeri,-0.07800517173496749,False
DefaultC-DefaultC,0.5983100838691776,True
DefaultC-DorsAttnA,-0.1234445451108081,False
DefaultC-DorsAttnB,-0.07024561899607014,False
DefaultC-LimbicA,0.02429098432120863,False
DefaultC-LimbicB,0.0709434173659826,False
DefaultC-SalVentAttnA,-0.022067952916834867,False
DefaultC-SalVentAttnB,-0.01232569125725884,False
DefaultC-SomMotA,-0.12922873091751805,False
DefaultC-SomMotB,-0.04061959628348624,False
DefaultC-TempPar,0.5209744268878596,False
DefaultC-VisCent,-0.04453835704150246,False
DefaultC-VisPeri,-0.09205402399178514,False
DorsAttnA-DorsAttnA,0.1898267447061971,True
DorsAttnA-DorsAttnB,0.08997311749269182,False
DorsAttnA-LimbicA,-0.005444389221037733,False
DorsAttnA-LimbicB,-0.0648828205943301,False
DorsAttnA-SalVentAttnA,0.014436789864117878,False
DorsAttnA-SalVentAttnB,-0.022828721411758297,False
DorsAttnA-SomMotA,0.013249674138537252,False
DorsAttnA-SomMotB,0.04962292588693037,False
DorsAttnA-TempPar,-0.13916388339939068,False
DorsAttnA-VisCent,0.004126352945808521,False
DorsAttnA-VisPeri,-0.02026234578682897,False
DorsAttnB-DorsAttnB,0.1151109693745066,True
DorsAttnB-LimbicA,0.05678509916591327,False
DorsAttnB-LimbicB,0.03738518074827055,False
DorsAttnB-SalVentAttnA,0.02028226075655155,False
DorsAttnB-SalVentAttnB,0.06574139354150363,False
DorsAttnB-SomMotA,-0.015950723862383064,False
DorsAttnB-SomMotB,0.0034868928950211337,False
DorsAttnB-TempPar,-0.09800408439520072,False
DorsAttnB-VisCent,0.0305172868747792,False
DorsAttnB-VisPeri,-0.0288590649820152,False
LimbicA-LimbicA,0.3018795506741987,True
LimbicA-LimbicB,0.20037048502298066,False
LimbicA-SalVentAttnA,0.04975782344722391,False
LimbicA-SalVentAttnB,0.22973312351352526,False
LimbicA-SomMotA,-0.14674518618788548,False
LimbicA-SomMotB,0.0016488065692668926,False
LimbicA-TempPar,-0.07378938093932202,False
LimbicA-VisCent,-0.03308867512088577,False
LimbicA-VisPeri,-0.18292443107838213,False
LimbicB-LimbicB,0.25537531496154825,True
LimbicB-SalVentAttnA,0.07786254942590942,False
LimbicB-SalVentAttnB,0.27620082888120806,False
LimbicB-SomMotA,-0.11012297839032359,False
LimbicB-SomMotB,0.005350065027882483,False
LimbicB-TempPar,0.0046524320501408565,False
LimbicB-VisCent,0.0033166195167623337,False
LimbicB-VisPeri,-0.1388338725032117,False
SalVentAttnA-SalVentAttnA,0.05930061669624835,True
