network_connection,fc,within_network
ContA-ContA,0.29223513600098006,True
ContA-ContB,0.16720235534443367,False
ContA-ContC,0.1402805353562049,False
ContA-DefaultA,0.14789610771064834,False
ContA-DefaultB,0.10179375756383614,False
ContA-DefaultC,-0.020342980477445028,False
ContA-DorsAttnA,-0.023393041519714258,False
ContA-DorsAttnB,0.08739762319604003,False
ContA-LimbicA,0.26452037707055237,False
ContA-LimbicB,0.16802887554319526,False
ContA-SalVentAttnA,0.03180287869136715,False
ContA-SalVentAttnB,0.1912076497801987,False
ContA-SomMotA,-0.060600460063410605,False
ContA-SomMotB,-0.04807057253304406,False
ContA-TempPar,-0.04401222063307351,False
ContA-VisCent,0.05319058530471887,False
ContA-VisPeri,-0.03247123409005435,False
ContB-ContB,0.22099405970148514,True
ContB-ContC,0.09867167014460164,False
ContB-DefaultA,0.07355006503898659,False
ContB-DefaultB,0.06801625865611496,False
ContB-DefaultC,0.07558286797815966,False
ContB-DorsAttnA,0.023099011786670516,False
ContB-DorsAttnB,0.08832877387641312,False
ContB-LimbicA,0.13567686992493597,False
ContB-LimbicB,0.05948628648040682,False
ContB-SalVentAttnA,-0.0010109972364226098,False
ContB-SalVentAttnB,0.044253986401297934,False
ContB-SomMotA,-0.03134152986202795,False
ContB-SomMotB,-0.0383948408810704,False
ContB-TempPar,0.10212624217380646,False
ContB-VisCent,0.06794287923200201,False
ContB-VisPeri,-0.03523466187075943,False
ContC-ContC,0.29144113710474145,True
ContC-DefaultA,0.2603031936570181,False
ContC-DefaultB,0.12479920881194789,False
ContC-DefaultC,-0.031172600105450466,False
ContC-DorsAttnA,-0.012270856253476174,False
ContC-DorsAttnB,0.0660538974568234,False
ContC-LimbicA,0.17028511972176286,False
ContC-LimbicB,0.17412456717858094,False
ContC-SalVentAttnA,0.0642702215571134,False
ContC-SalVentAttnB,0.17889313539984233,False
ContC-SomMotA,0.001376013740284499,False
ContC-SomMotB,-0.012593701728885902,False
ContC-TempPar,-0.06177222996546631,False
ContC-VisCent,0.08622444847970526,False
ContC-VisPeri,0.028059007477199097,False
DefaultA-DefaultA,0.2616149396178224,True
DefaultA-DefaultB,0.14651997572227257,False
DefaultA-DefaultC,-0.041820624387035356,False
DefaultA-DorsAttnA,-0.030688883947775587,False
DefaultA-DorsAttnB,0.04255625239269372,False
DefaultA-LimbicA,0.17149357007566574,False
DefaultA-LimbicB,0.1898260950599386,False
DefaultA-SalVentAttnA,0.060964903988954655,False
DefaultA-SalVentAttnB,0.19983105085818842,False
DefaultA-SomMotA,-0.03163836299821515,False
DefaultA-SomMotB,-0.019144914659231477,False
DefaultA-TempPar,-0.07671890781660648,False
DefaultA-VisCent,0.06318670358683134,False
DefaultA-VisPeri,-0.004661447044391524,False
DefaultB-DefaultB,0.15359796440523918,True
DefaultB-DefaultC,0.12048386248438685,False
DefaultB-DorsAttnA,-0.054812757377812736,False
DefaultB-DorsAttnB,0.01869316703598297,False
DefaultB-LimbicA,0.09433683319371797,False
DefaultB-LimbicB,0.12886712257824312,False
DefaultB-SalVentAttnA,0.02131547947212264,False
DefaultB-SalVentAttnB,0.1130651973611964,False
DefaultB-SomMotA,-0.04535732481963298,False
DefaultB-SomMotB,-0.017882242476579224,False
DefaultB-TempPar,0.04224551978646552,False
DefaultB-VisCent,0.04340579091949021,False
DefaultB-VisPeri,-0.032835108764703226,False
DefaultC-DefaultC,0.36636297444836163,True
DefaultC-DorsAttnA,-0.08203794843093568,False
DefaultC-DorsAttnB,0.00805818868428826,False
DefaultC-LimbicA,-0.06403326113002668,False
DefaultC-LimbicB,-0.00764465228598037,False
DefaultC-SalVentAttnA,-0.048297713586244094,False
DefaultC-SalVentAttnB,-0.08032378266953726,False
DefaultC-SomMotA,-0.00886017474429955,False
DefaultC-SomMotB,-0.016370174157376623,False
DefaultC-TempPar,0.319293532941287,False
DefaultC-VisCent,0.06059285547633962,False
DefaultC-VisPeri,-0.02754601681971537,False
DorsAttnA-DorsAttnA,0.2402206063081241,True
DorsAttnA-DorsAttnB,0.06902000770055568,False
DorsAttnA-LimbicA,-0.0006114286895542595,False
DorsAttnA-LimbicB,-0.04641264285844291,False
DorsAttnA-SalVentAttnA,0.048006000925581625,False
DorsAttnA-SalVentAttnB,-0.007349472032144686,False
DorsAttnA-SomMotA,-0.010169232846580193,False
DorsAttnA-SomMotB,0.02394669723748021,False
DorsAttnA-TempPar,-0.059552694175280856,False
DorsAttnA-VisCent,-0.02463787520925396,False
DorsAttnA-VisPeri,0.005509371922235573,False
DorsAttnB-DorsAttnB,0.1096960086740801,True
DorsAttnB-LimbicA,0.08885378051938206,False
DorsAttnB-LimbicB,0.04816141331335972,False
DorsAttnB-SalVentAttnA,0.03971764861129657,False
DorsAttnB-SalVentAttnB,0.0679813245290688,False
DorsAttnB-SomMotA,-0.0009904105903576258,False
DorsAttnB-SomMotB,-0.036221252058633524,False
DorsAttnB-TempPar,0.003632330057969745,False
DorsAttnB-VisCent,0.06193962804494785,False
DorsAttnB-VisPeri,0.02622020772110622,False
LimbicA-LimbicA,0.26770974625078087,True
LimbicA-LimbicB,0.19378458330941947,False
LimbicA-SalVentAttnA,0.06067818247712988,False
LimbicA-SalVentAttnB,0.23821746819552264,False
LimbicA-SomMotA,-0.055249738883371924,False
LimbicA-SomMotB,-0.028514401235631395,False
LimbicA-TempPar,-0.09548092598959991,False
LimbicA-VisCent,0.036877218970312584,False
LimbicA-VisPeri,-0.027906616640149217,False
LimbicB-LimbicB,0.25238791945215816,True
LimbicB-SalVentAttnA,0.09908168806391154,False
LimbicB-SalVentAttnB,0.2854289209047496,False
LimbicB-SomMotA,-0.07990170826185047,False
LimbicB-SomMotB,-0.004511227569475876,False
LimbicB-TempPar,-0.09637237342216039,False
LimbicB-VisCent,0.04348589336395389,False
LimbicB-VisPeri,-0.04715751809847897,False
SalVentAttnA-SalVentAttnA,0.10242209373922491,True
SalVentAttnA-SalVentAttnB,0.13377853078849167,False
SalVentAttnA-SomMotA,-0.026171010253898567,False
SalVentAttnA-SomMotB,0.027285014240692608,False
SalVentAttnA-TempPar,-0.0864402912117984,False
SalVentAttnA-VisCent,0.003795692917040282,False
SalVentAttnA-VisPeri,0.011105689920839736,False
SalVentAttnB-SalVentAttnB,0.34521043089760756,True
SalVentAttnB-SomMotA,-0.10360685629130516,False
SalVentAttnB-SomMotB,-0.012852575681883987,False
SalVentAttnB-TempPar,-0.15159341495989473,False
SalVentAttnB-VisCent,0.01514677577529257,False
SalVentAttnB-VisPeri,-0.046050468973921135,False
SomMotA-SomMotA,0.1713296929682553,True
SomMotA-SomMotB,0.06934059279738118,False
SomMotA-TempPar,0.020446031728746247,False
SomMotA-VisCent,0.06935371266290007,False
SomMotA-VisPeri,0.16864001887664837,False
SomMotB-SomMotB,0.12964581736971056,True
SomMotB-TempPar,-0.043014393029348015,False
SomMotB-VisCent,0.017856416706940884,False
SomMotB-VisPeri,0.05677161414837074,False
TempPar-TempPar,0.4229584549365245,True
TempPar-VisCent,0.039138409062559776,False
TempPar-VisPeri,-0.016834582527446337,False
VisCent-VisCent,0.10894508751140036,True
VisCent-VisPeri,0.061135925728980155,False
VisPeri-VisPeri,0.22157177720936166,True
