network_connection,fc,within_network
ContA-ContA,0.2932627584398668,True
ContA-ContB,0.1713053977181936,False
ContA-ContC,0.07375252767824617,False
ContA-DefaultA,0.10037345484188961,False
ContA-DefaultB,0.13653332879126545,False
ContA-DefaultC,0.10645111440552792,False
ContA-DorsAttnA,-0.026449470524655704,False
ContA-DorsAttnB,0.03620364011816305,False
ContA-LimbicA,0.27780141369796607,False
ContA-LimbicB,0.17032911107325033,False
ContA-SalVentAttnA,0.009916799837367657,False
ContA-SalVentAttnB,0.1258379230345921,False
ContA-SomMotA,-0.10490063246428773,False
ContA-SomMotB,-0.05645989903667321,False
ContA-TempPar,0.07086613198971996,False
ContA-VisCent,-0.03490208471381947,False
ContA-VisPeri,-0.07480972255874305,False
ContB-ContB,0.20258353233447157,True
ContB-ContC,0.07059345443041383,False
ContB-DefaultA,0.03704134132546958,False
ContB-DefaultB,0.08080702876594284,False
ContB-DefaultC,0.15174396990647132,False
ContB-DorsAttnA,-0.024082607765786215,False
ContB-DorsAttnB,0.041262852599648084,False
ContB-LimbicA,0.11626632133689115,False
ContB-LimbicB,0.0645360133021517,False
ContB-SalVentAttnA,-0.01591277964527674,False
ContB-SalVentAttnB,0.005320707574598998,False
ContB-SomMotA,-0.06652835598491014,False
ContB-SomMotB,-0.05108641194147029,False
ContB-TempPar,0.22574368868941908,False
ContB-VisCent,-0.007243992852122703,False
ContB-VisPeri,-0.07241643057476461,False
ContC-ContC,0.3019288885445928,True
ContC-DefaultA,0.28794356606676647,False
ContC-DefaultB,0.20573769683405985,False
ContC-DefaultC,0.012469600533838603,False
ContC-DorsAttnA,-0.0629478553107552,False
ContC-DorsAttnB,0.012322064257458193,False
ContC-LimbicA,0.14194562070117606,False
ContC-LimbicB,0.17308429301114792,False
ContC-SalVentAttnA,0.041388655804047186,False
ContC-SalVentAttnB,0.15530320899159866,False
ContC-SomMotA,-0.021522845850150088,False
ContC-SomMotB,-0.043340613501195696,False
ContC-TempPar,-0.02525553983321527,False
ContC-VisCent,0.020869648576025437,False
ContC-VisPeri,0.019003669784803157,False
DefaultA-DefaultA,0.32477984905188273,True
DefaultA-DefaultB,0.2643814083297965,False
DefaultA-DefaultC,0.03886652335518356,False
DefaultA-DorsAttnA,-0.0840553006628333,False
DefaultA-DorsAttnB,-0.005011127502058967,False
DefaultA-LimbicA,0.16047307013121948,False
DefaultA-LimbicB,0.19622058682879062,False
DefaultA-SalVentAttnA,0.03231559261681324,False
DefaultA-SalVentAttnB,0.16331516523520503,False
DefaultA-SomMotA,-0.03750318154838994,False
DefaultA-SomMotB,-0.05231142490080837,False
DefaultA-TempPar,-0.05939590498416544,False
DefaultA-VisCent,0.03578722909807747,False
DefaultA-VisPeri,0.019497440532524786,False
DefaultB-DefaultB,0.3111650272301726,True
DefaultB-DefaultC,0.2198529518798566,False
DefaultB-DorsAttnA,-0.11332345637806093,False
DefaultB-DorsAttnB,-0.04726790940582429,False
DefaultB-LimbicA,0.15845698785427315,False
DefaultB-LimbicB,0.15954667540771625,False
DefaultB-SalVentAttnA,-0.014148654490456613,False
DefaultB-SalVentAttnB,0.07998273976961263,False
DefaultB-SomMotA,-0.08833393876649015,False
DefaultB-SomMotB,-0.06761704001116299,False
DefaultB-TempPar,0.05881137016615312,False
DefaultB-VisCent,0.009736494440064369,False
DefaultB-VisPeri,-0.03310572935190463,False
DefaultC-DefaultC,0.4166093532926705,True
DefaultC-DorsAttnA,-0.13472841763907953,False
DefaultC-DorsAttnB,-0.05996201474565399,False
DefaultC-LimbicA,0.06294866318896676,False
DefaultC-LimbicB,0.03943570703661063,False
DefaultC-SalVentAttnA,-0.07149818075510754,False
DefaultC-SalVentAttnB,-0.08123434584777595,False
DefaultC-SomMotA,-0.12019886575201498,False
DefaultC-SomMotB,-0.09031946896515901,False
DefaultC-TempPar,0.358732513736966,False
DefaultC-VisCent,-0.0011983063333323545,False
DefaultC-VisPeri,-0.10068990976996696,False
DorsAttnA-DorsAttnA,0.2558591343195781,True
DorsAttnA-DorsAttnB,0.11374932960190641,False
DorsAttnA-LimbicA,-0.0278612539332186,False
DorsAttnA-LimbicB,-0.05132476722934668,False
DorsAttnA-SalVentAttnA,0.07350779064636322,False
DorsAttnA-SalVentAttnB,0.020751383851437977,False
DorsAttnA-SomMotA,0.037010465674699865,False
DorsAttnA-SomMotB,0.1117429408787326,False
DorsAttnA-TempPar,-0.11603077442378443,False
DorsAttnA-VisCent,-0.03216863406353761,False
DorsAttnA-VisPeri,0.0032251580824124455,False
DorsAttnB-DorsAttnB,0.15106759364027253,True
DorsAttnB-LimbicA,0.03221085528594134,False
DorsAttnB-LimbicB,0.013669652778106015,False
DorsAttnB-SalVentAttnA,0.04752900873001858,False
DorsAttnB-SalVentAttnB,0.05667590999447145,False
DorsAttnB-SomMotA,0.039825674409373145,False
DorsAttnB-SomMotB,0.0002644875608202478,False
DorsAttnB-TempPar,-7.143411566282106e-05,False
DorsAttnB-VisCent,0.03778681009595068,False
DorsAttnB-VisPeri,0.0626467891833687,False
LimbicA-LimbicA,0.2958643143047092,True
LimbicA-LimbicB,0.23704723641709805,False
LimbicA-SalVentAttnA,0.04051614549157995,False
LimbicA-SalVentAttnB,0.2036569413780274,False
LimbicA-SomMotA,-0.11155309091947696,False
LimbicA-SomMotB,-0.046560075993909385,False
LimbicA-TempPar,-0.02032965827136434,False
LimbicA-VisCent,-0.03525275846983185,False
LimbicA-VisPeri,-0.08247034580072646,False
LimbicB-LimbicB,0.25824380056868446,True
LimbicB-SalVentAttnA,0.07500588190815474,False
LimbicB-SalVentAttnB,0.25809098903675776,False
LimbicB-SomMotA,-0.1048143841580647,False
LimbicB-SomMotB,-0.019970430305307575,False
LimbicB-TempPar,-0.06393760475969949,False
LimbicB-VisCent,-0.00207537829902988,False
LimbicB-VisPeri,-0.06482976575055388,False
SalVentAttnA-SalVentAttnA,0.09627339149397232,True
SalVentAttnA-SalVentAttnB,0.1236774453735582,False
SalVentAttnA-SomMotA,0.005932758675983475,False
SalVentAttnA-SomMotB,0.0729451666430694,False
SalVentAttnA-TempPar,-0.0839267325838506,False
SalVentAttnA-VisCent,0.00726443047097751,False
SalVentAttnA-VisPeri,0.02214773670124873,False
SalVentAttnB-SalVentAttnB,0.3080817963830588,True
SalVentAttnB-SomMotA,-0.0787494888120487,False
SalVentAttnB-SomMotB,0.011877388104849264,False
SalVentAttnB-TempPar,-0.1559403444365732,False
SalVentAttnB-VisCent,-0.01675060528498505,False
SalVentAttnB-VisPeri,-0.022062716488980245,False
SomMotA-SomMotA,0.20389757720260193,True
SomMotA-SomMotB,0.08133522056304826,False
SomMotA-TempPar,-0.06649430647095775,False
SomMotA-VisCent,0.09684993419276536,False
SomMotA-VisPeri,0.20991337615578295,False
SomMotB-SomMotB,0.16991341074894686,True
SomMotB-TempPar,-0.11201269057687208,False
SomMotB-VisCent,0.029683795177892082,False
SomMotB-VisPeri,0.03535086539966953,False
TempPar-TempPar,0.619851181083748,True
TempPar-VisCent,-0.006718897440424883,False
TempPar-VisPeri,-0.08868639879790828,False
VisCent-VisCent,0.10550719941101093,True
VisCent-VisPeri,0.12241890785389827,False
VisPeri-VisPeri,0.34538353946744976,True
