network_connection,fc,within_network
ContA-ContA,0.3475163125981421,True
ContA-ContB,0.21897566408007024,False
ContA-ContC,0.17458806418022338,False
ContA-DefaultA,0.1705785084676396,False
ContA-DefaultB,0.14535717820688937,False
ContA-DefaultC,-0.012464367717805533,False
ContA-DorsAttnA,-0.0407575755565613,False
ContA-DorsAttnB,0.06177980016088875,False
ContA-LimbicA,0.3510007199083622,False
ContA-LimbicB,0.28660258542579237,False
ContA-SalVentAttnA,0.050036292086436805,False
ContA-SalVentAttnB,0.32194667891285295,False
ContA-SomMotA,-0.19277125053286767,False
ContA-SomMotB,-0.05016958226938547,False
ContA-TempPar,-0.11298532842796617,False
ContA-VisCent,-0.02971781764892491,False
ContA-VisPeri,-0.20576254496038315,False
ContB-ContB,0.21613115257726917,True
ContB-ContC,0.1666405740793581,False
ContB-DefaultA,0.1280053582005267,False
ContB-DefaultB,0.10658858198748472,False
ContB-DefaultC,-0.006913870976655736,False
ContB-DorsAttnA,-0.021992591792404436,False
ContB-DorsAttnB,0.0538022521550236,False
ContB-LimbicA,0.21430158180468198,False
ContB-LimbicB,0.15763154455598732,False
ContB-SalVentAttnA,0.006645078475743477,False
ContB-SalVentAttnB,0.15543953998439392,False
ContB-SomMotA,-0.12722372293876408,False
ContB-SomMotB,-0.060177112716496575,False
ContB-TempPar,-0.026008810818840575,False
ContB-VisCent,-7.072153042535926e-05,False
ContB-VisPeri,-0.1474228775858815,False
ContC-ContC,0.3199317433084114,True
ContC-DefaultA,0.2783868556287178,False
ContC-DefaultB,0.19473173774158478,False
ContC-DefaultC,-0.09643008748633977,False
ContC-DorsAttnA,-0.08537664726774911,False
ContC-DorsAttnB,0.04240027897033697,False
ContC-LimbicA,0.1792734641411526,False
ContC-LimbicB,0.178866219139715,False
ContC-SalVentAttnA,-0.018765653016644197,False
ContC-SalVentAttnB,0.16807592314763944,False
ContC-SomMotA,-0.0830274296045452,False
ContC-SomMotB,-0.09023854208128497,False
ContC-TempPar,-0.10407940010233295,False
ContC-VisCent,0.028797118345145534,False
ContC-VisPeri,-0.1337985649798581,False
DefaultA-DefaultA,0.26157096986949246,True
DefaultA-DefaultB,0.18243699440831068,False
DefaultA-DefaultC,-0.10781618569103131,False
DefaultA-DorsAttnA,-0.064174681005555,False
DefaultA-DorsAttnB,0.037559550735554385,False
DefaultA-LimbicA,0.16682642657846794,False
DefaultA-LimbicB,0.17964759555907792,False
DefaultA-SalVentAttnA,-0.0016743587526056125,False
DefaultA-SalVentAttnB,0.17130881771416206,False
DefaultA-SomMotA,-0.06914163429242766,False
DefaultA-SomMotB,-0.06342334674287951,False
DefaultA-TempPar,-0.11759404069300075,False
DefaultA-VisCent,0.03252068727390853,False
DefaultA-VisPeri,-0.11976484881204745,False
DefaultB-DefaultB,0.17837553694493413,True
DefaultB-DefaultC,0.047060750999063025,False
