network_connection,fc,within_network
ContA-ContA,0.23200303631572325,True
ContA-ContB,0.13346886123005935,False
ContA-ContC,0.12218017205013378,False
ContA-DefaultA,0.13580889607976787,False
ContA-DefaultB,0.13408847831225362,False
ContA-DefaultC,0.02410179235286946,False
ContA-DorsAttnA,0.03168995186177879,False
ContA-DorsAttnB,0.09489814151090967,False
ContA-LimbicA,0.228531351720876,False
ContA-LimbicB,0.1488777979950653,False
ContA-SalVentAttnA,0.06871950352285885,False
ContA-SalVentAttnB,0.1957801763594541,False
ContA-SomMotA,-0.035563207855586525,False
ContA-SomMotB,0.029236065967127252,False
ContA-TempPar,-0.06880656052838624,False
ContA-VisCent,0.0477865235790358,False
ContA-VisPeri,0.03001095490145674,False
ContB-ContB,0.17263835261652039,True
ContB-ContC,0.06336716797854437,False
ContB-DefaultA,0.045491059177599553,False
ContB-DefaultB,0.08885915024373743,False
ContB-DefaultC,0.13705402169980355,False
ContB-DorsAttnA,0.06416936320361778,False
ContB-DorsAttnB,0.07414117640659512,False
ContB-LimbicA,0.12083101843160023,False
ContB-LimbicB,0.056966643730639595,False
ContB-SalVentAttnA,0.020136208283133908,False
ContB-SalVentAttnB,0.05981100027704717,False
ContB-SomMotA,-0.04426358721040948,False
ContB-SomMotB,0.0317357072537625,False
ContB-TempPar,0.12308186430497595,False
ContB-VisCent,0.02920756343926927,False
ContB-VisPeri,-0.04629169178229026,False
ContC-ContC,0.2746512834354923,True
ContC-DefaultA,0.24997659065636532,False
ContC-DefaultB,0.1266696024003278,False
ContC-DefaultC,-0.045170084260902986,False
ContC-DorsAttnA,0.028420612123363977,False
ContC-DorsAttnB,0.08168453050479292,False
ContC-LimbicA,0.20094255552586215,False
ContC-LimbicB,0.20418177235868742,False
ContC-SalVentAttnA,0.08110462379239244,False
ContC-SalVentAttnB,0.24861199740877585,False
ContC-SomMotA,0.04019050573436373,False
ContC-SomMotB,0.021552664009477477,False
ContC-TempPar,-0.12384389411244479,False
ContC-VisCent,0.12062165778950568,False
ContC-VisPeri,0.09797656110574822,False
DefaultA-DefaultA,0.25202050031824774,True
DefaultA-DefaultB,0.1409918898573494,False
DefaultA-DefaultC,-0.049259182210227834,False
DefaultA-DorsAttnA,0.010278889211889847,False
DefaultA-DorsAttnB,0.06521139056762722,False
DefaultA-LimbicA,0.19930847908563115,False
DefaultA-LimbicB,0.20555136287873663,False
DefaultA-SalVentAttnA,0.07635032412717235,False
DefaultA-SalVentAttnB,0.24494918012599876,False
DefaultA-SomMotA,0.026782851739696363,False
DefaultA-SomMotB,0.011786545134650066,False
DefaultA-TempPar,-0.12968939233346574,False
DefaultA-VisCent,0.1180771599461827,False
