network_connection,fc,within_network
ContA-ContA,0.26512081793781833,True
ContA-ContB,0.1745846108858493,False
ContA-ContC,0.09241871564423315,False
ContA-DefaultA,0.11100554919309907,False
ContA-DefaultB,0.10557001243474963,False
ContA-DefaultC,0.05563308445876712,False
ContA-DorsAttnA,-0.05119194657438208,False
ContA-DorsAttnB,0.053773668709804504,False
ContA-LimbicA,0.26638857310367137,False
ContA-LimbicB,0.1905810220854698,False
ContA-SalVentAttnA,0.02016932867870395,False
ContA-SalVentAttnB,0.17026504155886546,False
ContA-SomMotA,-0.10698795737037353,False
ContA-SomMotB,-0.03294854875680381,False
ContA-TempPar,0.013854879571305849,False
ContA-VisCent,0.016056227573598012,False
ContA-VisPeri,-0.09057694566076685,False
ContB-ContB,0.19858430810117758,True
ContB-ContC,0.10902838805775635,False
ContB-DefaultA,0.08714647665502175,False
ContB-DefaultB,0.09713536604979621,False
ContB-DefaultC,0.11524464220901734,False
ContB-DorsAttnA,-0.020325086540119795,False
ContB-DorsAttnB,0.04592505950254486,False
ContB-LimbicA,0.15603128478777542,False
ContB-LimbicB,0.10728021566033061,False
ContB-SalVentAttnA,-0.012758203965309436,False
ContB-SalVentAttnB,0.07307798459035651,False
ContB-SomMotA,-0.07393283371127114,False
ContB-SomMotB,-0.047024221356526154,False
ContB-TempPar,0.05700389950415751,False
ContB-VisCent,0.020587297470742266,False
ContB-VisPeri,-0.07272652143797358,False
ContC-ContC,0.22704935515539876,True
ContC-DefaultA,0.17025993161810068,False
ContC-DefaultB,0.10988509525713835,False
ContC-DefaultC,0.056115398940890696,False
ContC-DorsAttnA,-0.08668705161880708,False
ContC-DorsAttnB,0.018922736909026107,False
ContC-LimbicA,0.12501946548697243,False
ContC-LimbicB,0.17422774993195378,False
ContC-SalVentAttnA,0.030515433909928388,False
ContC-SalVentAttnB,0.1768895100231417,False
ContC-SomMotA,-0.09785530746839222,False
ContC-SomMotB,-0.053020423552594606,False
ContC-TempPar,0.02512459780958189,False
ContC-VisCent,-0.010367215821899632,False
ContC-VisPeri,-0.09056805172566414,False
DefaultA-DefaultA,0.16866823788443192,True
DefaultA-DefaultB,0.11894152687602126,False
DefaultA-DefaultC,0.05080812839802198,False
DefaultA-DorsAttnA,-0.06781833670884442,False
DefaultA-DorsAttnB,0.027819700296605406,False
DefaultA-LimbicA,0.1356637462026076,False
DefaultA-LimbicB,0.17391971493465572,False
DefaultA-SalVentAttnA,0.03954776000341195,False
DefaultA-SalVentAttnB,0.1799410695337336,False
DefaultA-SomMotA,-0.08947250971198142,False
DefaultA-SomMotB,-0.042402464010378206,False
DefaultA-TempPar,0.03664924637647676,False
DefaultA-VisCent,0.00870190037692671,False
DefaultA-VisPeri,-0.09208302378031602,False
DefaultB-DefaultB,0.14472814350909408,True
DefaultB-DefaultC,0.1799591845032394,False
DefaultB-DorsAttnA,-0.08828079419605499,False
DefaultB-DorsAttnB,0.0008880655153548456,False
DefaultB-LimbicA,0.09809826520905622,False
DefaultB-LimbicB,0.13228517958290895,False
DefaultB-SalVentAttnA,0.0047762612595540245,False
DefaultB-SalVentAttnB,0.10667976566897497,False
DefaultB-SomMotA,-0.08112436376740421,False
DefaultB-SomMotB,-0.04394917692761976,False
DefaultB-TempPar,0.08895006228281395,False
DefaultB-VisCent,0.000634328682791929,False
DefaultB-VisPeri,-0.07984098506167571,False
DefaultC-DefaultC,0.41306534237737896,True
DefaultC-DorsAttnA,-0.09667273340914771,False
DefaultC-DorsAttnB,-0.022079505222008168,False
DefaultC-LimbicA,0.026033131280446407,False
DefaultC-LimbicB,0.08426929285976341,False
DefaultC-SalVentAttnA,-0.02669890472704644,False
DefaultC-SalVentAttnB,0.019909699394208853,False
DefaultC-SomMotA,-0.088327826389099,False
DefaultC-SomMotB,-0.047790061032213116,False
DefaultC-TempPar,0.3005224505646002,False
DefaultC-VisCent,-0.01827790756815143,False
DefaultC-VisPeri,-0.0932706812572917,False
DorsAttnA-DorsAttnA,0.24591253570012503,True
DorsAttnA-DorsAttnB,0.08607815175694013,False
DorsAttnA-LimbicA,-0.04155624756430914,False
DorsAttnA-LimbicB,-0.08866741540673485,False
DorsAttnA-SalVentAttnA,0.017503676094407925,False
DorsAttnA-SalVentAttnB,-0.06305569606843499,False
DorsAttnA-SomMotA,0.07949229209622151,False
DorsAttnA-SomMotB,0.08447166240293646,False
DorsAttnA-TempPar,-0.06530598774507723,False
DorsAttnA-VisCent,0.032185293501194645,False
DorsAttnA-VisPeri,0.053252805976011106,False
DorsAttnB-DorsAttnB,0.11631155361991913,True
DorsAttnB-LimbicA,0.08664293459922222,False
DorsAttnB-LimbicB,0.07203033322365772,False
DorsAttnB-SalVentAttnA,0.04118491672781459,False
DorsAttnB-SalVentAttnB,0.08604091761596713,False
DorsAttnB-SomMotA,-0.031586559552430934,False
DorsAttnB-SomMotB,0.022268248968381015,False
DorsAttnB-TempPar,-0.019543178226727326,False
DorsAttnB-VisCent,0.03215467281001401,False
DorsAttnB-VisPeri,-0.033518872716926426,False
LimbicA-LimbicA,0.315751802905834,True
LimbicA-LimbicB,0.27707299809990765,False
LimbicA-SalVentAttnA,0.07153359064402028,False
LimbicA-SalVentAttnB,0.2882645607714685,False
LimbicA-SomMotA,-0.16067841781418357,False
LimbicA-SomMotB,-0.018807629362591373,False
LimbicA-TempPar,-0.006492179003047115,False
LimbicA-VisCent,0.010035805455189525,False
LimbicA-VisPeri,-0.1454757263303601,False
LimbicB-LimbicB,0.3472238421923164,True
LimbicB-SalVentAttnA,0.11003993031064527,False
LimbicB-SalVentAttnB,0.36420357865277425,False
LimbicB-SomMotA,-0.196348290888127,False
LimbicB-SomMotB,-0.005352572075671034,False
LimbicB-TempPar,0.021154565316981722,False
LimbicB-VisCent,0.013533882544011545,False
LimbicB-VisPeri,-0.187100089136598,False
SalVentAttnA-SalVentAttnA,0.10934269211673488,True
SalVentAttnA-SalVentAttnB,0.1399271054779324,False
SalVentAttnA-SomMotA,-0.03418067223343606,False
SalVentAttnA-SomMotB,0.06515309646187979,False
SalVentAttnA-TempPar,-0.015235473218833487,False
SalVentAttnA-VisCent,0.0022403907233741007,False
SalVentAttnA-VisPeri,-0.0035839946797142272,False
SalVentAttnB-SalVentAttnB,0.39689470015926276,True
SalVentAttnB-SomMotA,-0.19665491115809866,False
SalVentAttnB-SomMotB,0.001024570014899461,False
SalVentAttnB-TempPar,0.009073263153882691,False
SalVentAttnB-VisCent,0.0033821618502417107,False
SalVentAttnB-VisPeri,-0.18069170914886978,False
SomMotA-SomMotA,0.22575455351597715,True
SomMotA-SomMotB,0.05844689924450261,False
SomMotA-TempPar,-0.0473990788500471,False
SomMotA-VisCent,0.06127286474195311,False
SomMotA-VisPeri,0.23814306993566356,False
SomMotB-SomMotB,0.1463911673765252,True
SomMotB-TempPar,-0.033004192854282764,False
SomMotB-VisCent,0.035225097684479276,False
SomMotB-VisPeri,0.04791799444967249,False
TempPar-TempPar,0.4324258933874611,True
TempPar-VisCent,-0.029778411739288097,False
TempPar-VisPeri,-0.041574952341249555,False
VisCent-VisCent,0.0623478339550175,True
VisCent-VisPeri,0.051310168511177735,False
VisPeri-VisPeri,0.3068603448472568,True
