network_connection,fc,within_network
ContA-ContA,0.24205408559434582,True
ContA-ContB,0.09591310990328594,False
ContA-ContC,0.054217626211370246,False
ContA-DefaultA,0.10159513657276485,False
ContA-DefaultB,0.08439025303414226,False
ContA-DefaultC,-0.0020684641991641542,False
ContA-DorsAttnA,-0.025116939685979056,False
ContA-DorsAttnB,-0.006235214447169936,False
ContA-LimbicA,0.21439436122551464,False
ContA-LimbicB,0.13831354687302314,False
ContA-SalVentAttnA,0.004837415726956546,False
ContA-SalVentAttnB,0.13648879464729735,False
ContA-SomMotA,-0.08025622604411735,False
ContA-SomMotB,-0.023245634836019817,False
ContA-TempPar,-0.024450875762754832,False
ContA-VisCent,-0.020297217552769926,False
ContA-VisPeri,-0.05975763563641068,False
ContB-ContB,0.15232773951999046,True
ContB-ContC,0.005998785607198138,False
ContB-DefaultA,-0.007913715396769019,False
ContB-DefaultB,0.03000939635963169,False
ContB-DefaultC,0.11574418760826505,False
ContB-DorsAttnA,0.022700566859422865,False
ContB-DorsAttnB,0.060170499250146205,False
ContB-LimbicA,0.06873007888166736,False
ContB-LimbicB,0.025251269716338398,False
ContB-SalVentAttnA,-0.002204368299756105,False
ContB-SalVentAttnB,0.02174869934658885,False
ContB-SomMotA,-0.09183032634834878,False
ContB-SomMotB,-0.04812796293743983,False
ContB-TempPar,0.14678810207927356,False
ContB-VisCent,-0.010738943355973257,False
ContB-VisPeri,-0.10271902037670004,False
ContC-ContC,0.22515447797432514,True
ContC-DefaultA,0.19245749920266134,False
ContC-DefaultB,0.07580690834626974,False
ContC-DefaultC,-0.07868481230081209,False
ContC-DorsAttnA,-0.06371783615344742,False
ContC-DorsAttnB,-0.024560769273354044,False
ContC-LimbicA,0.1076144819772906,False
ContC-LimbicB,0.15222808247289432,False
ContC-SalVentAttnA,0.028600465872901135,False
ContC-SalVentAttnB,0.16470934412616378,False
ContC-SomMotA,-0.046597420794984516,False
ContC-SomMotB,-0.021358178659207215,False
ContC-TempPar,-0.1382762256386499,False
ContC-VisCent,-0.011649654960986118,False
ContC-VisPeri,-0.020771007195362436,False
DefaultA-DefaultA,0.217452017337758,True
DefaultA-DefaultB,0.1114917344881566,False
DefaultA-DefaultC,-0.10049830060477535,False
DefaultA-DorsAttnA,-0.06005165004507975,False
DefaultA-DorsAttnB,-0.03759279098065944,False
DefaultA-LimbicA,0.12197275412616163,False
DefaultA-LimbicB,0.17558697252032754,False
DefaultA-SalVentAttnA,0.028651905157193798,False
DefaultA-SalVentAttnB,0.16829676061617763,False
DefaultA-SomMotA,-0.06131951886115066,False
DefaultA-SomMotB,-0.01736780661964204,False
DefaultA-TempPar,-0.16113140698757947,False
DefaultA-VisCent,-0.010292251841901554,False
DefaultA-VisPeri,-0.05197439048015798,False
DefaultB-DefaultB,0.21664290081284382,True
DefaultB-DefaultC,0.1878735430995058,False
DefaultB-DorsAttnA,-0.05934776710872097,False
DefaultB-DorsAttnB,-0.08133020116929716,False
DefaultB-LimbicA,0.09263295179096308,False
DefaultB-LimbicB,0.09757131184647706,False
DefaultB-SalVentAttnA,-0.0104865153375943,False
DefaultB-SalVentAttnB,0.0675357634985279,False
DefaultB-SomMotA,-0.12076891852341709,False
DefaultB-SomMotB,-0.01345387432646672,False
DefaultB-TempPar,-0.00014292658726452242,False
DefaultB-VisCent,-0.05798797110493307,False
DefaultB-VisPeri,-0.14963749841969112,False
DefaultC-DefaultC,0.5123695964536115,True
DefaultC-DorsAttnA,-0.06079055204825337,False
DefaultC-DorsAttnB,-0.047150026562547374,False
DefaultC-LimbicA,0.0015820806776274156,False
DefaultC-LimbicB,-0.0529900743893558,False
DefaultC-SalVentAttnA,-0.06276756978277771,False
DefaultC-SalVentAttnB,-0.08666974656147801,False
DefaultC-SomMotA,-0.1511119290189187,False
DefaultC-SomMotB,-0.06970927930221614,False
DefaultC-TempPar,0.37396317800261697,False
DefaultC-VisCent,-0.08645330758768303,False
DefaultC-VisPeri,-0.20544020256710432,False
DorsAttnA-DorsAttnA,0.22259344457801664,True
DorsAttnA-DorsAttnB,0.09303971882933543,False
DorsAttnA-LimbicA,-0.02510244553002155,False
DorsAttnA-LimbicB,-0.0528733938412854,False
DorsAttnA-SalVentAttnA,0.054869565800363715,False
DorsAttnA-SalVentAttnB,-0.014870992221838812,False
DorsAttnA-SomMotA,0.032704876379238336,False
DorsAttnA-SomMotB,0.07082597183449045,False
DorsAttnA-TempPar,-0.004905955212807839,False
DorsAttnA-VisCent,-0.01558543628558904,False
DorsAttnA-VisPeri,0.01576999875603699,False
DorsAttnB-DorsAttnB,0.14117185135692745,True
DorsAttnB-LimbicA,-0.012869351830647463,False
DorsAttnB-LimbicB,-0.00453244886323405,False
DorsAttnB-SalVentAttnA,0.04339493790822229,False
DorsAttnB-SalVentAttnB,0.029409295495341898,False
DorsAttnB-SomMotA,-0.0002494479374491615,False
DorsAttnB-SomMotB,-0.04309201483973002,False
DorsAttnB-TempPar,0.06063335174898287,False
DorsAttnB-VisCent,0.01650708241321405,False
DorsAttnB-VisPeri,0.02285294482971847,False
LimbicA-LimbicA,0.20999632705871468,True
LimbicA-LimbicB,0.16511058158922812,False
LimbicA-SalVentAttnA,0.033905781869978766,False
LimbicA-SalVentAttnB,0.1746841170129296,False
