network_connection,fc,within_network
ContA-ContA,0.19969713580761245,True
ContA-ContB,0.1395686598230933,False
ContA-ContC,0.1730650050975824,False
ContA-DefaultA,0.19342777247539986,False
ContA-DefaultB,0.19323660805472598,False
ContA-DefaultC,-0.047584506100017805,False
ContA-DorsAttnA,-0.0713876481675736,False
ContA-DorsAttnB,-0.012817859552408524,False
ContA-LimbicA,0.17838683705739988,False
ContA-LimbicB,0.10149425614062793,False
ContA-SalVentAttnA,-0.02546057987641163,False
ContA-SalVentAttnB,0.062175352838790644,False
ContA-SomMotA,-0.04529945693030398,False
ContA-SomMotB,-0.05394088109410389,False
ContA-TempPar,-0.09926187163264048,False
ContA-VisCent,0.009212963406472409,False
ContA-VisPeri,-0.008590415682556798,False
ContB-ContB,0.15774741070812243,True
ContB-ContC,0.14378833020990522,False
ContB-DefaultA,0.13487746338022233,False
ContB-DefaultB,0.1464918586455915,False
ContB-DefaultC,0.01959925144738149,False
ContB-DorsAttnA,-0.07909455262991934,False
ContB-DorsAttnB,-0.006153935591902248,False
ContB-LimbicA,0.0996294056412493,False
ContB-LimbicB,0.052105159071080494,False
ContB-SalVentAttnA,-0.043750489653972824,False
ContB-SalVentAttnB,0.004081242607818301,False
ContB-SomMotA,-0.03428823666724146,False
ContB-SomMotB,-0.051454286627183016,False
ContB-TempPar,0.04206455328274866,False
ContB-VisCent,0.030809114668013424,False
ContB-VisPeri,0.0027219165422986556,False
ContC-ContC,0.24664801152788432,True
ContC-DefaultA,0.24656811305250473,False
ContC-DefaultB,0.18677795056320493,False
ContC-DefaultC,-0.10531483112732196,False
ContC-DorsAttnA,-0.1282300479303279,False
ContC-DorsAttnB,-0.024255384365226642,False
ContC-LimbicA,0.13457729136761942,False
ContC-LimbicB,0.10763320037127513,False
ContC-SalVentAttnA,-0.025573880837670638,False
ContC-SalVentAttnB,0.06232179848401232,False
ContC-SomMotA,-0.025525072394621543,False
ContC-SomMotB,-0.06635064236148179,False
ContC-TempPar,-0.09052586249430133,False
ContC-VisCent,0.047957866699495325,False
ContC-VisPeri,0.047522643410320003,False
DefaultA-DefaultA,0.257979671831036,True
