network_connection,fc,within_network
ContA-ContA,0.3303222374538342,True
ContA-ContB,0.17820755423703386,False
ContA-ContC,0.06517126450330876,False
ContA-DefaultA,0.12270159699123687,False
ContA-DefaultB,0.1123897129962721,False
ContA-DefaultC,-0.053956326024643224,False
ContA-DorsAttnA,0.011972701801720996,False
ContA-DorsAttnB,0.06127439693727696,False
ContA-LimbicA,0.3175968779938154,False
ContA-LimbicB,0.15781712675157258,False
ContA-SalVentAttnA,0.0009471526220107573,False
ContA-SalVentAttnB,0.20735483082326026,False
ContA-SomMotA,-0.18108264726067771,False
ContA-SomMotB,-0.04605075448562703,False
ContA-TempPar,0.0134805345674692,False
ContA-VisCent,-0.0758059061472806,False
ContA-VisPeri,-0.11937945730945763,False
ContB-ContB,0.19160379788024565,True
ContB-ContC,0.09371045255055813,False
ContB-DefaultA,0.05600985332061493,False
ContB-DefaultB,0.05328634115936239,False
ContB-DefaultC,0.037008440798443606,False
ContB-DorsAttnA,0.0016522091905111893,False
ContB-DorsAttnB,0.06566946717589646,False
ContB-LimbicA,0.15947820876592428,False
ContB-LimbicB,0.07484916521932142,False
ContB-SalVentAttnA,-0.008346303853476992,False
ContB-SalVentAttnB,0.08814110307190258,False
ContB-SomMotA,-0.10661005448131775,False
ContB-SomMotB,-0.035828373664758835,False
ContB-TempPar,0.13298337375661573,False
ContB-VisCent,-0.015264817505217462,False
ContB-VisPeri,-0.0877772562995601,False
ContC-ContC,0.24810573189766036,True
ContC-DefaultA,0.1754965850243562,False
ContC-DefaultB,0.08586732219759913,False
ContC-DefaultC,-0.032227061624072205,False
ContC-DorsAttnA,-0.027679072313280723,False
ContC-DorsAttnB,0.011676910896596155,False
ContC-LimbicA,0.1327163372896305,False
ContC-LimbicB,0.15870179581115482,False
ContC-SalVentAttnA,0.02476849614004936,False
ContC-SalVentAttnB,0.1478782792105369,False
ContC-SomMotA,-0.05866975607320421,False
ContC-SomMotB,0.004714221137223886,False
ContC-TempPar,-0.06882118128770862,False
ContC-VisCent,-0.0004930163921854885,False
ContC-VisPeri,-0.05612581084103539,False
DefaultA-DefaultA,0.17481572906152362,True
DefaultA-DefaultB,0.13072616863464626,False
DefaultA-DefaultC,-0.017967112024741442,False
DefaultA-DorsAttnA,-0.017875696627135645,False
DefaultA-DorsAttnB,0.007478294951118099,False
DefaultA-LimbicA,0.1473027648911617,False
DefaultA-LimbicB,0.17287735913411006,False
DefaultA-SalVentAttnA,0.03133418823216194,False
DefaultA-SalVentAttnB,0.17509233290759643,False
DefaultA-SomMotA,-0.10298186333137814,False
DefaultA-SomMotB,0.004809685477881592,False
DefaultA-TempPar,-0.0538557390937783,False
DefaultA-VisCent,-0.019579929674416255,False
DefaultA-VisPeri,-0.09722970270788121,False
DefaultB-DefaultB,0.19278701963416425,True
DefaultB-DefaultC,0.13897923843480672,False
DefaultB-DorsAttnA,-0.030995207508069784,False
