network_connection,fc,within_network
ContA-ContA,0.2895460688103317,True
ContA-ContB,0.14463111924125271,False
ContA-ContC,0.03440690435640412,False
ContA-DefaultA,0.02993619385835941,False
ContA-DefaultB,0.0294196981746441,False
ContA-DefaultC,-0.030726882895117963,False
ContA-DorsAttnA,-0.07684344255483197,False
ContA-DorsAttnB,0.024903404492823286,False
ContA-LimbicA,0.2662986067579285,False
ContA-LimbicB,0.2160755206149831,False
ContA-SalVentAttnA,0.022980375180935673,False
ContA-SalVentAttnB,0.21210172345782105,False
ContA-SomMotA,-0.1616496352685444,False
ContA-SomMotB,-0.06992094670367892,False
ContA-TempPar,-0.019104597399533185,False
ContA-VisCent,-0.04027551817071952,False
ContA-VisPeri,-0.13653975537723959,False
ContB-ContB,0.14888188696658358,True
ContB-ContC,0.05731381607670465,False
ContB-DefaultA,0.0316083319757259,False
ContB-DefaultB,0.05209942158351177,False
ContB-DefaultC,0.07531692731302653,False
ContB-DorsAttnA,0.017922080317033292,False
ContB-DorsAttnB,0.05047941998477067,False
ContB-LimbicA,0.13709981718786818,False
ContB-LimbicB,0.08162842780173288,False
ContB-SalVentAttnA,-0.015087926219489059,False
ContB-SalVentAttnB,0.07166232184159296,False
ContB-SomMotA,-0.12247895241391446,False
ContB-SomMotB,-0.0632807236279867,False
ContB-TempPar,0.07291252778608293,False
ContB-VisCent,-0.03235180903830881,False
ContB-VisPeri,-0.15396383419974036,False
ContC-ContC,0.19084892946070228,True
ContC-DefaultA,0.16475387431530428,False
ContC-DefaultB,0.12192543420107288,False
ContC-DefaultC,0.01134540660650217,False
ContC-DorsAttnA,-0.042977268402340243,False
ContC-DorsAttnB,0.0015362776802457564,False
ContC-LimbicA,0.0516516591170831,False
ContC-LimbicB,0.08566095579069444,False
ContC-SalVentAttnA,0.0271279731843899,False
ContC-SalVentAttnB,0.08719586499320099,False
ContC-SomMotA,-0.061686975554087226,False
ContC-SomMotB,-0.05527874709126924,False
ContC-TempPar,0.04521197783231214,False
ContC-VisCent,-0.03124778227902766,False
ContC-VisPeri,-0.061514659744754056,False
DefaultA-DefaultA,0.1605925633455749,True
DefaultA-DefaultB,0.12419150826318744,False
DefaultA-DefaultC,0.005841170094870357,False
DefaultA-DorsAttnA,-0.051798075456408674,False
DefaultA-DorsAttnB,-0.014710739521554573,False
DefaultA-LimbicA,0.04737743774292523,False
DefaultA-LimbicB,0.07936650562104608,False
DefaultA-SalVentAttnA,0.025427976442541383,False
DefaultA-SalVentAttnB,0.07434507295249934,False
DefaultA-SomMotA,-0.05446551893826612,False
DefaultA-SomMotB,-0.050756588365482455,False
DefaultA-TempPar,0.04334323095773446,False
DefaultA-VisCent,-0.025895074334451932,False
DefaultA-VisPeri,-0.0673251494801605,False
DefaultB-DefaultB,0.1571498318690047,True
DefaultB-DefaultC,0.09127474281614495,False
DefaultB-DorsAttnA,-0.0783306797537674,False
DefaultB-DorsAttnB,-0.03712494006651565,False
DefaultB-LimbicA,0.027022681215741175,False
DefaultB-LimbicB,0.04764701249738952,False
DefaultB-SalVentAttnA,-0.008555790131625983,False
DefaultB-SalVentAttnB,0.03711981573877865,False
DefaultB-SomMotA,-0.05377783962681491,False
DefaultB-SomMotB,-0.042709671268782314,False
DefaultB-TempPar,0.1201913363542362,False
DefaultB-VisCent,-0.018556535694848907,False
DefaultB-VisPeri,-0.06106873004766597,False
DefaultC-DefaultC,0.22526299869788205,True
DefaultC-DorsAttnA,-0.012728965333539675,False
DefaultC-DorsAttnB,-0.0018518921415342105,False
DefaultC-LimbicA,-0.047971606261062706,False
DefaultC-LimbicB,-0.035284686527294495,False
DefaultC-SalVentAttnA,-0.05674219510031537,False
DefaultC-SalVentAttnB,-0.0691682615536444,False
DefaultC-SomMotA,-0.031188009928845625,False
DefaultC-SomMotB,-0.02084624764953419,False
DefaultC-TempPar,0.24297116188289045,False
DefaultC-VisCent,0.02419643711613333,False
DefaultC-VisPeri,-0.07850790024901773,False
DorsAttnA-DorsAttnA,0.21121743427836667,True
DorsAttnA-DorsAttnB,0.08940773020786655,False
DorsAttnA-LimbicA,-0.032798923543423196,False
DorsAttnA-LimbicB,-0.08617769149453636,False
DorsAttnA-SalVentAttnA,-0.003610847459194184,False
DorsAttnA-SalVentAttnB,-0.052289870828835634,False
DorsAttnA-SomMotA,0.01305955646271746,False
DorsAttnA-SomMotB,0.022394168843597774,False
DorsAttnA-TempPar,-0.044802643923897406,False
DorsAttnA-VisCent,-0.021935361177051638,False
DorsAttnA-VisPeri,-0.03289627034923804,False
DorsAttnB-DorsAttnB,0.11018634118560655,True
DorsAttnB-LimbicA,0.029069991049825872,False
DorsAttnB-LimbicB,0.03784239041396999,False
DorsAttnB-SalVentAttnA,0.014351599446362327,False
DorsAttnB-SalVentAttnB,0.04917328163398869,False
DorsAttnB-SomMotA,-0.03976686159052397,False
DorsAttnB-SomMotB,-0.05867556477741322,False
DorsAttnB-TempPar,-0.006775774189854796,False
DorsAttnB-VisCent,-0.005244699363202778,False
DorsAttnB-VisPeri,-0.02925954662361125,False
LimbicA-LimbicA,0.2636714240334189,True
