network_connection,fc,within_network
ContA-ContA,0.32863731573925337,True
ContA-ContB,0.26337796237670347,False
ContA-ContC,0.14034574775944594,False
ContA-DefaultA,0.17653349460666523,False
ContA-DefaultB,0.18135016632817516,False
ContA-DefaultC,-0.01110064155229732,False
ContA-DorsAttnA,-0.0011546446298178077,False
ContA-DorsAttnB,0.07257797252862692,False
ContA-LimbicA,0.2792915829018794,False
ContA-LimbicB,0.156463697025631,False
ContA-SalVentAttnA,-0.006615067275223448,False
ContA-SalVentAttnB,0.14773832657510497,False
ContA-SomMotA,-0.08228007369033491,False
ContA-SomMotB,-0.04166159540597145,False
ContA-TempPar,-0.04758988416358639,False
ContA-VisCent,0.041415968352418335,False
ContA-VisPeri,-0.052463987836394915,False
ContB-ContB,0.2751651088838047,True
ContB-ContC,0.1550209496635134,False
ContB-DefaultA,0.16818036341481882,False
ContB-DefaultB,0.21279186234733094,False
ContB-DefaultC,0.05479272156055476,False
ContB-DorsAttnA,0.006604693509580582,False
ContB-DorsAttnB,0.0657405392921477,False
ContB-LimbicA,0.1857202144097866,False
ContB-LimbicB,0.07732767370609782,False
ContB-SalVentAttnA,-0.04521539443913122,False
ContB-SalVentAttnB,0.06863927566344888,False
ContB-SomMotA,-0.060437908621149006,False
ContB-SomMotB,-0.06450163901332119,False
ContB-TempPar,0.03912752608642647,False
ContB-VisCent,0.048210674555880045,False
ContB-VisPeri,-0.05301757685771335,False
ContC-ContC,0.19568849119496756,True
ContC-DefaultA,0.21407587431087244,False
ContC-DefaultB,0.2209278028663464,False
ContC-DefaultC,0.034847570318944615,False
ContC-DorsAttnA,-0.0382566517055461,False
ContC-DorsAttnB,0.04612338815622522,False
ContC-LimbicA,0.10303681967610852,False
ContC-LimbicB,0.07944476477237243,False
ContC-SalVentAttnA,-0.01957099693970901,False
ContC-SalVentAttnB,0.10257136302669316,False
ContC-SomMotA,-0.041009576834356,False
ContC-SomMotB,-0.0803137407595419,False
ContC-TempPar,0.029687594301659112,False
ContC-VisCent,0.03390220189537248,False
ContC-VisPeri,-0.02522954077825289,False
DefaultA-DefaultA,0.24980361784506003,True
DefaultA-DefaultB,0.2727938793227821,False
DefaultA-DefaultC,0.04059309406588204,False
DefaultA-DorsAttnA,-0.05437151598363952,False
DefaultA-DorsAttnB,0.027149866084848342,False
DefaultA-LimbicA,0.12498521046483951,False
DefaultA-LimbicB,0.10691930813037932,False
DefaultA-SalVentAttnA,-0.013297665291632418,False
DefaultA-SalVentAttnB,0.11602226271948957,False
DefaultA-SomMotA,-0.06360040321362424,False
DefaultA-SomMotB,-0.07436017893255062,False
DefaultA-TempPar,0.030925244228258226,False
DefaultA-VisCent,0.03634207223253941,False
DefaultA-VisPeri,-0.047859070588388224,False
DefaultB-DefaultB,0.36517847837709694,True
DefaultB-DefaultC,0.17189100226745596,False
DefaultB-DorsAttnA,-0.11524046790990064,False
DefaultB-DorsAttnB,-0.01471522159662754,False
DefaultB-LimbicA,0.09724520258624765,False
DefaultB-LimbicB,0.09245718610218359,False
DefaultB-SalVentAttnA,-0.051016663324098675,False
DefaultB-SalVentAttnB,0.07636463258989022,False
DefaultB-SomMotA,-0.08457309245812253,False
DefaultB-SomMotB,-0.10809267435168905,False
DefaultB-TempPar,0.14797967735212156,False
DefaultB-VisCent,0.033093532711016574,False
DefaultB-VisPeri,-0.07176076059540933,False
DefaultC-DefaultC,0.3472318983856509,True
DefaultC-DorsAttnA,-0.14031950743196925,False
DefaultC-DorsAttnB,-0.08450119661246148,False
DefaultC-LimbicA,-0.04424398360669436,False
DefaultC-LimbicB,0.05204421792031691,False
DefaultC-SalVentAttnA,-0.043525202852843545,False
DefaultC-SalVentAttnB,-0.015823435609208347,False
DefaultC-SomMotA,-0.0904866049070251,False
DefaultC-SomMotB,-0.06873077018722529,False
DefaultC-TempPar,0.3252498673968764,False
DefaultC-VisCent,-0.01590521667792627,False
DefaultC-VisPeri,-0.09462611938569374,False
DorsAttnA-DorsAttnA,0.30213495165796195,True
DorsAttnA-DorsAttnB,0.12293870786724446,False
DorsAttnA-LimbicA,0.051699846047218015,False
DorsAttnA-LimbicB,-0.03219986315011066,False
DorsAttnA-SalVentAttnA,0.04144395841776652,False
DorsAttnA-SalVentAttnB,0.03379866397153471,False
DorsAttnA-SomMotA,0.027054597096591873,False
DorsAttnA-SomMotB,0.08038747920952034,False
DorsAttnA-TempPar,-0.1600942222129854,False
DorsAttnA-VisCent,0.010763156839983112,False
DorsAttnA-VisPeri,-0.005969594116746955,False
DorsAttnB-DorsAttnB,0.13666774765803194,True
DorsAttnB-LimbicA,0.09193779290738523,False
DorsAttnB-LimbicB,0.061171352742881414,False
DorsAttnB-SalVentAttnA,0.030784774138920907,False
DorsAttnB-SalVentAttnB,0.10139937107981535,False
DorsAttnB-SomMotA,-0.0014586129270462178,False
DorsAttnB-SomMotB,-0.00784074546639416,False
DorsAttnB-TempPar,-0.1104903392932656,False
DorsAttnB-VisCent,0.05246177986595311,False
DorsAttnB-VisPeri,0.025343026240087455,False
LimbicA-LimbicA,0.28398152134302174,True
LimbicA-LimbicB,0.22093499080201437,False
LimbicA-SalVentAttnA,0.05508962889943122,False
LimbicA-SalVentAttnB,0.21455693233303524,False
LimbicA-SomMotA,-0.115598245768629,False
LimbicA-SomMotB,0.020415081193879542,False
LimbicA-TempPar,-0.10630873323386394,False
LimbicA-VisCent,0.03007388803349364,False
LimbicA-VisPeri,-0.09387192487998652,False
LimbicB-LimbicB,0.2719011104825709,True
LimbicB-SalVentAttnA,0.09364300243361194,False
LimbicB-SalVentAttnB,0.2539884251547173,False
LimbicB-SomMotA,-0.1435610626226565,False
LimbicB-SomMotB,0.019074188483412323,False
LimbicB-TempPar,-0.02619108613909937,False
LimbicB-VisCent,0.029266411627594226,False
LimbicB-VisPeri,-0.11590459512052083,False
SalVentAttnA-SalVentAttnA,0.08628485797172836,True
SalVentAttnA-SalVentAttnB,0.10877254545514209,False
SalVentAttnA-SomMotA,-0.01583710341285966,False
SalVentAttnA-SomMotB,0.07880357975661459,False
SalVentAttnA-TempPar,-0.07666266506934832,False
SalVentAttnA-VisCent,0.007311748307057626,False
SalVentAttnA-VisPeri,-0.005828046078293116,False
SalVentAttnB-SalVentAttnB,0.2849146148985469,True
SalVentAttnB-SomMotA,-0.11870604480014284,False
SalVentAttnB-SomMotB,-0.007101021337982183,False
SalVentAttnB-TempPar,-0.0648595159822657,False
SalVentAttnB-VisCent,0.01880860064966628,False
SalVentAttnB-VisPeri,-0.07205888137112798,False
SomMotA-SomMotA,0.18970358622327202,True
SomMotA-SomMotB,0.04776019624960553,False
SomMotA-TempPar,-0.05025416182626941,False
SomMotA-VisCent,0.044685693566757625,False
SomMotA-VisPeri,0.19052887217182052,False
SomMotB-SomMotB,0.1907444858520862,True
SomMotB-TempPar,-0.12218775672074263,False
SomMotB-VisCent,0.03628011649870998,False
SomMotB-VisPeri,0.005171418403216655,False
TempPar-TempPar,0.4450918046538577,True
TempPar-VisCent,-0.039112316833816906,False
TempPar-VisPeri,-0.06342866259487426,False
VisCent-VisCent,0.0826644916581514,True
VisCent-VisPeri,0.054074676990813544,False
VisPeri-VisPeri,0.27845686040149664,True
