network_connection,fc,within_network
ContA-ContA,0.16482850767137106,True
ContA-ContB,0.08223224521486895,False
ContA-ContC,0.03654717629960096,False
ContA-DefaultA,0.06566053551829638,False
ContA-DefaultB,0.06803520526788541,False
ContA-DefaultC,0.027465315960960288,False
ContA-DorsAttnA,-0.004324414369197402,False
ContA-DorsAttnB,0.026007677337755573,False
ContA-LimbicA,0.14409780185603258,False
ContA-LimbicB,0.08087971287811144,False
ContA-SalVentAttnA,0.010351002759582305,False
ContA-SalVentAttnB,0.08004960972916894,False
ContA-SomMotA,-0.02661483413794527,False
ContA-SomMotB,-0.027149949933057697,False
ContA-TempPar,0.0009821015413510883,False
ContA-VisCent,-0.00038769312106065905,False
ContA-VisPeri,-0.007892796244360633,False
ContB-ContB,0.13850533304856458,True
ContB-ContC,0.028891316572032963,False
ContB-DefaultA,-0.02692677172625087,False
ContB-DefaultB,-0.011006596814093703,False
ContB-DefaultC,0.07030516736416255,False
ContB-DorsAttnA,0.05098771911286631,False
ContB-DorsAttnB,0.05840287156254102,False
ContB-LimbicA,0.06171521135179679,False
ContB-LimbicB,0.0014669557337902562,False
ContB-SalVentAttnA,-0.007702563089635814,False
ContB-SalVentAttnB,0.005107249981331495,False
ContB-SomMotA,-0.03949543982399721,False
ContB-SomMotB,-0.00903115012044109,False
ContB-TempPar,0.13591490096329018,False
ContB-VisCent,-0.01765856774851564,False
ContB-VisPeri,-0.03737941320218142,False
ContC-ContC,0.2787145928882579,True
ContC-DefaultA,0.2506799655846803,False
ContC-DefaultB,0.14733562277264178,False
ContC-DefaultC,-0.03507071928510201,False
ContC-DorsAttnA,-0.04278218834205058,False
ContC-DorsAttnB,0.037173131334741316,False
ContC-LimbicA,0.1289951863335003,False
ContC-LimbicB,0.21672244690569725,False
ContC-SalVentAttnA,0.048588598230652626,False
ContC-SalVentAttnB,0.17065470483570525,False
ContC-SomMotA,-0.030094719292302945,False
ContC-SomMotB,-0.008604612878650551,False
ContC-TempPar,-0.13219242076155205,False
ContC-VisCent,0.004061626757823164,False
ContC-VisPeri,0.017956359238687124,False
DefaultA-DefaultA,0.3045207386314829,True
DefaultA-DefaultB,0.21376284211012114,False
DefaultA-DefaultC,-0.046788835336264885,False
DefaultA-DorsAttnA,-0.09222958820988839,False
DefaultA-DorsAttnB,0.008779053871220514,False
DefaultA-LimbicA,0.13210774879131804,False
DefaultA-LimbicB,0.24542363947108686,False
DefaultA-SalVentAttnA,0.05841166269659882,False
DefaultA-SalVentAttnB,0.2006555853559022,False
DefaultA-SomMotA,-0.03546109674694849,False
DefaultA-SomMotB,-0.01258437566346281,False
DefaultA-TempPar,-0.17841779602957494,False
DefaultA-VisCent,0.012725226975932386,False
DefaultA-VisPeri,0.016073710149876252,False
DefaultB-DefaultB,0.2877049842618638,True
