network_connection,fc,within_network
ContA-ContA,0.31045514627321147,True
ContA-ContB,0.22150532149672977,False
ContA-ContC,0.11361653468217978,False
ContA-DefaultA,0.13577181912656164,False
ContA-DefaultB,0.09709465271468927,False
ContA-DefaultC,-0.03891523159658281,False
ContA-DorsAttnA,0.033300870709988384,False
ContA-DorsAttnB,0.13249823643941838,False
ContA-LimbicA,0.2558830829119952,False
ContA-LimbicB,0.13498383709686615,False
ContA-SalVentAttnA,0.00333912232569027,False
ContA-SalVentAttnB,0.14365596706253292,False
ContA-SomMotA,-0.06599386589748091,False
ContA-SomMotB,-0.059302179472779465,False
ContA-TempPar,-0.0363112566938208,False
ContA-VisCent,0.05748472148434093,False
ContA-VisPeri,0.016170644003326927,False
ContB-ContB,0.2736047953857277,True
ContB-ContC,0.10470223326203267,False
ContB-DefaultA,0.07797735669478262,False
ContB-DefaultB,0.0789549317454554,False
ContB-DefaultC,0.07004508974456049,False
ContB-DorsAttnA,0.033270692240670405,False
ContB-DorsAttnB,0.09861539683224405,False
ContB-LimbicA,0.1488090205183423,False
ContB-LimbicB,0.04829992688842399,False
ContB-SalVentAttnA,-0.03969849277639476,False
ContB-SalVentAttnB,0.05000161618961894,False
ContB-SomMotA,-0.08492164645541644,False
ContB-SomMotB,-0.06053880379946409,False
ContB-TempPar,0.11683230724864999,False
ContB-VisCent,0.04630435468604624,False
ContB-VisPeri,-0.023589057724858507,False
ContC-ContC,0.28936710096068124,True
ContC-DefaultA,0.2627961742384675,False
ContC-DefaultB,0.10515200574080048,False
ContC-DefaultC,-0.11087510896820789,False
ContC-DorsAttnA,0.00725067364394066,False
ContC-DorsAttnB,0.09806964981505636,False
ContC-LimbicA,0.1573037223866322,False
ContC-LimbicB,0.1935759191373771,False
ContC-SalVentAttnA,0.055636943982005665,False
ContC-SalVentAttnB,0.1957308089045765,False
ContC-SomMotA,0.017029038359148634,False
ContC-SomMotB,-0.0116816147260721,False
ContC-TempPar,-0.14212881529053126,False
ContC-VisCent,0.06157830242114077,False
ContC-VisPeri,0.04788974101777032,False
DefaultA-DefaultA,0.2738277483877668,True
DefaultA-DefaultB,0.1319368009684977,False
DefaultA-DefaultC,-0.11948072666607155,False
DefaultA-DorsAttnA,-0.005571753767216047,False
DefaultA-DorsAttnB,0.09165204003867086,False
DefaultA-LimbicA,0.16159796732571474,False
DefaultA-LimbicB,0.19244225803951154,False
DefaultA-SalVentAttnA,0.053441333635904364,False
DefaultA-SalVentAttnB,0.19003252129609288,False
DefaultA-SomMotA,0.021555870734181894,False
DefaultA-SomMotB,-0.016563768974054104,False
DefaultA-TempPar,-0.14437120322993846,False
DefaultA-VisCent,0.07250694252419317,False
DefaultA-VisPeri,0.049944282214037884,False
DefaultB-DefaultB,0.1579966341987881,True
DefaultB-DefaultC,0.142511783477215,False
DefaultB-DorsAttnA,-0.06295056661078377,False
DefaultB-DorsAttnB,-0.009821005660200204,False
DefaultB-LimbicA,0.06170602910517594,False
DefaultB-LimbicB,0.10239474058622329,False
DefaultB-SalVentAttnA,0.0028639465892307116,False
DefaultB-SalVentAttnB,0.08806364837887011,False
DefaultB-SomMotA,-0.04983829042525726,False
DefaultB-SomMotB,-0.00982536745469705,False
DefaultB-TempPar,0.03779386142686113,False
DefaultB-VisCent,0.02224173047738702,False
DefaultB-VisPeri,-0.032972546762831886,False
DefaultC-DefaultC,0.5450125416369546,True
DefaultC-DorsAttnA,-0.1452258736666899,False
DefaultC-DorsAttnB,-0.17964214158704048,False
DefaultC-LimbicA,-0.12435319023846157,False
DefaultC-LimbicB,-0.050932175270352875,False
DefaultC-SalVentAttnA,-0.07309374746829683,False
DefaultC-SalVentAttnB,-0.07488646134278085,False
DefaultC-SomMotA,-0.19000164749015508,False
DefaultC-SomMotB,-0.009318470583637085,False
DefaultC-TempPar,0.4235117076900632,False
DefaultC-VisCent,-0.08550441634734168,False
DefaultC-VisPeri,-0.20787816561155867,False
DorsAttnA-DorsAttnA,0.22201715597680846,True
DorsAttnA-DorsAttnB,0.13059615113697684,False
DorsAttnA-LimbicA,0.049292870167957796,False
DorsAttnA-LimbicB,-0.02371574074740161,False
DorsAttnA-SalVentAttnA,0.051961592113386135,False
DorsAttnA-SalVentAttnB,0.020013568864028112,False
DorsAttnA-SomMotA,0.07255016330353056,False
DorsAttnA-SomMotB,0.04121643224044308,False
DorsAttnA-TempPar,-0.12655334140132138,False
DorsAttnA-VisCent,0.03388848762941764,False
DorsAttnA-VisPeri,0.05505010405408314,False
DorsAttnB-DorsAttnB,0.1928144366042784,True
DorsAttnB-LimbicA,0.14353642065745453,False
DorsAttnB-LimbicB,0.07476246987673044,False
DorsAttnB-SalVentAttnA,0.03339318148748662,False
DorsAttnB-SalVentAttnB,0.10729059304814775,False
DorsAttnB-SomMotA,0.027646692342116565,False
DorsAttnB-SomMotB,-0.05214412746737586,False
DorsAttnB-TempPar,-0.14248307654560083,False
DorsAttnB-VisCent,0.06760459482158927,False
DorsAttnB-VisPeri,0.07955033484766243,False
LimbicA-LimbicA,0.24178164042622172,True
LimbicA-LimbicB,0.16292579223272047,False
LimbicA-SalVentAttnA,0.0293974696148774,False
LimbicA-SalVentAttnB,0.17676026264395545,False
LimbicA-SomMotA,-0.03837263931443962,False
LimbicA-SomMotB,-0.053848732727149747,False
