network_connection,fc,within_network
ContA-ContA,0.29018013632034245,True
ContA-ContB,0.20987664372610093,False
ContA-ContC,0.18729719484668672,False
ContA-DefaultA,0.1732848454163933,False
ContA-DefaultB,0.10210383492761187,False
ContA-DefaultC,-0.049290866710075786,False
ContA-DorsAttnA,0.01693718987629605,False
ContA-DorsAttnB,0.10122372049332688,False
ContA-LimbicA,0.2842774357579621,False
ContA-LimbicB,0.14390109314918814,False
ContA-SalVentAttnA,0.001863159733911192,False
ContA-SalVentAttnB,0.1533156249591648,False
ContA-SomMotA,-0.15075884481300023,False
ContA-SomMotB,-0.11727565358568327,False
ContA-TempPar,-0.08786492309976424,False
ContA-VisCent,0.012129477347771138,False
ContA-VisPeri,-0.13927444745481443,False
ContB-ContB,0.248995231059925,True
ContB-ContC,0.14045000841520336,False
ContB-DefaultA,0.1056118916865235,False
ContB-DefaultB,0.07280042511768889,False
ContB-DefaultC,0.02937317333828346,False
ContB-DorsAttnA,0.0287803101649276,False
ContB-DorsAttnB,0.06779664480275847,False
ContB-LimbicA,0.17233231953258593,False
ContB-LimbicB,0.0240678640347889,False
ContB-SalVentAttnA,-0.03971103609513935,False
ContB-SalVentAttnB,0.014038538211842928,False
ContB-SomMotA,-0.13248291666371828,False
ContB-SomMotB,-0.10683776027517675,False
ContB-TempPar,0.05874402992422104,False
ContB-VisCent,-0.0006761702408785774,False
ContB-VisPeri,-0.12364718252933436,False
ContC-ContC,0.35633304577938746,True
ContC-DefaultA,0.33167822524530227,False
ContC-DefaultB,0.13326104522235374,False
ContC-DefaultC,-0.19358095830361588,False
ContC-DorsAttnA,-0.0028659865829853176,False
ContC-DorsAttnB,0.08250206098622574,False
ContC-LimbicA,0.2128092860796447,False
ContC-LimbicB,0.14378384682597947,False
ContC-SalVentAttnA,0.003043338295058301,False
ContC-SalVentAttnB,0.13864294551734085,False
ContC-SomMotA,-0.024910916131867033,False
ContC-SomMotB,-0.10791260380665689,False
ContC-TempPar,-0.20679502067572672,False
ContC-VisCent,0.055894594402526185,False
ContC-VisPeri,-0.03302903007476009,False
DefaultA-DefaultA,0.3232990726086615,True
DefaultA-DefaultB,0.14802431039741826,False
DefaultA-DefaultC,-0.16335302988417627,False
DefaultA-DorsAttnA,-0.01669623759954178,False
DefaultA-DorsAttnB,0.08477589212799536,False
DefaultA-LimbicA,0.1980596184512326,False
DefaultA-LimbicB,0.17269290309515475,False
DefaultA-SalVentAttnA,0.022184132741012903,False
DefaultA-SalVentAttnB,0.1710177576607418,False
DefaultA-SomMotA,-0.040962862239163046,False
DefaultA-SomMotB,-0.0963380857181279,False
DefaultA-TempPar,-0.22616589034327791,False
DefaultA-VisCent,0.0572482029710746,False
DefaultA-VisPeri,-0.04850006642289293,False
DefaultB-DefaultB,0.1485583943544055,True
DefaultB-DefaultC,0.10089219076710203,False
DefaultB-DorsAttnA,-0.07424487557336105,False
DefaultB-DorsAttnB,0.029970201516259416,False
DefaultB-LimbicA,0.10729777612404627,False
DefaultB-LimbicB,0.11930703835959591,False
DefaultB-SalVentAttnA,-0.0015923279688508248,False
DefaultB-SalVentAttnB,0.10691573956911538,False
DefaultB-SomMotA,-0.1014197765362779,False
DefaultB-SomMotB,-0.07254130048266355,False
DefaultB-TempPar,-0.03956801798605152,False
DefaultB-VisCent,-0.000279060576895539,False
DefaultB-VisPeri,-0.10809701651645658,False
DefaultC-DefaultC,0.4425529012790471,True
DefaultC-DorsAttnA,-0.12210020317544379,False
DefaultC-DorsAttnB,-0.06442214085298656,False
DefaultC-LimbicA,-0.07878843021676159,False
DefaultC-LimbicB,-0.016767826329203747,False
DefaultC-SalVentAttnA,-0.03579648920752203,False
DefaultC-SalVentAttnB,-0.04225318292740236,False
DefaultC-SomMotA,-0.15347353936853964,False
DefaultC-SomMotB,-0.007460020931344735,False
DefaultC-TempPar,0.3188088806973205,False
DefaultC-VisCent,-0.08138713337123529,False
DefaultC-VisPeri,-0.16036690257888678,False
DorsAttnA-DorsAttnA,0.2329224471227006,True
DorsAttnA-DorsAttnB,0.0911280091736233,False
DorsAttnA-LimbicA,0.017437324113720946,False
DorsAttnA-LimbicB,-0.04023474239223748,False
DorsAttnA-SalVentAttnA,0.027305389773616087,False
DorsAttnA-SalVentAttnB,-0.004943403507225755,False
DorsAttnA-SomMotA,-0.016284370578458836,False
DorsAttnA-SomMotB,0.012147193687680602,False
DorsAttnA-TempPar,-0.034776962079046604,False
DorsAttnA-VisCent,-0.003082124919693415,False
DorsAttnA-VisPeri,-0.0089844377385392,False
