network_connection,fc,within_network
ContA-ContA,0.3144446501122334,True
ContA-ContB,0.16284349514752522,False
ContA-ContC,0.1346065641172157,False
ContA-DefaultA,0.1835251395804315,False
ContA-DefaultB,0.1485710838483695,False
ContA-DefaultC,0.028948874462305214,False
ContA-DorsAttnA,-0.039507655121584294,False
ContA-DorsAttnB,0.10082363046505236,False
ContA-LimbicA,0.30813546772812006,False
ContA-LimbicB,0.24282326998902248,False
ContA-SalVentAttnA,0.04151362008174294,False
ContA-SalVentAttnB,0.2527169839037078,False
ContA-SomMotA,-0.10773668944301343,False
ContA-SomMotB,-0.06905293877236927,False
ContA-TempPar,0.008149201384322957,False
ContA-VisCent,0.037413470454793804,False
ContA-VisPeri,-0.06345059740336853,False
ContB-ContB,0.19292997502124215,True
ContB-ContC,0.14671933754577954,False
ContB-DefaultA,0.13809403182805585,False
ContB-DefaultB,0.1675473412541152,False
ContB-DefaultC,0.1482735947470928,False
ContB-DorsAttnA,-0.03498071021417084,False
ContB-DorsAttnB,0.07216597414536224,False
ContB-LimbicA,0.13369809897830592,False
ContB-LimbicB,0.10223539390701461,False
ContB-SalVentAttnA,0.0005947951966007608,False
ContB-SalVentAttnB,0.0784046595587743,False
ContB-SomMotA,-0.060288865497876064,False
ContB-SomMotB,-0.05388804817449306,False
ContB-TempPar,0.14921747897759688,False
ContB-VisCent,0.06751206478211595,False
ContB-VisPeri,-0.03532534724938275,False
ContC-ContC,0.3292495106802866,True
ContC-DefaultA,0.3019763419628832,False
ContC-DefaultB,0.24505762070273776,False
ContC-DefaultC,0.10567735945306457,False
ContC-DorsAttnA,-0.1028736266398502,False
ContC-DorsAttnB,0.09056332603538046,False
ContC-LimbicA,0.20277188807193322,False
ContC-LimbicB,0.25483331922427127,False
ContC-SalVentAttnA,0.04084822069400079,False
ContC-SalVentAttnB,0.20849719409903364,False
ContC-SomMotA,-0.040466986983661565,False
ContC-SomMotB,-0.06370299200303843,False
ContC-TempPar,0.062292970414478045,False
ContC-VisCent,0.08322474555555517,False
ContC-VisPeri,0.001142636346962147,False
DefaultA-DefaultA,0.3129790270791746,True
DefaultA-DefaultB,0.264449033710159,False
DefaultA-DefaultC,0.09125910826841577,False
DefaultA-DorsAttnA,-0.09304570178359899,False
DefaultA-DorsAttnB,0.09565278517140283,False
DefaultA-LimbicA,0.2374747847904124,False
DefaultA-LimbicB,0.2634564643083348,False
DefaultA-SalVentAttnA,0.03925317576042245,False
DefaultA-SalVentAttnB,0.21825314942434668,False
DefaultA-SomMotA,-0.05550176996262113,False
DefaultA-SomMotB,-0.06597666747029012,False
DefaultA-TempPar,0.05029500422038869,False
DefaultA-VisCent,0.07933158552503619,False
DefaultA-VisPeri,-0.019290425746944912,False
DefaultB-DefaultB,0.3366572108676343,True
DefaultB-DefaultC,0.29218835889673306,False
DefaultB-DorsAttnA,-0.12432112847891139,False
DefaultB-DorsAttnB,0.04715637058057348,False
DefaultB-LimbicA,0.15997347044561466,False
DefaultB-LimbicB,0.14411089514857275,False
DefaultB-SalVentAttnA,0.0007055377881314416,False
DefaultB-SalVentAttnB,0.0812611949604891,False
DefaultB-SomMotA,-0.050051628328361325,False
DefaultB-SomMotB,-0.08393738187461812,False
DefaultB-TempPar,0.19539441998430984,False
DefaultB-VisCent,0.08750612101479027,False
DefaultB-VisPeri,-0.010262165996748158,False
DefaultC-DefaultC,0.5133952716466518,True
DefaultC-DorsAttnA,-0.12138794550187704,False
DefaultC-DorsAttnB,-0.01529799164905856,False
DefaultC-LimbicA,-0.0036171185145360872,False
DefaultC-LimbicB,-0.020921870202276472,False
DefaultC-SalVentAttnA,-0.029354517833795012,False
DefaultC-SalVentAttnB,-0.10614489372478798,False
DefaultC-SomMotA,-0.010328996569311756,False
DefaultC-SomMotB,-0.051215687367516236,False
DefaultC-TempPar,0.4462412608349614,False
DefaultC-VisCent,0.09496386622737966,False
DefaultC-VisPeri,-0.0051610055462652646,False
DorsAttnA-DorsAttnA,0.27132348883690915,True
DorsAttnA-DorsAttnB,0.10319893638300995,False
DorsAttnA-LimbicA,-0.034577831311704076,False
DorsAttnA-LimbicB,-0.05469999270496397,False
DorsAttnA-SalVentAttnA,0.055711587801765244,False
DorsAttnA-SalVentAttnB,0.008366259340662216,False
DorsAttnA-SomMotA,0.05496814589049741,False
DorsAttnA-SomMotB,0.06596014437658713,False
DorsAttnA-TempPar,-0.09655390590923785,False
DorsAttnA-VisCent,-0.014868828684241072,False
DorsAttnA-VisPeri,0.021596032472878765,False
DorsAttnB-DorsAttnB,0.17726280855841328,True
DorsAttnB-LimbicA,0.1264572919566067,False
DorsAttnB-LimbicB,0.13737114268115774,False
DorsAttnB-SalVentAttnA,0.061583289154285195,False
DorsAttnB-SalVentAttnB,0.158109011777433,False
DorsAttnB-SomMotA,0.011842193164291174,False
DorsAttnB-SomMotB,-0.014545400665835267,False
DorsAttnB-TempPar,-0.026852070154246288,False
DorsAttnB-VisCent,0.0698704527003849,False
DorsAttnB-VisPeri,0.029229900025848396,False
LimbicA-LimbicA,0.3480480701382129,True
LimbicA-LimbicB,0.2981423768646761,False
LimbicA-SalVentAttnA,0.06213781550578603,False
LimbicA-SalVentAttnB,0.3112880602201608,False
LimbicA-SomMotA,-0.10890736559627003,False
LimbicA-SomMotB,-0.07718337243707776,False
LimbicA-TempPar,-0.032187437524670334,False
LimbicA-VisCent,0.026530129585561106,False
LimbicA-VisPeri,-0.07545441416970852,False
LimbicB-LimbicB,0.40191022818362315,True
LimbicB-SalVentAttnA,0.10874175621675623,False
LimbicB-SalVentAttnB,0.41032825529684125,False
LimbicB-SomMotA,-0.12298349634308371,False
LimbicB-SomMotB,-0.044862662811843305,False
LimbicB-TempPar,-0.0872626570311246,False
LimbicB-VisCent,0.03547378417803068,False
LimbicB-VisPeri,-0.09946712692612977,False
SalVentAttnA-SalVentAttnA,0.07666397185247133,True
SalVentAttnA-SalVentAttnB,0.1291421489823419,False
SalVentAttnA-SomMotA,0.005803689753021619,False
SalVentAttnA-SomMotB,0.03634275587990137,False
SalVentAttnA-TempPar,-0.05062668337336596,False
SalVentAttnA-VisCent,0.008937169444533849,False
SalVentAttnA-VisPeri,0.02186848123384811,False
SalVentAttnB-SalVentAttnB,0.4398847661976045,True
SalVentAttnB-SomMotA,-0.13498654796518175,False
SalVentAttnB-SomMotB,-0.04125843116162836,False
SalVentAttnB-TempPar,-0.15463044290629685,False
SalVentAttnB-VisCent,-0.0023094358758349006,False
SalVentAttnB-VisPeri,-0.10812533763212474,False
SomMotA-SomMotA,0.24267138348794762,True
SomMotA-SomMotB,0.11138896877706225,False
SomMotA-TempPar,0.01564890957573109,False
SomMotA-VisCent,0.11118916500571892,False
SomMotA-VisPeri,0.2725442050007581,False
SomMotB-SomMotB,0.12815749905143323,True
SomMotB-TempPar,-0.055515158125356276,False
SomMotB-VisCent,0.035149602777275586,False
