network_connection,fc,within_network
ContA-ContA,0.15106948057771205,True
ContA-ContB,0.0786123781029465,False
ContA-ContC,0.11730010725791264,False
ContA-DefaultA,0.12123805526145283,False
ContA-DefaultB,0.10398918774999111,False
ContA-DefaultC,0.033896886528123504,False
ContA-DorsAttnA,0.053492701441398526,False
ContA-DorsAttnB,0.05969818374423621,False
ContA-LimbicA,0.1575678305061085,False
ContA-LimbicB,0.12729884414384834,False
ContA-SalVentAttnA,0.05590456230792797,False
ContA-SalVentAttnB,0.16553754908896445,False
ContA-SomMotA,-0.016398455977449797,False
ContA-SomMotB,0.020640211660516918,False
ContA-TempPar,-0.004783387291818962,False
ContA-VisCent,0.041682008399951065,False
ContA-VisPeri,0.013384887097169049,False
ContB-ContB,0.09474888494719891,True
ContB-ContC,0.0817936735864507,False
ContB-DefaultA,0.07989063807418785,False
ContB-DefaultB,0.08691329093376852,False
ContB-DefaultC,0.1020587438198869,False
ContB-DorsAttnA,0.0020407903832714916,False
ContB-DorsAttnB,0.01325179053895483,False
ContB-LimbicA,0.0696902680505898,False
ContB-LimbicB,0.038542262224104194,False
ContB-SalVentAttnA,0.005913144076035502,False
ContB-SalVentAttnB,0.04606653629372748,False
ContB-SomMotA,-0.03731460842805746,False
ContB-SomMotB,-0.012192217073207735,False
ContB-TempPar,0.1047338116519645,False
ContB-VisCent,0.006150067107195599,False
ContB-VisPeri,-0.039627374421317904,False
ContC-ContC,0.29537735616337546,True
ContC-DefaultA,0.26074063359817784,False
ContC-DefaultB,0.16901108332744783,False
ContC-DefaultC,0.02130494716296328,False
ContC-DorsAttnA,0.009729096289431385,False
ContC-DorsAttnB,0.049651578833600045,False
ContC-LimbicA,0.17500080407078042,False
ContC-LimbicB,0.21737832991123335,False
ContC-SalVentAttnA,0.05893503538441871,False
ContC-SalVentAttnB,0.2228070935919156,False
ContC-SomMotA,0.07681823769505328,False
ContC-SomMotB,0.023503828450519355,False
ContC-TempPar,-0.043305856507541735,False
ContC-VisCent,0.12205771994881578,False
ContC-VisPeri,0.11267358361191863,False
