network_connection,fc,within_network
ContA-ContA,0.31687833835018014,True
ContA-ContB,0.19870346158373786,False
ContA-ContC,0.18420508965219964,False
ContA-DefaultA,0.19991826166218446,False
ContA-DefaultB,0.1492361162803261,False
ContA-DefaultC,-0.06742418862616233,False
ContA-DorsAttnA,0.0156781173264415,False
ContA-DorsAttnB,0.10157725257157978,False
ContA-LimbicA,0.31254463529125776,False
ContA-LimbicB,0.18676772664180244,False
ContA-SalVentAttnA,0.03393210500396147,False
ContA-SalVentAttnB,0.22938862965764223,False
ContA-SomMotA,-0.043813135562339046,False
ContA-SomMotB,-0.025176207618713992,False
ContA-TempPar,-0.066978877763837,False
ContA-VisCent,0.06350829737660561,False
ContA-VisPeri,-0.0791444764040897,False
ContB-ContB,0.2602646964809009,True
ContB-ContC,0.23673989389255057,False
ContB-DefaultA,0.20439832293529178,False
ContB-DefaultB,0.1824101287111057,False
ContB-DefaultC,0.013388510811866084,False
ContB-DorsAttnA,0.0006212448240647545,False
ContB-DorsAttnB,0.08179250171857728,False
ContB-LimbicA,0.17844170312373228,False
ContB-LimbicB,0.11226254490710656,False
ContB-SalVentAttnA,-0.01938949852019401,False
ContB-SalVentAttnB,0.07979384366916273,False
ContB-SomMotA,-0.0026932288106444363,False
ContB-SomMotB,-0.04238258848813629,False
ContB-TempPar,0.04748966878507606,False
ContB-VisCent,0.1067451456898591,False
ContB-VisPeri,-0.005632996076233378,False
ContC-ContC,0.31811258555821365,True
ContC-DefaultA,0.27452593640925754,False
ContC-DefaultB,0.21447753193150523,False
ContC-DefaultC,0.005801029314670653,False
ContC-DorsAttnA,-0.03039426341100852,False
ContC-DorsAttnB,0.08237232879512775,False
ContC-LimbicA,0.19825727748772023,False
ContC-LimbicB,0.16803160786556284,False
ContC-SalVentAttnA,0.002705386317568089,False
ContC-SalVentAttnB,0.15128182763458667,False
ContC-SomMotA,0.005454959810138498,False
ContC-SomMotB,-0.023132130207905267,False
ContC-TempPar,0.03871440596797542,False
ContC-VisCent,0.09931244221171406,False
ContC-VisPeri,0.010105936138723147,False
DefaultA-DefaultA,0.25995891329339627,True
DefaultA-DefaultB,0.215366818238599,False
DefaultA-DefaultC,-0.008158594174869997,False
DefaultA-DorsAttnA,-0.015721275243154507,False
DefaultA-DorsAttnB,0.07822955801188375,False
DefaultA-LimbicA,0.20657784234473814,False
DefaultA-LimbicB,0.16129911620989068,False
DefaultA-SalVentAttnA,-0.00017324124181980556,False
DefaultA-SalVentAttnB,0.15542809000239569,False
DefaultA-SomMotA,-0.008594956750672454,False
DefaultA-SomMotB,-0.03199403538567864,False
DefaultA-TempPar,0.005575678681433782,False
DefaultA-VisCent,0.08657831006207971,False
DefaultA-VisPeri,-0.02065607719908105,False
DefaultB-DefaultB,0.23966327264662668,True
DefaultB-DefaultC,0.10093387693269308,False
DefaultB-DorsAttnA,-0.048028491855873684,False
DefaultB-DorsAttnB,0.03680460155150382,False
DefaultB-LimbicA,0.1468287260565252,False
DefaultB-LimbicB,0.12743535610852,False
DefaultB-SalVentAttnA,-0.028498594090580545,False
DefaultB-SalVentAttnB,0.10186452580211933,False
DefaultB-SomMotA,-0.028096638516650393,False
DefaultB-SomMotB,-0.04919775922681542,False
DefaultB-TempPar,0.023739479852407038,False
DefaultB-VisCent,0.06546596086534323,False
DefaultB-VisPeri,-0.03868883327356656,False
DefaultC-DefaultC,0.3032589947692617,True
DefaultC-DorsAttnA,-0.058831447223541174,False
DefaultC-DorsAttnB,-0.05550903324290115,False
DefaultC-LimbicA,-0.061042085651710556,False
DefaultC-LimbicB,0.029459211784484986,False
DefaultC-SalVentAttnA,-0.014507843420366161,False
DefaultC-SalVentAttnB,0.00194180356491346,False
DefaultC-SomMotA,-0.033232969337726466,False
DefaultC-SomMotB,-0.012823974517886904,False
DefaultC-TempPar,0.23239900315182152,False
DefaultC-VisCent,-0.010666795261279302,False
DefaultC-VisPeri,-0.03468047703770905,False
DorsAttnA-DorsAttnA,0.26884947170141793,True
DorsAttnA-DorsAttnB,0.11637906225804294,False
DorsAttnA-LimbicA,0.015581583084083365,False
DorsAttnA-LimbicB,-0.01619457349241997,False
DorsAttnA-SalVentAttnA,0.07464425253071827,False
DorsAttnA-SalVentAttnB,0.024192813291622754,False
DorsAttnA-SomMotA,0.07819939565616839,False
DorsAttnA-SomMotB,0.11790143084316304,False
DorsAttnA-TempPar,-0.054889852404799724,False
DorsAttnA-VisCent,0.04036251730438025,False
DorsAttnA-VisPeri,0.05785536444207189,False
DorsAttnB-DorsAttnB,0.12712531841712674,True
DorsAttnB-LimbicA,0.10999080395561948,False
DorsAttnB-LimbicB,0.07821965467852258,False
DorsAttnB-SalVentAttnA,0.05649648847631494,False
DorsAttnB-SalVentAttnB,0.1136695371035616,False
DorsAttnB-SomMotA,0.035778489200423584,False
DorsAttnB-SomMotB,0.02764449973534515,False
DorsAttnB-TempPar,-0.046834469202920136,False
DorsAttnB-VisCent,0.061561771227332876,False
DorsAttnB-VisPeri,0.039043909324066255,False
LimbicA-LimbicA,0.3200712591437894,True
LimbicA-LimbicB,0.23735586330949315,False
LimbicA-SalVentAttnA,0.06373922977984363,False
LimbicA-SalVentAttnB,0.2861731675848589,False
LimbicA-SomMotA,-0.051063112095942456,False
LimbicA-SomMotB,-0.011206195786718456,False
LimbicA-TempPar,-0.08429809670335407,False
LimbicA-VisCent,0.05404749794045923,False
LimbicA-VisPeri,-0.09565910828942392,False
LimbicB-LimbicB,0.25499694587168453,True
LimbicB-SalVentAttnA,0.08405005578081882,False
LimbicB-SalVentAttnB,0.2956524903329341,False
LimbicB-SomMotA,-0.05596544977824768,False
LimbicB-SomMotB,0.005886542801505463,False
LimbicB-TempPar,-0.029767154809990426,False
LimbicB-VisCent,0.029019081635085115,False
LimbicB-VisPeri,-0.10214425088375967,False
SalVentAttnA-SalVentAttnA,0.11035498652148618,True
SalVentAttnA-SalVentAttnB,0.13007571433132112,False
SalVentAttnA-SomMotA,0.02398023329687103,False
SalVentAttnA-SomMotB,0.07968521656505279,False
SalVentAttnA-TempPar,-0.0529722409906762,False
SalVentAttnA-VisCent,0.000748596100616285,False
SalVentAttnA-VisPeri,0.019990794691605987,False
SalVentAttnB-SalVentAttnB,0.3800054591198733,True
SalVentAttnB-SomMotA,-0.06635896325134133,False
SalVentAttnB-SomMotB,0.020071103356202963,False
SalVentAttnB-TempPar,-0.06926938307966196,False
SalVentAttnB-VisCent,0.008622513855943611,False
SalVentAttnB-VisPeri,-0.10597333491909476,False
SomMotA-SomMotA,0.16079147439402916,True
SomMotA-SomMotB,0.10949212757461857,False
SomMotA-TempPar,-0.010711875322469136,False
SomMotA-VisCent,0.08346883439540398,False
SomMotA-VisPeri,0.2224745190986655,False
SomMotB-SomMotB,0.16147745980981013,True
SomMotB-TempPar,-0.04422131358142011,False
SomMotB-VisCent,0.037996792225497955,False
SomMotB-VisPeri,0.09518516353977674,False
TempPar-TempPar,0.4292854399673777,True
TempPar-VisCent,0.00862088397297358,False
TempPar-VisPeri,-0.0008687014308800637,False
VisCent-VisCent,0.10115421361280955,True
VisCent-VisPeri,0.11910088695045017,False
VisPeri-VisPeri,0.38685548407342374,True
