network_connection,fc,within_network
ContA-ContA,0.16895630529069514,True
ContA-ContB,0.133615677217964,False
ContA-ContC,0.03933938223964732,False
ContA-DefaultA,0.04593751689309457,False
ContA-DefaultB,0.054019242304911196,False
ContA-DefaultC,0.0691020852628022,False
ContA-DorsAttnA,-0.039281915667255134,False
ContA-DorsAttnB,0.04280842180109668,False
ContA-LimbicA,0.13858871865857197,False
ContA-LimbicB,0.09151097082670746,False
ContA-SalVentAttnA,-0.010151650499050946,False
ContA-SalVentAttnB,0.09536149385967156,False
ContA-SomMotA,-0.10128955926277874,False
ContA-SomMotB,-0.04495960122706298,False
ContA-TempPar,0.06719124557120176,False
ContA-VisCent,0.011955132058842296,False
ContA-VisPeri,-0.1121244783027473,False
ContB-ContB,0.1994359512482598,True
ContB-ContC,0.05032188542628076,False
ContB-DefaultA,0.04730024614442732,False
ContB-DefaultB,0.05796471541948971,False
ContB-DefaultC,0.10661630291772405,False
ContB-DorsAttnA,-0.015491298736691504,False
ContB-DorsAttnB,0.04330882662939421,False
ContB-LimbicA,0.11586536742573372,False
ContB-LimbicB,0.005879181815295826,False
ContB-SalVentAttnA,-0.07093945701087263,False
ContB-SalVentAttnB,0.010672889881971357,False
ContB-SomMotA,-0.09217738519790485,False
ContB-SomMotB,-0.07140272203853013,False
ContB-TempPar,0.16130239219191214,False
ContB-VisCent,0.02297767628614392,False
ContB-VisPeri,-0.14159345038936832,False
ContC-ContC,0.06973281603465094,True
ContC-DefaultA,0.06451973700977881,False
ContC-DefaultB,0.049921149824613376,False
ContC-DefaultC,0.046938757864766534,False
ContC-DorsAttnA,-0.041529881066989544,False
ContC-DorsAttnB,0.011028202151743792,False
ContC-LimbicA,0.03730907310982904,False
ContC-LimbicB,0.04550123034728585,False
ContC-SalVentAttnA,-0.004104733204912572,False
ContC-SalVentAttnB,0.040526179690880265,False
ContC-SomMotA,-0.0344122345745948,False
ContC-SomMotB,-0.03309666323462801,False
ContC-TempPar,0.034337130936020484,False
ContC-VisCent,0.006968166342253142,False
ContC-VisPeri,-0.030407191424629346,False
DefaultA-DefaultA,0.06706338806055603,True
DefaultA-DefaultB,0.05489186701383778,False
DefaultA-DefaultC,0.04818489915400745,False
DefaultA-DorsAttnA,-0.03963079284530446,False
DefaultA-DorsAttnB,0.005182877717194272,False
DefaultA-LimbicA,0.03616982216937711,False
DefaultA-LimbicB,0.038670107011543275,False
DefaultA-SalVentAttnA,-0.011766836183354222,False
DefaultA-SalVentAttnB,0.030909372553501437,False
DefaultA-SomMotA,-0.03246918463447895,False
DefaultA-SomMotB,-0.0297267638203296,False
DefaultA-TempPar,0.044970514302266944,False
DefaultA-VisCent,0.012206524524813736,False
DefaultA-VisPeri,-0.03873371670592662,False
DefaultB-DefaultB,0.08258027223754166,True
DefaultB-DefaultC,0.1282086368441375,False
DefaultB-DorsAttnA,-0.05501413376410268,False
DefaultB-DorsAttnB,-0.004494119756327961,False
DefaultB-LimbicA,0.03793289903331109,False
DefaultB-LimbicB,0.03732984699299184,False
DefaultB-SalVentAttnA,-0.022316293617395917,False
DefaultB-SalVentAttnB,0.021533165098649977,False
DefaultB-SomMotA,-0.05381340585878897,False
DefaultB-SomMotB,-0.03898991844904233,False
DefaultB-TempPar,0.07375854320576858,False
DefaultB-VisCent,0.0009225585880590768,False
DefaultB-VisPeri,-0.05634835452165636,False
DefaultC-DefaultC,0.26009270598710127,True
DefaultC-DorsAttnA,-0.08818355454472336,False
DefaultC-DorsAttnB,-0.006907276932075412,False
DefaultC-LimbicA,0.041147954976553665,False
DefaultC-LimbicB,0.02854414334438504,False
DefaultC-SalVentAttnA,-0.04758085335796917,False
DefaultC-SalVentAttnB,-0.0027715840468432586,False
DefaultC-SomMotA,-0.09779579944660172,False
DefaultC-SomMotB,-0.07609328516932433,False
DefaultC-TempPar,0.2196457712971766,False
DefaultC-VisCent,-0.004897389724995325,False
DefaultC-VisPeri,-0.10539014020427866,False
DorsAttnA-DorsAttnA,0.15627866007550686,True
DorsAttnA-DorsAttnB,0.03470572012922107,False
DorsAttnA-LimbicA,-0.011104227165931593,False
DorsAttnA-LimbicB,-0.042152757852704746,False
DorsAttnA-SalVentAttnA,0.010072787887487973,False
DorsAttnA-SalVentAttnB,-0.017059372215390126,False
DorsAttnA-SomMotA,0.03986503999687089,False
DorsAttnA-SomMotB,0.038158994414471514,False
DorsAttnA-TempPar,-0.06370739595035223,False
DorsAttnA-VisCent,0.0026736067056503626,False
DorsAttnA-VisPeri,0.016629475728089153,False
DorsAttnB-DorsAttnB,0.06594997604375102,True
DorsAttnB-LimbicA,0.05411432238312523,False
DorsAttnB-LimbicB,0.032480469730039464,False
DorsAttnB-SalVentAttnA,0.004264611608252753,False
DorsAttnB-SalVentAttnB,0.050242923480414904,False
DorsAttnB-SomMotA,-0.0377853413954433,False
DorsAttnB-SomMotB,-0.028256235015111607,False
