network_connection,fc,within_network
ContA-ContA,0.2524508348637444,True
ContA-ContB,0.1456868245273811,False
ContA-ContC,0.052835145314537625,False
ContA-DefaultA,0.05349734008417641,False
ContA-DefaultB,0.07107397946098658,False
ContA-DefaultC,0.0264280153685766,False
ContA-DorsAttnA,-0.009204684621948348,False
ContA-DorsAttnB,0.04170490167004582,False
ContA-LimbicA,0.2331801064283475,False
ContA-LimbicB,0.17143775594184393,False
ContA-SalVentAttnA,-0.00129771567378935,False
ContA-SalVentAttnB,0.15467130654085554,False
ContA-SomMotA,-0.12937321195492943,False
ContA-SomMotB,-0.026509956148314667,False
ContA-TempPar,-0.07418773178348095,False
ContA-VisCent,-0.013131456384006904,False
ContA-VisPeri,-0.15043865898911146,False
ContB-ContB,0.19321164828481674,True
ContB-ContC,0.09584627956228822,False
ContB-DefaultA,0.06334531400164227,False
ContB-DefaultB,0.07737419802906724,False
ContB-DefaultC,0.09452029438353675,False
ContB-DorsAttnA,0.034822971043953314,False
ContB-DorsAttnB,0.05320480698963684,False
ContB-LimbicA,0.13106330921482423,False
ContB-LimbicB,0.025627043992798814,False
ContB-SalVentAttnA,-0.03210081841221004,False
ContB-SalVentAttnB,0.026299123941874954,False
ContB-SomMotA,-0.12226117484677815,False
ContB-SomMotB,-0.06063167522480262,False
ContB-TempPar,0.04939310082263347,False
ContB-VisCent,-0.029428295090946584,False
ContB-VisPeri,-0.14269986857864086,False
ContC-ContC,0.24694071150299762,True
ContC-DefaultA,0.21910681668839868,False
ContC-DefaultB,0.11929885667627226,False
ContC-DefaultC,-0.02241873370692192,False
ContC-DorsAttnA,-0.030945781809775152,False
ContC-DorsAttnB,0.02965166948440625,False
ContC-LimbicA,0.09938350818039653,False
ContC-LimbicB,0.0776757349255587,False
ContC-SalVentAttnA,-0.0053090499043816864,False
ContC-SalVentAttnB,0.08301272404513614,False
ContC-SomMotA,-0.0658737771344828,False
ContC-SomMotB,-0.08478752011550363,False
ContC-TempPar,-0.035619298641173726,False
ContC-VisCent,-0.027911852290842705,False
ContC-VisPeri,-0.09210720837378068,False
DefaultA-DefaultA,0.2494250888441045,True
DefaultA-DefaultB,0.17218565213530596,False
DefaultA-DefaultC,0.010710693493113278,False
DefaultA-DorsAttnA,-0.06380889332585503,False
DefaultA-DorsAttnB,-0.000768550202958495,False
DefaultA-LimbicA,0.07844734237692015,False
DefaultA-LimbicB,0.09336341522471653,False
DefaultA-SalVentAttnA,0.0031739813792513853,False
DefaultA-SalVentAttnB,0.09336091167043198,False
DefaultA-SomMotA,-0.06215852948932538,False
DefaultA-SomMotB,-0.08185529838999342,False
DefaultA-TempPar,-0.0329930678927141,False
DefaultA-VisCent,-0.016247862834157637,False
DefaultA-VisPeri,-0.08677891600048192,False
DefaultB-DefaultB,0.22034778352538759,True
DefaultB-DefaultC,0.20921448895286363,False
DefaultB-DorsAttnA,-0.10981278645580116,False
DefaultB-DorsAttnB,-0.04508608936829519,False
DefaultB-LimbicA,0.05666624461651128,False
DefaultB-LimbicB,0.06814379426613977,False
DefaultB-SalVentAttnA,-0.01944927582993801,False
DefaultB-SalVentAttnB,0.05910165907098706,False
DefaultB-SomMotA,-0.07442159546459327,False
DefaultB-SomMotB,-0.0718352294957065,False
DefaultB-TempPar,0.05321566757384737,False
DefaultB-VisCent,-0.025231439179226735,False
DefaultB-VisPeri,-0.08373302783261935,False
DefaultC-DefaultC,0.4603076468982937,True
DefaultC-DorsAttnA,-0.12914407550463233,False
DefaultC-DorsAttnB,-0.072509563980928,False
DefaultC-LimbicA,-0.004770079367155137,False
DefaultC-LimbicB,-0.01907365700871124,False
DefaultC-SalVentAttnA,-0.0391958560621583,False
DefaultC-SalVentAttnB,-0.015379928421620104,False
DefaultC-SomMotA,-0.10307121318919374,False
DefaultC-SomMotB,-0.08071486722034753,False
DefaultC-TempPar,0.29668165186359136,False
DefaultC-VisCent,-0.051573615062207666,False
DefaultC-VisPeri,-0.07949601052951315,False
DorsAttnA-DorsAttnA,0.2820131087200738,True
DorsAttnA-DorsAttnB,0.14521976674455797,False
DorsAttnA-LimbicA,0.012789446687626252,False
DorsAttnA-LimbicB,-0.043926994744461365,False
DorsAttnA-SalVentAttnA,0.014596812572537709,False
DorsAttnA-SalVentAttnB,-0.002321011392295447,False
DorsAttnA-SomMotA,-0.06164994315907737,False
DorsAttnA-SomMotB,0.02339134826382769,False
DorsAttnA-TempPar,-0.11030734695857562,False
DorsAttnA-VisCent,-0.021495951176384816,False
DorsAttnA-VisPeri,-0.11622279224373809,False
DorsAttnB-DorsAttnB,0.14691897117165978,True
DorsAttnB-LimbicA,0.05691760568557621,False
DorsAttnB-LimbicB,0.04271950669699157,False
DorsAttnB-SalVentAttnA,0.021486244342693247,False
