network_connection,fc,within_network
ContA-ContA,0.216011422472996,True
ContA-ContB,0.07921652099827967,False
ContA-ContC,-0.01346713213884429,False
ContA-DefaultA,0.03658566950076617,False
ContA-DefaultB,0.08605635660018651,False
ContA-DefaultC,0.0751689566637676,False
ContA-DorsAttnA,-0.0017010564265327202,False
ContA-DorsAttnB,0.010911004779548093,False
ContA-LimbicA,0.18885100755856424,False
ContA-LimbicB,0.10244696208107569,False
ContA-SalVentAttnA,0.04576200911818945,False
ContA-SalVentAttnB,0.12314697067277831,False
ContA-SomMotA,-0.0630354028253701,False
ContA-SomMotB,-0.012410571523280308,False
ContA-TempPar,0.005397179772211636,False
ContA-VisCent,-0.06591167109710014,False
ContA-VisPeri,-0.05997565024197755,False
ContB-ContB,0.1494774066513493,True
ContB-ContC,-0.006537213593149771,False
ContB-DefaultA,-0.06740161760855674,False
ContB-DefaultB,-0.03715396501061031,False
ContB-DefaultC,0.09537193177583267,False
ContB-DorsAttnA,0.03686416747722884,False
ContB-DorsAttnB,0.0716363318906257,False
ContB-LimbicA,0.026229490758290345,False
ContB-LimbicB,0.0015078562589788673,False
ContB-SalVentAttnA,-0.022412235299059318,False
ContB-SalVentAttnB,-0.035122885300890715,False
ContB-SomMotA,-0.041078597491181854,False
ContB-SomMotB,-0.035016170820016145,False
ContB-TempPar,0.19433575168006087,False
ContB-VisCent,0.000731742852803046,False
ContB-VisPeri,-0.05414104246104739,False
ContC-ContC,0.25034053488027624,True
ContC-DefaultA,0.1950997287014414,False
ContC-DefaultB,0.09017677262183627,False
ContC-DefaultC,-0.04070626797575738,False
ContC-DorsAttnA,-0.05663201430114297,False
ContC-DorsAttnB,0.035054496643508,False
ContC-LimbicA,0.042982242922858724,False
ContC-LimbicB,0.11450351623232366,False
ContC-SalVentAttnA,0.019398356809490883,False
ContC-SalVentAttnB,0.12256173302773136,False
ContC-SomMotA,0.03652138164126904,False
ContC-SomMotB,-0.05108947460869376,False
ContC-TempPar,-0.0908934405896905,False
ContC-VisCent,-0.006264135859231277,False
ContC-VisPeri,0.08805176210014246,False
DefaultA-DefaultA,0.24003676701237217,True
DefaultA-DefaultB,0.20592573576219161,False
DefaultA-DefaultC,-0.0034243607784103063,False
DefaultA-DorsAttnA,-0.09555878474134231,False
DefaultA-DorsAttnB,-0.032164782000826876,False
DefaultA-LimbicA,0.07973938847054697,False
DefaultA-LimbicB,0.1542452526631602,False
DefaultA-SalVentAttnA,0.04384709649961674,False
DefaultA-SalVentAttnB,0.15362993875904515,False
DefaultA-SomMotA,-0.00200567853127316,False
DefaultA-SomMotB,-0.016105769594848985,False
DefaultA-TempPar,-0.1519932478114432,False
DefaultA-VisCent,-0.018615739436353473,False
DefaultA-VisPeri,0.023855304821553118,False
DefaultB-DefaultB,0.34641325431120457,True
DefaultB-DefaultC,0.19537800150902962,False
DefaultB-DorsAttnA,-0.14249585831822992,False
DefaultB-DorsAttnB,-0.12549811532168303,False
DefaultB-LimbicA,0.11380196105998598,False
DefaultB-LimbicB,0.17428361700389125,False
DefaultB-SalVentAttnA,0.03632610580722157,False
DefaultB-SalVentAttnB,0.12694533973098826,False
DefaultB-SomMotA,-0.1230930426754808,False
DefaultB-SomMotB,-0.01412660499061385,False
DefaultB-TempPar,-0.12713959775650496,False
DefaultB-VisCent,-0.07427721843669886,False
DefaultB-VisPeri,-0.11277126991906922,False
DefaultC-DefaultC,0.28801163404976104,True
DefaultC-DorsAttnA,-0.04324928699435733,False
DefaultC-DorsAttnB,-0.059959082259980014,False
DefaultC-LimbicA,0.05485762847913704,False
DefaultC-LimbicB,0.05703849600259068,False
DefaultC-SalVentAttnA,0.006031380728546469,False
DefaultC-SalVentAttnB,-0.003065881314178228,False
DefaultC-SomMotA,-0.13416709262101742,False
DefaultC-SomMotB,-0.012282547298096611,False
DefaultC-TempPar,0.16504720081083896,False
DefaultC-VisCent,-0.059576327735515786,False
DefaultC-VisPeri,-0.16735896878280707,False
DorsAttnA-DorsAttnA,0.2699892917228944,True
DorsAttnA-DorsAttnB,0.13763006707938621,False
DorsAttnA-LimbicA,-0.025148442821418947,False
DorsAttnA-LimbicB,-0.08023411658962655,False
DorsAttnA-SalVentAttnA,0.06520283891487519,False
DorsAttnA-SalVentAttnB,-0.009380904860040826,False
DorsAttnA-SomMotA,0.08577854298348403,False
DorsAttnA-SomMotB,0.10661130752362556,False
DorsAttnA-TempPar,0.08441015487639847,False
DorsAttnA-VisCent,0.009350280862504475,False
DorsAttnA-VisPeri,0.07126302831431114,False
DorsAttnB-DorsAttnB,0.2010619480464976,True
DorsAttnB-LimbicA,0.01249104882119282,False
DorsAttnB-LimbicB,0.0015253738708067097,False
DorsAttnB-SalVentAttnA,0.038541261913345046,False
DorsAttnB-SalVentAttnB,0.03877419691997501,False
DorsAttnB-SomMotA,0.1026018607358764,False
DorsAttnB-SomMotB,0.006564281769906983,False
DorsAttnB-TempPar,0.10336922559741069,False
DorsAttnB-VisCent,0.06354383808560471,False
DorsAttnB-VisPeri,0.12992148430045936,False
LimbicA-LimbicA,0.18612543009463256,True
LimbicA-LimbicB,0.1521837863843175,False
LimbicA-SalVentAttnA,0.06492160440537012,False
LimbicA-SalVentAttnB,0.17214029061919744,False
LimbicA-SomMotA,-0.0417458084265328,False
LimbicA-SomMotB,-0.0015295159219518347,False
LimbicA-TempPar,-0.07322041762153042,False
LimbicA-VisCent,-0.050471547263707665,False
LimbicA-VisPeri,-0.023830788767982284,False
LimbicB-LimbicB,0.20378683019307067,True
LimbicB-SalVentAttnA,0.0758266956277103,False
