network_connection,fc,within_network
ContA-ContA,0.2851885829632652,True
ContA-ContB,0.17795359591587948,False
ContA-ContC,0.1684742631716514,False
ContA-DefaultA,0.15619112063953877,False
ContA-DefaultB,0.170004927464683,False
ContA-DefaultC,0.12407660328137442,False
ContA-DorsAttnA,0.030146320552795126,False
ContA-DorsAttnB,0.03801691596673647,False
ContA-LimbicA,0.30129212542428474,False
ContA-LimbicB,0.16397444647155113,False
ContA-SalVentAttnA,0.03598274318177564,False
ContA-SalVentAttnB,0.14923507525755264,False
ContA-SomMotA,-0.10144414296328164,False
ContA-SomMotB,-0.033121201116950695,False
ContA-TempPar,0.04529641395005615,False
ContA-VisCent,0.014049418073782302,False
ContA-VisPeri,-0.11776307538446541,False
ContB-ContB,0.232686550140994,True
ContB-ContC,0.1684058700392597,False
ContB-DefaultA,0.13996885643013718,False
ContB-DefaultB,0.16416384783701488,False
ContB-DefaultC,0.20272430434210736,False
ContB-DorsAttnA,0.01816574926104796,False
ContB-DorsAttnB,0.06203369737011261,False
ContB-LimbicA,0.1558060891971408,False
ContB-LimbicB,0.11082130789584636,False
ContB-SalVentAttnA,-0.0048312245678695034,False
ContB-SalVentAttnB,0.056920462846797054,False
ContB-SomMotA,-0.07538206699995863,False
ContB-SomMotB,-0.021537353865031156,False
ContB-TempPar,0.2237402244149277,False
ContB-VisCent,0.04730044621712318,False
ContB-VisPeri,-0.09867717002489164,False
ContC-ContC,0.3265011679449498,True
ContC-DefaultA,0.2934899566930382,False
ContC-DefaultB,0.2181862203087029,False
ContC-DefaultC,0.07119589701009867,False
ContC-DorsAttnA,-0.050969461496368475,False
ContC-DorsAttnB,0.03243612631056979,False
ContC-LimbicA,0.1844039257678609,False
ContC-LimbicB,0.18810343677431626,False
ContC-SalVentAttnA,-0.0005257352217190828,False
ContC-SalVentAttnB,0.14651614899971496,False
ContC-SomMotA,-0.05588897731271695,False
ContC-SomMotB,-0.05489425014710385,False
ContC-TempPar,0.089525972086638,False
ContC-VisCent,0.05175998084701547,False
ContC-VisPeri,-0.06147686317598944,False
DefaultA-DefaultA,0.2815882648364368,True
DefaultA-DefaultB,0.2086069687754914,False
DefaultA-DefaultC,0.06694885077499942,False
DefaultA-DorsAttnA,-0.05839586551993095,False
DefaultA-DorsAttnB,0.02681080520834027,False
DefaultA-LimbicA,0.1606061144243412,False
DefaultA-LimbicB,0.17605492000461026,False
DefaultA-SalVentAttnA,-0.0033467200032805105,False
DefaultA-SalVentAttnB,0.13225634062850722,False
DefaultA-SomMotA,-0.04786331121688815,False
DefaultA-SomMotB,-0.043733471183463234,False
DefaultA-TempPar,0.07651815245538271,False
DefaultA-VisCent,0.0574112437799951,False
DefaultA-VisPeri,-0.06099239203920589,False
DefaultB-DefaultB,0.24359218572959554,True
DefaultB-DefaultC,0.2332441961394848,False
DefaultB-DorsAttnA,-0.048778836758339536,False
DefaultB-DorsAttnB,-0.0017658694846622127,False
DefaultB-LimbicA,0.16081289333094265,False
DefaultB-LimbicB,0.147206999430478,False
DefaultB-SalVentAttnA,-0.012436566096375447,False
DefaultB-SalVentAttnB,0.08899284459512749,False
DefaultB-SomMotA,-0.08502444608876163,False
DefaultB-SomMotB,-0.03472855749423565,False
DefaultB-TempPar,0.15609952735706653,False
DefaultB-VisCent,0.024143578421996544,False
DefaultB-VisPeri,-0.1015052444450719,False
DefaultC-DefaultC,0.4857788377055223,True
DefaultC-DorsAttnA,-0.04536523912188511,False
DefaultC-DorsAttnB,-0.009027640553931345,False
DefaultC-LimbicA,0.0901625657630526,False
DefaultC-LimbicB,0.0850090050858275,False
DefaultC-SalVentAttnA,-0.032625367191701726,False
DefaultC-SalVentAttnB,-3.1585287101660334e-05,False
DefaultC-SomMotA,-0.0925629108261738,False
DefaultC-SomMotB,-0.013180760331582116,False
DefaultC-TempPar,0.40682363720229986,False
DefaultC-VisCent,0.0020028627502637294,False
DefaultC-VisPeri,-0.11232296608068361,False
DorsAttnA-DorsAttnA,0.30858777118019337,True
DorsAttnA-DorsAttnB,0.07528273207491849,False
DorsAttnA-LimbicA,0.038918365452824316,False
DorsAttnA-LimbicB,-0.025006202653541858,False
DorsAttnA-SalVentAttnA,0.0940278364252678,False
DorsAttnA-SalVentAttnB,0.02320181214451039,False
DorsAttnA-SomMotA,0.021168257743093267,False
DorsAttnA-SomMotB,0.1041353213292904,False
DorsAttnA-TempPar,-0.09504195816825407,False
DorsAttnA-VisCent,-0.02006639047564005,False
DorsAttnA-VisPeri,-0.0193521241427973,False
DorsAttnB-DorsAttnB,0.11418891106157902,True
DorsAttnB-LimbicA,0.034256943254548,False
DorsAttnB-LimbicB,0.031233290661269498,False
DorsAttnB-SalVentAttnA,0.02574005287903729,False
DorsAttnB-SalVentAttnB,0.02406244506873563,False
DorsAttnB-SomMotA,0.04817650790859462,False
DorsAttnB-SomMotB,0.011082829227208968,False
DorsAttnB-TempPar,0.023648178722164848,False
DorsAttnB-VisCent,0.07359981825287454,False
DorsAttnB-VisPeri,0.05408625486203446,False
LimbicA-LimbicA,0.3309238625937363,True
LimbicA-LimbicB,0.19392435722192375,False
LimbicA-SalVentAttnA,0.05252200142106617,False
LimbicA-SalVentAttnB,0.18090891425428654,False
LimbicA-SomMotA,-0.11481159961915276,False
LimbicA-SomMotB,-0.04242425177971067,False
LimbicA-TempPar,-0.0012291123537664277,False
LimbicA-VisCent,-0.0015709830864267722,False
LimbicA-VisPeri,-0.13764914722310323,False
LimbicB-LimbicB,0.21754817144464275,True
LimbicB-SalVentAttnA,0.0560464313017611,False
LimbicB-SalVentAttnB,0.19832678544267093,False
LimbicB-SomMotA,-0.06881944658144466,False
LimbicB-SomMotB,-0.012196321599390415,False
LimbicB-TempPar,0.04565925206332186,False
LimbicB-VisCent,0.02613040954081329,False
LimbicB-VisPeri,-0.08881333769708251,False
SalVentAttnA-SalVentAttnA,0.07829498390008745,True
SalVentAttnA-SalVentAttnB,0.08658719175708697,False
SalVentAttnA-SomMotA,-1.8739928847857622e-05,False
SalVentAttnA-SomMotB,0.04735707601690707,False
SalVentAttnA-TempPar,-0.06376063899458562,False
SalVentAttnA-VisCent,-0.004696712320726116,False
SalVentAttnA-VisPeri,-0.0013190697370794732,False
SalVentAttnB-SalVentAttnB,0.21908937607677562,True
SalVentAttnB-SomMotA,-0.08193144974441104,False
SalVentAttnB-SomMotB,-0.018176240980191417,False
SalVentAttnB-TempPar,-0.04847052937736421,False
SalVentAttnB-VisCent,-0.007874155701257792,False
SalVentAttnB-VisPeri,-0.07239859316119407,False
SomMotA-SomMotA,0.20441941079880793,True
SomMotA-SomMotB,0.09431011043920293,False
SomMotA-TempPar,-0.05493777232814615,False
SomMotA-VisCent,0.09035635316241751,False
SomMotA-VisPeri,0.23323865767992158,False
SomMotB-SomMotB,0.1409387835839025,True
SomMotB-TempPar,-0.021926614575468985,False
SomMotB-VisCent,0.026666349420805237,False
SomMotB-VisPeri,0.048834508437655494,False
TempPar-TempPar,0.5627018472618187,True
TempPar-VisCent,0.04299673078479801,False
TempPar-VisPeri,-0.08196241927002836,False
VisCent-VisCent,0.11608132308370472,True
VisCent-VisPeri,0.1057671139745426,False
VisPeri-VisPeri,0.3354856453282927,True
