network_connection,fc,within_network
ContA-ContA,0.2202927633518506,True
ContA-ContB,0.10086693410787612,False
ContA-ContC,0.04193271362279985,False
ContA-DefaultA,0.054037541204691335,False
ContA-DefaultB,0.063654778455248,False
ContA-DefaultC,0.04512128661235529,False
ContA-DorsAttnA,0.050387678693817176,False
ContA-DorsAttnB,0.04598595725968677,False
ContA-LimbicA,0.19847915242963876,False
ContA-LimbicB,0.11958725950409302,False
ContA-SalVentAttnA,0.03949746991202972,False
ContA-SalVentAttnB,0.15085117267389508,False
ContA-SomMotA,-0.08154091673079729,False
ContA-SomMotB,0.009405660242483248,False
ContA-TempPar,-0.046898879311786906,False
ContA-VisCent,0.014376593580422687,False
ContA-VisPeri,-0.06597712618443041,False
ContB-ContB,0.12716232246950296,True
ContB-ContC,0.03176665527646298,False
ContB-DefaultA,0.01569759515848618,False
ContB-DefaultB,0.07413603813944948,False
ContB-DefaultC,0.15786433698229074,False
ContB-DorsAttnA,0.05900107108749668,False
ContB-DorsAttnB,0.057034312270462205,False
ContB-LimbicA,0.06990211596270432,False
ContB-LimbicB,0.03814003931628491,False
ContB-SalVentAttnA,-0.00785444730217463,False
ContB-SalVentAttnB,0.04029058445763156,False
ContB-SomMotA,-0.061695590511596454,False
ContB-SomMotB,-0.011740465815289673,False
ContB-TempPar,0.09412921691664389,False
ContB-VisCent,0.028859464141735635,False
ContB-VisPeri,-0.043875615021932324,False
ContC-ContC,0.10348218008741647,True
ContC-DefaultA,0.1138178691821378,False
ContC-DefaultB,0.08543834012776096,False
ContC-DefaultC,0.0010865560087098504,False
ContC-DorsAttnA,0.006172833846216509,False
ContC-DorsAttnB,0.02777488912568335,False
ContC-LimbicA,0.07390316582297266,False
ContC-LimbicB,0.09045489441608717,False
ContC-SalVentAttnA,0.04205243470182403,False
ContC-SalVentAttnB,0.10272471928898275,False
ContC-SomMotA,0.004647900268955766,False
ContC-SomMotB,0.0037590927093644816,False
ContC-TempPar,-0.060682168706363386,False
ContC-VisCent,0.03302745086385099,False
ContC-VisPeri,0.0017234334122977475,False
DefaultA-DefaultA,0.163660784446718,True
DefaultA-DefaultB,0.10749142380316294,False
DefaultA-DefaultC,-0.06931427838391253,False
DefaultA-DorsAttnA,0.012213608743396935,False
DefaultA-DorsAttnB,0.03127504612916355,False
DefaultA-LimbicA,0.09697744459416906,False
DefaultA-LimbicB,0.09867966736784822,False
DefaultA-SalVentAttnA,0.05456720116592776,False
DefaultA-SalVentAttnB,0.12469130340312023,False
DefaultA-SomMotA,-0.003707039657412462,False
DefaultA-SomMotB,-0.004434664144204886,False
DefaultA-TempPar,-0.0699069499651549,False
DefaultA-VisCent,0.030063533223846174,False
DefaultA-VisPeri,-0.019178756832899907,False
DefaultB-DefaultB,0.13955892198489653,True
DefaultB-DefaultC,0.12830747650520297,False
DefaultB-DorsAttnA,0.00166727807894148,False
DefaultB-DorsAttnB,0.023708346264125307,False
DefaultB-LimbicA,0.062137645673393936,False
DefaultB-LimbicB,0.07944985254375023,False
DefaultB-SalVentAttnA,0.02702108614321672,False
DefaultB-SalVentAttnB,0.09765116180263693,False
DefaultB-SomMotA,-0.03452028135913348,False
DefaultB-SomMotB,-0.016526521566235606,False
DefaultB-TempPar,0.03088501521266771,False
DefaultB-VisCent,0.03133634025656146,False
DefaultB-VisPeri,-0.025601966665137282,False
DefaultC-DefaultC,0.4887587101243381,True
DefaultC-DorsAttnA,0.011086570200305472,False
DefaultC-DorsAttnB,0.04218205989212716,False
DefaultC-LimbicA,-0.02978295728791896,False
DefaultC-LimbicB,0.04182541917604529,False
DefaultC-SalVentAttnA,-0.002075643534863115,False
DefaultC-SalVentAttnB,0.020676120146427054,False
DefaultC-SomMotA,-0.039257128788201895,False
DefaultC-SomMotB,-0.006138894673554805,False
DefaultC-TempPar,0.2821665198187572,False
DefaultC-VisCent,0.05777685646008116,False
DefaultC-VisPeri,0.011512420273516967,False
DorsAttnA-DorsAttnA,0.21182827080045544,True
DorsAttnA-DorsAttnB,0.12294392678390575,False
DorsAttnA-LimbicA,0.04118576848430761,False
DorsAttnA-LimbicB,-0.015637614671561852,False
DorsAttnA-SalVentAttnA,0.03896686183365306,False
DorsAttnA-SalVentAttnB,0.018722320598402075,False
DorsAttnA-SomMotA,-0.005452176358615392,False
DorsAttnA-SomMotB,0.05096034089175008,False
DorsAttnA-TempPar,-0.04342500517376228,False
DorsAttnA-VisCent,0.03290998878816009,False
DorsAttnA-VisPeri,0.006850339341426939,False
DorsAttnB-DorsAttnB,0.09800720667506221,True
DorsAttnB-LimbicA,0.04564425905887653,False
DorsAttnB-LimbicB,0.03922615857742133,False
DorsAttnB-SalVentAttnA,0.04216541492897338,False
DorsAttnB-SalVentAttnB,0.05638527371203033,False
DorsAttnB-SomMotA,-0.009707471743405015,False
DorsAttnB-SomMotB,0.0157937811236028,False
DorsAttnB-TempPar,0.008529598182258636,False
DorsAttnB-VisCent,0.035419552469965684,False
DorsAttnB-VisPeri,0.012801965724674914,False
LimbicA-LimbicA,0.20046235985065583,True
LimbicA-LimbicB,0.14184928788088846,False
LimbicA-SalVentAttnA,0.06034032852736244,False
LimbicA-SalVentAttnB,0.16790585561887642,False
LimbicA-SomMotA,-0.06068312911826723,False
LimbicA-SomMotB,0.006758492617701197,False
LimbicA-TempPar,-0.10594174616593283,False
LimbicA-VisCent,0.016468364296584635,False
LimbicA-VisPeri,-0.06300295006023929,False
LimbicB-LimbicB,0.17738444958042843,True
LimbicB-SalVentAttnA,0.08299302712557212,False
LimbicB-SalVentAttnB,0.1927361663937072,False
LimbicB-SomMotA,-0.03576668227967377,False
LimbicB-SomMotB,-0.0012054171163667455,False
LimbicB-TempPar,-0.04919346613144888,False
LimbicB-VisCent,0.03910200621978161,False
LimbicB-VisPeri,-0.027408766416777672,False
