network_connection,fc,within_network
ContA-ContA,0.25771394188398855,True
ContA-ContB,0.18735850122559367,False
ContA-ContC,0.12451964623674251,False
ContA-DefaultA,0.13768079962921262,False
ContA-DefaultB,0.12354738405386702,False
ContA-DefaultC,0.053143446383999086,False
ContA-DorsAttnA,0.06738782555487019,False
ContA-DorsAttnB,0.12736503593016585,False
ContA-LimbicA,0.2422084751450219,False
ContA-LimbicB,0.15689983675238614,False
ContA-SalVentAttnA,0.033123543170930574,False
ContA-SalVentAttnB,0.14749978951661993,False
ContA-SomMotA,-0.08017542807045097,False
ContA-SomMotB,-0.0499780056925081,False
ContA-TempPar,0.03762105866623403,False
ContA-VisCent,0.061657355858982826,False
ContA-VisPeri,-0.053249359249672126,False
ContB-ContB,0.19735919825657325,True
ContB-ContC,0.10989776037564307,False
ContB-DefaultA,0.09286571438742226,False
ContB-DefaultB,0.09655013532804972,False
ContB-DefaultC,0.09135550563408448,False
ContB-DorsAttnA,0.04044072760586211,False
ContB-DorsAttnB,0.09559344509155408,False
ContB-LimbicA,0.16031252014905184,False
ContB-LimbicB,0.08088201206555094,False
ContB-SalVentAttnA,-0.009467180797314836,False
ContB-SalVentAttnB,0.07158754244747498,False
ContB-SomMotA,-0.0783468278370346,False
ContB-SomMotB,-0.06644507969310053,False
ContB-TempPar,0.11357741860696459,False
ContB-VisCent,0.03238545603302312,False
ContB-VisPeri,-0.06363110462165653,False
ContC-ContC,0.2840011622061417,True
ContC-DefaultA,0.24721955840060847,False
ContC-DefaultB,0.1665615791501532,False
ContC-DefaultC,0.01744336624036333,False
ContC-DorsAttnA,-0.020578476632773172,False
ContC-DorsAttnB,0.05408803097999499,False
ContC-LimbicA,0.1596736629301428,False
ContC-LimbicB,0.17742317454949638,False
ContC-SalVentAttnA,0.042555291936157105,False
ContC-SalVentAttnB,0.18636861910719424,False
ContC-SomMotA,0.015400283886069097,False
ContC-SomMotB,-0.03483796284373641,False
ContC-TempPar,-0.005120796398626653,False
ContC-VisCent,0.0950771325666064,False
ContC-VisPeri,0.029040528872320812,False
DefaultA-DefaultA,0.2576402188754139,True
DefaultA-DefaultB,0.19336075051867613,False
DefaultA-DefaultC,0.0296063178137828,False
DefaultA-DorsAttnA,-0.007742679373872971,False
DefaultA-DorsAttnB,0.05894425881758151,False
DefaultA-LimbicA,0.15785500315453185,False
DefaultA-LimbicB,0.15374098923115206,False
DefaultA-SalVentAttnA,0.039006312279688204,False
DefaultA-SalVentAttnB,0.1514264284779725,False
DefaultA-SomMotA,0.01817862520766774,False
DefaultA-SomMotB,-0.03037944389054945,False
DefaultA-TempPar,0.0011863940417827365,False
DefaultA-VisCent,0.10086253150512738,False
DefaultA-VisPeri,0.030335807793660484,False
DefaultB-DefaultB,0.21965977241464957,True
DefaultB-DefaultC,0.16269591763030491,False
DefaultB-DorsAttnA,-0.03180254283654056,False
DefaultB-DorsAttnB,0.026183688364813905,False
DefaultB-LimbicA,0.12115419402681771,False
DefaultB-LimbicB,0.12776763914977543,False
DefaultB-SalVentAttnA,0.020228681432577725,False
DefaultB-SalVentAttnB,0.11236866248974328,False
DefaultB-SomMotA,-0.019930538489073835,False
DefaultB-SomMotB,-0.03392714492745448,False
DefaultB-TempPar,0.06783623658228968,False
DefaultB-VisCent,0.07334546251191384,False
DefaultB-VisPeri,-0.0108433086341454,False
DefaultC-DefaultC,0.2706532951307817,True
DefaultC-DorsAttnA,-0.058382299573463296,False
DefaultC-DorsAttnB,-0.02259652194658355,False
DefaultC-LimbicA,0.017655670330271492,False
DefaultC-LimbicB,0.05035276502405815,False
DefaultC-SalVentAttnA,-0.019598284684724982,False
DefaultC-SalVentAttnB,0.016061118007216633,False
DefaultC-SomMotA,-0.07634830385993654,False
DefaultC-SomMotB,-0.0445579304225244,False
DefaultC-TempPar,0.22552620352104713,False
DefaultC-VisCent,0.001425352398980787,False
DefaultC-VisPeri,-0.07251332008310776,False
DorsAttnA-DorsAttnA,0.20288707988007376,True
DorsAttnA-DorsAttnB,0.1486264162833548,False
DorsAttnA-LimbicA,0.055500463704427,False
DorsAttnA-LimbicB,-0.021013115343880593,False
DorsAttnA-SalVentAttnA,0.019363911190012673,False
DorsAttnA-SalVentAttnB,0.011551842342609588,False
DorsAttnA-SomMotA,-0.0015829249662053563,False
DorsAttnA-SomMotB,0.030139824271803107,False
DorsAttnA-TempPar,-0.03674516702058358,False
DorsAttnA-VisCent,0.025698890233440224,False
DorsAttnA-VisPeri,0.00970815631273144,False
DorsAttnB-DorsAttnB,0.17631205768239097,True
DorsAttnB-LimbicA,0.1271304593691681,False
