network_connection,fc,within_network
ContA-ContA,0.23520263387499502,True
ContA-ContB,0.17128028813497928,False
ContA-ContC,0.1098713135069234,False
ContA-DefaultA,0.126656984602792,False
ContA-DefaultB,0.15716984404373194,False
ContA-DefaultC,0.10730131928455967,False
ContA-DorsAttnA,-0.016708465509575436,False
ContA-DorsAttnB,0.02569548324789052,False
ContA-LimbicA,0.25014602155328186,False
ContA-LimbicB,0.14068920426046624,False
ContA-SalVentAttnA,0.005940576982608592,False
ContA-SalVentAttnB,0.14535981431678344,False
ContA-SomMotA,-0.09473300202485661,False
ContA-SomMotB,-0.016657130051161415,False
ContA-TempPar,-0.004635407450923456,False
ContA-VisCent,-0.0012472999358940852,False
ContA-VisPeri,-0.09178207377599475,False
ContB-ContB,0.21942695697729903,True
ContB-ContC,0.13800107730076266,False
ContB-DefaultA,0.12508663341555942,False
ContB-DefaultB,0.16504245788393715,False
ContB-DefaultC,0.14330789133919486,False
ContB-DorsAttnA,0.005120515398396375,False
ContB-DorsAttnB,0.0362166409661594,False
ContB-LimbicA,0.13114791908127454,False
ContB-LimbicB,0.08068518628257194,False
ContB-SalVentAttnA,-0.02876161766656334,False
ContB-SalVentAttnB,0.03928540930785914,False
ContB-SomMotA,-0.05929461944552459,False
ContB-SomMotB,-0.03400230589215994,False
ContB-TempPar,0.07185474428773414,False
ContB-VisCent,0.0036882488322628002,False
ContB-VisPeri,-0.07376709548527861,False
ContC-ContC,0.24132032492209732,True
ContC-DefaultA,0.2467803406398178,False
ContC-DefaultB,0.22531076055782281,False
ContC-DefaultC,0.09981089206644227,False
ContC-DorsAttnA,-0.0532447837166809,False
ContC-DorsAttnB,-0.009415728164036893,False
ContC-LimbicA,0.08966466630115419,False
ContC-LimbicB,0.09504272371321923,False
ContC-SalVentAttnA,-0.025369596210173134,False
ContC-SalVentAttnB,0.07412183226550485,False
ContC-SomMotA,-0.022245155970204735,False
ContC-SomMotB,-0.043696335016035474,False
ContC-TempPar,0.05503318002602014,False
ContC-VisCent,0.009435782778819434,False
ContC-VisPeri,-0.013935199688862414,False
DefaultA-DefaultA,0.2788417223395173,True
DefaultA-DefaultB,0.2685982691569689,False
DefaultA-DefaultC,0.1275781210800219,False
DefaultA-DorsAttnA,-0.06775076032473835,False
DefaultA-DorsAttnB,-0.045014448111263664,False
DefaultA-LimbicA,0.10697295328891851,False
DefaultA-LimbicB,0.11340459676011558,False
DefaultA-SalVentAttnA,-0.02564622894706461,False
DefaultA-SalVentAttnB,0.07267827755112129,False
DefaultA-SomMotA,-0.03618803290780202,False
DefaultA-SomMotB,-0.018177867883485323,False
DefaultA-TempPar,0.0841431171287607,False
DefaultA-VisCent,-0.001311390931183001,False
DefaultA-VisPeri,-0.048828341409530025,False
DefaultB-DefaultB,0.3175848049081207,True
DefaultB-DefaultC,0.25926796760157306,False
DefaultB-DorsAttnA,-0.10285087259250186,False
DefaultB-DorsAttnB,-0.05546548060820518,False
DefaultB-LimbicA,0.11316305833549677,False
DefaultB-LimbicB,0.12819231147127036,False
DefaultB-SalVentAttnA,-0.02989747361662151,False
DefaultB-SalVentAttnB,0.07153298727874588,False
DefaultB-SomMotA,-0.057641984040465784,False
DefaultB-SomMotB,-0.025859297978507115,False
DefaultB-TempPar,0.17119651291350166,False
DefaultB-VisCent,0.011926267021696193,False
DefaultB-VisPeri,-0.06310557497733364,False
DefaultC-DefaultC,0.4532680216331758,True
DefaultC-DorsAttnA,-0.12391607002186504,False
DefaultC-DorsAttnB,-0.06516224736709071,False
DefaultC-LimbicA,0.06557422849061165,False
DefaultC-LimbicB,0.119907291299859,False
DefaultC-SalVentAttnA,-0.01476425641950761,False
DefaultC-SalVentAttnB,0.07302388416887622,False
DefaultC-SomMotA,-0.06436578915673459,False
DefaultC-SomMotB,-0.03436155977123512,False
DefaultC-TempPar,0.37198834233922623,False
DefaultC-VisCent,0.03841200194779188,False
DefaultC-VisPeri,-0.06358536952044706,False
DorsAttnA-DorsAttnA,0.18954535763739194,True
DorsAttnA-DorsAttnB,0.09345660510539014,False
DorsAttnA-LimbicA,0.017758437866424833,False
DorsAttnA-LimbicB,-0.04206293677410549,False
DorsAttnA-SalVentAttnA,0.031204370975996345,False
DorsAttnA-SalVentAttnB,0.007642707104634354,False
DorsAttnA-SomMotA,0.0026040785671397246,False
DorsAttnA-SomMotB,0.03485042970119749,False
DorsAttnA-TempPar,-0.11037182539513521,False
DorsAttnA-VisCent,-0.03221367262739405,False
DorsAttnA-VisPeri,-0.029579267021668378,False
DorsAttnB-DorsAttnB,0.12166390517362195,True
DorsAttnB-LimbicA,0.031180363319017697,False
DorsAttnB-LimbicB,0.0028084739204094545,False
DorsAttnB-SalVentAttnA,0.019208733199422897,False
DorsAttnB-SalVentAttnB,0.0359660907006529,False
DorsAttnB-SomMotA,0.0024871336270136557,False
DorsAttnB-SomMotB,-0.044765808998456696,False
DorsAttnB-TempPar,-0.10650462971958247,False
DorsAttnB-VisCent,-0.001330020453501405,False
DorsAttnB-VisPeri,0.03503858712023732,False
LimbicA-LimbicA,0.3008301825347668,True
LimbicA-LimbicB,0.1591417819414577,False
LimbicA-SalVentAttnA,0.029833791107775752,False
LimbicA-SalVentAttnB,0.20447669862433646,False
LimbicA-SomMotA,-0.1273028192750331,False
LimbicA-SomMotB,-0.00231138131632001,False
LimbicA-TempPar,-0.0525336032360579,False
LimbicA-VisCent,-0.01595957633143706,False
LimbicA-VisPeri,-0.12860641588500635,False
LimbicB-LimbicB,0.13743450423872214,True
LimbicB-SalVentAttnA,0.024275160705916787,False
LimbicB-SalVentAttnB,0.15086809085075645,False
LimbicB-SomMotA,-0.06893927858998707,False
LimbicB-SomMotB,0.01098106590064684,False
LimbicB-TempPar,0.0375572057811741,False
LimbicB-VisCent,0.020447826714730166,False
LimbicB-VisPeri,-0.06881023934661529,False
SalVentAttnA-SalVentAttnA,0.042934538179917,True
SalVentAttnA-SalVentAttnB,0.06654358868290744,False
SalVentAttnA-SomMotA,-0.005218466796465779,False
SalVentAttnA-SomMotB,0.032094349383054686,False
SalVentAttnA-TempPar,-0.017702158595989434,False
SalVentAttnA-VisCent,0.002964969900428023,False
SalVentAttnA-VisPeri,0.008238111536907266,False
SalVentAttnB-SalVentAttnB,0.2198345621419777,True
SalVentAttnB-SomMotA,-0.11100643698822081,False
SalVentAttnB-SomMotB,-0.007959889249777401,False
SalVentAttnB-TempPar,0.006165215691597258,False
SalVentAttnB-VisCent,-0.0047045956099856035,False
SalVentAttnB-VisPeri,-0.08793303660083455,False
SomMotA-SomMotA,0.15893490689499157,True
SomMotA-SomMotB,0.05173069466814306,False
SomMotA-TempPar,-0.023564634602548575,False
SomMotA-VisCent,0.05296205180914274,False
SomMotA-VisPeri,0.1824349441504728,False
SomMotB-SomMotB,0.14067943134442745,True
SomMotB-TempPar,-0.014049256598124239,False
SomMotB-VisCent,0.0321668371853311,False
SomMotB-VisPeri,-0.003395269749020416,False
TempPar-TempPar,0.4610558631112468,True
TempPar-VisCent,0.015166107295103141,False
TempPar-VisPeri,-0.03876890650282411,False
VisCent-VisCent,0.06565602552585524,True
VisCent-VisPeri,0.07112227004832315,False
VisPeri-VisPeri,0.2887377705608869,True
