network_connection,fc,within_network
ContA-ContA,0.29096621907873965,True
ContA-ContB,0.2047269088783591,False
ContA-ContC,0.12414914287135187,False
ContA-DefaultA,0.12672580930098287,False
ContA-DefaultB,0.1239009819856907,False
ContA-DefaultC,0.04869428211067866,False
ContA-DorsAttnA,-0.009589957137399407,False
ContA-DorsAttnB,0.0750437265643104,False
ContA-LimbicA,0.2691743574802663,False
ContA-LimbicB,0.1306872379636152,False
ContA-SalVentAttnA,-0.0220534535809828,False
ContA-SalVentAttnB,0.14892815475506396,False
ContA-SomMotA,-0.1365625802643829,False
ContA-SomMotB,-0.09761661396789428,False
ContA-TempPar,-0.022986065660273922,False
ContA-VisCent,0.019083228097184893,False
ContA-VisPeri,-0.1481823289188457,False
ContB-ContB,0.2617196566695726,True
ContB-ContC,0.13534849927698525,False
ContB-DefaultA,0.12846144428359127,False
ContB-DefaultB,0.16728962083260754,False
ContB-DefaultC,0.14746514876411446,False
ContB-DorsAttnA,-0.010453636888567035,False
ContB-DorsAttnB,0.07867761228418164,False
ContB-LimbicA,0.1754379274062172,False
ContB-LimbicB,0.0861947814813455,False
ContB-SalVentAttnA,-0.03812169635043803,False
ContB-SalVentAttnB,0.07418053180647448,False
ContB-SomMotA,-0.1521665552355984,False
ContB-SomMotB,-0.11619658381127763,False
ContB-TempPar,0.11174951872433932,False
ContB-VisCent,0.02531983517326168,False
ContB-VisPeri,-0.16452457951461738,False
ContC-ContC,0.1948693848126285,True
ContC-DefaultA,0.18375483264795,False
ContC-DefaultB,0.11213928247903215,False
ContC-DefaultC,-0.020058167355789417,False
ContC-DorsAttnA,-0.016167284120146456,False
ContC-DorsAttnB,0.06344724335595008,False
ContC-LimbicA,0.13829281782302325,False
ContC-LimbicB,0.0904884070334773,False
ContC-SalVentAttnA,-0.002518248913262105,False
ContC-SalVentAttnB,0.1284190668426083,False
ContC-SomMotA,-0.05414145457505052,False
ContC-SomMotB,-0.08687284947006652,False
ContC-TempPar,-0.024980583601854702,False
ContC-VisCent,0.025379995997502642,False
ContC-VisPeri,-0.059612192957115645,False
DefaultA-DefaultA,0.2005400153010005,True
DefaultA-DefaultB,0.1401948391103523,False
DefaultA-DefaultC,-0.008834714886017218,False
DefaultA-DorsAttnA,-0.013563298042274295,False
DefaultA-DorsAttnB,0.06747800491630629,False
DefaultA-LimbicA,0.12372684825759515,False
DefaultA-LimbicB,0.08735920634054695,False
DefaultA-SalVentAttnA,0.0028902942519184274,False
DefaultA-SalVentAttnB,0.11494353461146338,False
DefaultA-SomMotA,-0.06427297943460368,False
DefaultA-SomMotB,-0.09029747859366402,False
DefaultA-TempPar,-0.04198694990756055,False
DefaultA-VisCent,0.03135452176033284,False
DefaultA-VisPeri,-0.06915865167738842,False
DefaultB-DefaultB,0.20557330915060906,True
DefaultB-DefaultC,0.1954761780671195,False
DefaultB-DorsAttnA,-0.0754880313241434,False
DefaultB-DorsAttnB,0.020596430371577847,False
DefaultB-LimbicA,0.09930239821404321,False
DefaultB-LimbicB,0.09391889186107955,False
DefaultB-SalVentAttnA,-0.02770281742353283,False
DefaultB-SalVentAttnB,0.07548573589948475,False
DefaultB-SomMotA,-0.1175121377985765,False
DefaultB-SomMotB,-0.10194069734891363,False
DefaultB-TempPar,0.05556914855361543,False
DefaultB-VisCent,0.02403475277845196,False
DefaultB-VisPeri,-0.12061677163884772,False
DefaultC-DefaultC,0.4033558576306397,True
DefaultC-DorsAttnA,-0.14868989906891653,False
DefaultC-DorsAttnB,-0.05279587030928505,False
DefaultC-LimbicA,0.01469799327522727,False
DefaultC-LimbicB,0.07387881874686318,False
DefaultC-SalVentAttnA,-0.044617941819000334,False
DefaultC-SalVentAttnB,0.014662829773627793,False
DefaultC-SomMotA,-0.159849097018742,False
DefaultC-SomMotB,-0.09193101854687524,False
DefaultC-TempPar,0.2717716805400252,False
DefaultC-VisCent,-0.008347378526073012,False
DefaultC-VisPeri,-0.16088264592334883,False
DorsAttnA-DorsAttnA,0.2437273612437539,True
DorsAttnA-DorsAttnB,0.12800126094987632,False
DorsAttnA-LimbicA,0.016018745345434817,False
DorsAttnA-LimbicB,-0.05961250598478036,False
DorsAttnA-SalVentAttnA,0.01454790103905904,False
DorsAttnA-SalVentAttnB,-0.05232050399046154,False
DorsAttnA-SomMotA,0.009991267527391223,False
DorsAttnA-SomMotB,0.035205865186052156,False
DorsAttnA-TempPar,-0.098492775700166,False
DorsAttnA-VisCent,0.006842454594424355,False
DorsAttnA-VisPeri,-0.017461552599164844,False
DorsAttnB-DorsAttnB,0.15664023822589754,True
DorsAttnB-LimbicA,0.0908619085278474,False
DorsAttnB-LimbicB,0.03824529496868791,False
DorsAttnB-SalVentAttnA,0.004686337267269893,False
DorsAttnB-SalVentAttnB,0.05663134136866605,False
DorsAttnB-SomMotA,-0.048564849098152806,False
DorsAttnB-SomMotB,-0.058970395973283685,False
DorsAttnB-TempPar,-0.039676544760193944,False
DorsAttnB-VisCent,0.039385353645177174,False
DorsAttnB-VisPeri,-0.061068407508005,False
LimbicA-LimbicA,0.264308540424623,True
LimbicA-LimbicB,0.15024014198815142,False
LimbicA-SalVentAttnA,-0.009619851777469001,False
LimbicA-SalVentAttnB,0.17934516018598637,False
LimbicA-SomMotA,-0.1375386364497725,False
LimbicA-SomMotB,-0.08713582702477153,False
LimbicA-TempPar,-0.02627607263788593,False
LimbicA-VisCent,0.01276744245481332,False
LimbicA-VisPeri,-0.15265069431610562,False
LimbicB-LimbicB,0.1796038877600464,True
LimbicB-SalVentAttnA,0.029646437758331156,False
LimbicB-SalVentAttnB,0.21757447089327214,False
LimbicB-SomMotA,-0.13344361588866344,False
LimbicB-SomMotB,-0.05128579486329704,False
LimbicB-TempPar,-0.0138365817783003,False
LimbicB-VisCent,0.0027745306767172585,False
LimbicB-VisPeri,-0.12504667231895902,False
SalVentAttnA-SalVentAttnA,0.06134592934374554,True
SalVentAttnA-SalVentAttnB,0.06593012083647615,False
SalVentAttnA-SomMotA,-0.010126690519363187,False
SalVentAttnA-SomMotB,0.016480999091989818,False
SalVentAttnA-TempPar,-0.03851925359021289,False
SalVentAttnA-VisCent,-0.02131432791644392,False
SalVentAttnA-VisPeri,0.02146909813034901,False
SalVentAttnB-SalVentAttnB,0.2870957527063692,True
SalVentAttnB-SomMotA,-0.13436969933901724,False
SalVentAttnB-SomMotB,-0.06911390903653483,False
SalVentAttnB-TempPar,-0.038274548673069106,False
SalVentAttnB-VisCent,-0.009667827481485106,False
SalVentAttnB-VisPeri,-0.09723202915446437,False
SomMotA-SomMotA,0.18969258680704423,True
SomMotA-SomMotB,0.08610370897494578,False
SomMotA-TempPar,-0.08998381640625705,False
SomMotA-VisCent,0.029193095237778674,False
SomMotA-VisPeri,0.1967314975850945,False
SomMotB-SomMotB,0.11104497979810315,True
SomMotB-TempPar,-0.07666335458403753,False
SomMotB-VisCent,0.0010625969403968093,False
SomMotB-VisPeri,0.08426505616114865,False
TempPar-TempPar,0.5067388599256348,True
TempPar-VisCent,-0.0290475797220533,False
TempPar-VisPeri,-0.08625543001256536,False
VisCent-VisCent,0.05532768833741563,True
VisCent-VisPeri,0.02033618229573346,False
VisPeri-VisPeri,0.24059978337730814,True
