network_connection,fc,within_network
ContA-ContA,0.15730227721538706,True
ContA-ContB,0.14414857340388185,False
ContA-ContC,0.09001813950286619,False
ContA-DefaultA,0.1020950186410462,False
ContA-DefaultB,0.12378641746706069,False
ContA-DefaultC,0.10516041902899587,False
ContA-DorsAttnA,0.03229499747187492,False
ContA-DorsAttnB,0.05274861599328584,False
ContA-LimbicA,0.12416881019366706,False
ContA-LimbicB,0.07424740447125934,False
ContA-SalVentAttnA,0.021245820053724985,False
ContA-SalVentAttnB,0.07673859163343032,False
ContA-SomMotA,0.015993277370488973,False
ContA-SomMotB,0.0235509414043438,False
ContA-TempPar,0.07811317717378795,False
ContA-VisCent,0.0512319602127623,False
ContA-VisPeri,0.015272683024388967,False
ContB-ContB,0.20508188008821157,True
ContB-ContC,0.14393498539419444,False
ContB-DefaultA,0.1116548159500183,False
ContB-DefaultB,0.12854859112147973,False
ContB-DefaultC,0.13760572104345772,False
ContB-DorsAttnA,0.07940931319018327,False
ContB-DorsAttnB,0.0899585821547986,False
ContB-LimbicA,0.1015822482616668,False
ContB-LimbicB,0.07012989324036056,False
ContB-SalVentAttnA,0.026867599402814784,False
ContB-SalVentAttnB,0.07609574683302334,False
ContB-SomMotA,0.033786041551845156,False
ContB-SomMotB,0.03717202695333708,False
ContB-TempPar,0.14419770498200837,False
ContB-VisCent,0.07598971806784428,False
ContB-VisPeri,0.029805443105557577,False
ContC-ContC,0.23135737571509812,True
ContC-DefaultA,0.21034948389290042,False
ContC-DefaultB,0.1786674135071432,False
ContC-DefaultC,0.1273771329646862,False
ContC-DorsAttnA,0.015234869154875274,False
ContC-DorsAttnB,0.04602190865492297,False
ContC-LimbicA,0.13141669143113358,False
ContC-LimbicB,0.1352924035179795,False
ContC-SalVentAttnA,0.029957291085069296,False
ContC-SalVentAttnB,0.13955254072635265,False
ContC-SomMotA,0.015065700482259975,False
ContC-SomMotB,0.018300693932689748,False
ContC-TempPar,0.08500129764924423,False
ContC-VisCent,0.05425460607521249,False
ContC-VisPeri,0.0019488571408224056,False
