network_connection,fc,within_network
ContA-ContA,0.23474101442051035,True
ContA-ContB,0.13491336154793898,False
ContA-ContC,0.07597527487753702,False
ContA-DefaultA,0.08039402152990288,False
ContA-DefaultB,0.06006487653105516,False
ContA-DefaultC,0.0018079276242268238,False
ContA-DorsAttnA,-0.05178657855056173,False
ContA-DorsAttnB,0.014273783940804936,False
ContA-LimbicA,0.22392964946994723,False
ContA-LimbicB,0.09409812048214172,False
ContA-SalVentAttnA,0.00035122638282468255,False
ContA-SalVentAttnB,0.0781679980437094,False
ContA-SomMotA,-0.06720522950401382,False
ContA-SomMotB,-0.06270041227804099,False
ContA-TempPar,0.03378360524527441,False
ContA-VisCent,-0.05793902648126517,False
ContA-VisPeri,-0.08919701532900288,False
ContB-ContB,0.17409104768895253,True
ContB-ContC,0.10709971806982753,False
ContB-DefaultA,0.07271854694055255,False
ContB-DefaultB,0.026056547731212683,False
ContB-DefaultC,0.013108210237723631,False
ContB-DorsAttnA,0.027511116295177447,False
ContB-DorsAttnB,0.028106657694167654,False
ContB-LimbicA,0.1006814150687292,False
ContB-LimbicB,0.036262735382436385,False
ContB-SalVentAttnA,-0.015286350168969716,False
ContB-SalVentAttnB,-0.00037770585792519957,False
ContB-SomMotA,-0.05831399959801738,False
ContB-SomMotB,-0.028703550452597284,False
ContB-TempPar,0.1791426478828015,False
ContB-VisCent,-0.03640246341300767,False
ContB-VisPeri,-0.10488145076952808,False
ContC-ContC,0.22623678237144615,True
ContC-DefaultA,0.21477413392095523,False
ContC-DefaultB,0.1371198849443798,False
ContC-DefaultC,-0.05572630323092671,False
ContC-DorsAttnA,-0.09910750870436073,False
ContC-DorsAttnB,-0.05156322058796283,False
ContC-LimbicA,0.09085858666272154,False
ContC-LimbicB,0.10760824577239177,False
ContC-SalVentAttnA,-0.02814031512534258,False
ContC-SalVentAttnB,0.0286181310215312,False
ContC-SomMotA,-0.07521863844922352,False
ContC-SomMotB,-0.028957654114178097,False
ContC-TempPar,0.07881886749329937,False
ContC-VisCent,-0.02050491053283484,False
ContC-VisPeri,-0.11368688402378384,False
DefaultA-DefaultA,0.24567049112463027,True
DefaultA-DefaultB,0.1980395369947855,False
DefaultA-DefaultC,-0.0262916644907483,False
DefaultA-DorsAttnA,-0.12126973304274126,False
DefaultA-DorsAttnB,-0.07310841693691351,False
DefaultA-LimbicA,0.09389887047254554,False
DefaultA-LimbicB,0.1266234720121775,False
DefaultA-SalVentAttnA,-0.022056026119937892,False
DefaultA-SalVentAttnB,0.03419961324466881,False
DefaultA-SomMotA,-0.08602448007109753,False
DefaultA-SomMotB,-0.016954444002338975,False
DefaultA-TempPar,0.07750215328061727,False
DefaultA-VisCent,-0.028213481863072945,False
DefaultA-VisPeri,-0.12949529150864683,False
DefaultB-DefaultB,0.2819665985899598,True
DefaultB-DefaultC,0.15421806244667463,False
DefaultB-DorsAttnA,-0.21812699946467634,False
DefaultB-DorsAttnB,-0.12037996199284555,False
DefaultB-LimbicA,0.06377793125766434,False
DefaultB-LimbicB,0.12591270373578298,False
DefaultB-SalVentAttnA,-0.03782447985454203,False
DefaultB-SalVentAttnB,0.0128309876058534,False
DefaultB-SomMotA,-0.10427942262850401,False
DefaultB-SomMotB,-0.020908736304832694,False
DefaultB-TempPar,0.07196452362721492,False
DefaultB-VisCent,-0.027128456513806038,False
DefaultB-VisPeri,-0.13424483784702196,False
DefaultC-DefaultC,0.3049404728704573,True
DefaultC-DorsAttnA,-0.1317197696631499,False
DefaultC-DorsAttnB,-0.06429279464009864,False
DefaultC-LimbicA,-0.025362064904377934,False
DefaultC-LimbicB,0.017271017497011133,False
DefaultC-SalVentAttnA,-0.03724537032671048,False
DefaultC-SalVentAttnB,-0.03690675652614336,False
DefaultC-SomMotA,-0.08427278771068834,False
DefaultC-SomMotB,-0.03642100982154916,False
DefaultC-TempPar,0.19019004672622908,False
DefaultC-VisCent,-0.04628415792227054,False
DefaultC-VisPeri,-0.10308037691664514,False
DorsAttnA-DorsAttnA,0.3411150693055112,True
DorsAttnA-DorsAttnB,0.137453784104226,False
DorsAttnA-LimbicA,-0.0641370280353126,False
DorsAttnA-LimbicB,-0.09598734248750176,False
DorsAttnA-SalVentAttnA,0.05773527412619146,False
DorsAttnA-SalVentAttnB,-0.0066163645258005745,False
DorsAttnA-SomMotA,0.05858124911415811,False
DorsAttnA-SomMotB,0.06884520463025876,False
DorsAttnA-TempPar,-0.04503697063127376,False
DorsAttnA-VisCent,0.00804446377151345,False
DorsAttnA-VisPeri,0.04449252405113159,False
DorsAttnB-DorsAttnB,0.0864676141363574,True
DorsAttnB-LimbicA,0.004560257814802948,False
DorsAttnB-LimbicB,-0.02544872254975244,False
DorsAttnB-SalVentAttnA,0.03692152154927662,False
DorsAttnB-SalVentAttnB,0.03225114308828916,False
DorsAttnB-SomMotA,0.020003943668746506,False
DorsAttnB-SomMotB,0.0029276445823215786,False
DorsAttnB-TempPar,-0.039042618833579616,False
DorsAttnB-VisCent,0.002414391323249667,False
DorsAttnB-VisPeri,0.018809723999096157,False
LimbicA-LimbicA,0.20778703513764776,True
LimbicA-LimbicB,0.11140798090518052,False
LimbicA-SalVentAttnA,0.0018339362927933187,False
LimbicA-SalVentAttnB,0.09016621736207787,False
LimbicA-SomMotA,-0.06806800541532264,False
LimbicA-SomMotB,-0.05512772986353352,False
LimbicA-TempPar,-0.022726421666633793,False
LimbicA-VisCent,-0.06480431082537075,False
LimbicA-VisPeri,-0.09286037147425152,False
LimbicB-LimbicB,0.1519010348109966,True
LimbicB-SalVentAttnA,0.021027058574540822,False
LimbicB-SalVentAttnB,0.11283279025451591,False
LimbicB-SomMotA,-0.06706820210686744,False
LimbicB-SomMotB,-0.0022692619307463136,False
LimbicB-TempPar,-0.027167855051855042,False
LimbicB-VisCent,-0.008767018975860916,False
LimbicB-VisPeri,-0.09883087060313502,False
SalVentAttnA-SalVentAttnA,0.0406945046068136,True
SalVentAttnA-SalVentAttnB,0.05254387634847655,False
SalVentAttnA-SomMotA,0.004140108211387166,False
