network_connection,fc,within_network
ContA-ContA,0.30027712458926686,True
ContA-ContB,0.16434518557435995,False
ContA-ContC,0.05837340313070061,False
ContA-DefaultA,0.10621924138387202,False
ContA-DefaultB,0.16336015184526287,False
ContA-DefaultC,0.12022958028361955,False
ContA-DorsAttnA,-0.07398071753545525,False
ContA-DorsAttnB,0.011324189385771243,False
ContA-LimbicA,0.24131301305267674,False
ContA-LimbicB,0.1048626164919186,False
ContA-SalVentAttnA,0.01429353163627661,False
ContA-SalVentAttnB,0.1340574001692223,False
ContA-SomMotA,-0.09604959668054756,False
ContA-SomMotB,-0.09098479095410275,False
ContA-TempPar,-0.03280105951265394,False
ContA-VisCent,-0.03009301937529158,False
ContA-VisPeri,-0.10430373611867677,False
ContB-ContB,0.1410266904746631,True
ContB-ContC,0.054455682077350076,False
ContB-DefaultA,0.03483104691205066,False
ContB-DefaultB,0.09466289154986743,False
ContB-DefaultC,0.13992081667460668,False
ContB-DorsAttnA,-0.002499720806819062,False
ContB-DorsAttnB,0.04115909640057032,False
ContB-LimbicA,0.12746887402528903,False
ContB-LimbicB,0.025612510649403068,False
ContB-SalVentAttnA,0.0030180907247179204,False
ContB-SalVentAttnB,0.031835756305229834,False
ContB-SomMotA,-0.061818539559772456,False
ContB-SomMotB,-0.06350851963026119,False
ContB-TempPar,0.07730110008985784,False
ContB-VisCent,-0.018350032233772025,False
ContB-VisPeri,-0.07042308926009107,False
ContC-ContC,0.28528184539462936,True
ContC-DefaultA,0.23457778618247382,False
ContC-DefaultB,0.17750651756469768,False
ContC-DefaultC,0.045340025693026205,False
ContC-DorsAttnA,-0.06714473529161571,False
ContC-DorsAttnB,0.046047858281135744,False
ContC-LimbicA,0.09905287826407447,False
ContC-LimbicB,0.18056613538372834,False
ContC-SalVentAttnA,0.026519729344646983,False
ContC-SalVentAttnB,0.1204834091887011,False
ContC-SomMotA,0.01959064152706741,False
ContC-SomMotB,-0.011927008909167728,False
ContC-TempPar,0.019784009743431863,False
ContC-VisCent,0.05899831735997216,False
ContC-VisPeri,0.08438691892867736,False
DefaultA-DefaultA,0.25752426282811935,True
DefaultA-DefaultB,0.2230361049511327,False
DefaultA-DefaultC,0.06014215429936256,False
DefaultA-DorsAttnA,-0.0990610997233838,False
DefaultA-DorsAttnB,0.005781833065045694,False
DefaultA-LimbicA,0.11996074511580657,False
DefaultA-LimbicB,0.20523723144112274,False
DefaultA-SalVentAttnA,0.024946761924326072,False
DefaultA-SalVentAttnB,0.1493525931175492,False
DefaultA-SomMotA,-0.012561039522835023,False
DefaultA-SomMotB,-0.013545759641108147,False
DefaultA-TempPar,-0.027875345694389545,False
DefaultA-VisCent,0.05609221967259437,False
DefaultA-VisPeri,0.03138700058608888,False
