network_connection,fc,within_network
ContA-ContA,0.2675208737584417,True
ContA-ContB,0.17585792639779713,False
ContA-ContC,0.07254051269990652,False
ContA-DefaultA,0.07848979952204792,False
ContA-DefaultB,0.06827589379762448,False
ContA-DefaultC,0.012211501756914881,False
ContA-DorsAttnA,-0.016320006096078428,False
ContA-DorsAttnB,0.09625567690634745,False
ContA-LimbicA,0.22453114043606318,False
ContA-LimbicB,0.15929240981396986,False
ContA-SalVentAttnA,0.008226344933165706,False
ContA-SalVentAttnB,0.1784553285450625,False
ContA-SomMotA,-0.16079123316118385,False
ContA-SomMotB,-0.10061732752239991,False
ContA-TempPar,-0.021376868213679748,False
ContA-VisCent,-0.009720668806472049,False
ContA-VisPeri,-0.1583338675804657,False
ContB-ContB,0.1805747585782983,True
ContB-ContC,0.06487553131875039,False
ContB-DefaultA,0.04568991282223209,False
ContB-DefaultB,0.046538214601447386,False
ContB-DefaultC,0.04220769513451716,False
ContB-DorsAttnA,0.015636955309823748,False
ContB-DorsAttnB,0.10493065213338966,False
ContB-LimbicA,0.1474877540546765,False
ContB-LimbicB,0.11648721695834773,False
ContB-SalVentAttnA,-0.00487863525494913,False
ContB-SalVentAttnB,0.10198418327957526,False
ContB-SomMotA,-0.15198710013631384,False
ContB-SomMotB,-0.09090030398631055,False
ContB-TempPar,0.007968642442073653,False
ContB-VisCent,-0.01236754491350745,False
ContB-VisPeri,-0.16328253016590902,False
ContC-ContC,0.15261354417904505,True
ContC-DefaultA,0.11802448283314775,False
ContC-DefaultB,0.10515243999607204,False
ContC-DefaultC,0.056828562667064,False
ContC-DorsAttnA,-0.05664742563932982,False
ContC-DorsAttnB,0.013791210469430147,False
ContC-LimbicA,0.05810206093753512,False
ContC-LimbicB,0.061562063099688154,False
ContC-SalVentAttnA,-0.03249392161760554,False
ContC-SalVentAttnB,0.07036329715275,False
ContC-SomMotA,-0.06037361140628752,False
ContC-SomMotB,-0.06785268776101286,False
ContC-TempPar,0.02212992993916454,False
ContC-VisCent,-0.009661581394035482,False
ContC-VisPeri,-0.057140164316245474,False
DefaultA-DefaultA,0.1314023616701914,True
DefaultA-DefaultB,0.12226658283945152,False
DefaultA-DefaultC,0.023158636295183773,False
DefaultA-DorsAttnA,-0.0503303272499043,False
DefaultA-DorsAttnB,-0.00516502179490024,False
DefaultA-LimbicA,0.06292008692726751,False
DefaultA-LimbicB,0.0637912556690051,False
DefaultA-SalVentAttnA,-0.022251436524506747,False
DefaultA-SalVentAttnB,0.05759133320181342,False
DefaultA-SomMotA,-0.05752605628024657,False
DefaultA-SomMotB,-0.052688671470392044,False
DefaultA-TempPar,0.010429040851011139,False
DefaultA-VisCent,-0.021616529836066822,False
DefaultA-VisPeri,-0.06827185101144916,False
DefaultB-DefaultB,0.1592344453518366,True
DefaultB-DefaultC,0.15019501288922227,False
DefaultB-DorsAttnA,-0.08967297603145079,False
DefaultB-DorsAttnB,-0.028625914712904602,False
DefaultB-LimbicA,0.05179916368596796,False
DefaultB-LimbicB,0.07829256992297072,False
DefaultB-SalVentAttnA,-0.026151089934877164,False
DefaultB-SalVentAttnB,0.05185722785419856,False
DefaultB-SomMotA,-0.06963441701999414,False
DefaultB-SomMotB,-0.028367218468252336,False
DefaultB-TempPar,0.089594044962365,False
DefaultB-VisCent,-0.010821591858613354,False
DefaultB-VisPeri,-0.07525111119913004,False
DefaultC-DefaultC,0.3802819156689372,True
DefaultC-DorsAttnA,-0.12645307656358462,False
DefaultC-DorsAttnB,-0.04906810346650541,False
DefaultC-LimbicA,0.00244624262573106,False
DefaultC-LimbicB,0.08055771220001258,False
DefaultC-SalVentAttnA,-0.021696500499519676,False
DefaultC-SalVentAttnB,0.020794200606945697,False
