network_connection,fc,within_network
ContA-ContA,0.1745594863128439,True
ContA-ContB,0.10364465181413156,False
ContA-ContC,0.10584603176385814,False
ContA-DefaultA,0.1251952416729042,False
ContA-DefaultB,0.12593413300409523,False
ContA-DefaultC,0.059649657882974196,False
ContA-DorsAttnA,-0.002448882657149155,False
ContA-DorsAttnB,0.03904848949127475,False
ContA-LimbicA,0.1618535834838682,False
ContA-LimbicB,0.07131427306799756,False
ContA-SalVentAttnA,0.002399934747628666,False
ContA-SalVentAttnB,0.08196291488796942,False
ContA-SomMotA,0.012616087500985805,False
ContA-SomMotB,-0.03086883774999515,False
ContA-TempPar,0.010612618186617897,False
ContA-VisCent,0.04763077451516379,False
ContA-VisPeri,0.016699929397634573,False
ContB-ContB,0.13712059703310575,True
ContB-ContC,0.0864595655570723,False
ContB-DefaultA,0.07231502858665197,False
ContB-DefaultB,0.07578932111489912,False
ContB-DefaultC,0.11492178796984565,False
ContB-DorsAttnA,0.03177936473836736,False
ContB-DorsAttnB,0.04946012695084623,False
ContB-LimbicA,0.08141066626688725,False
ContB-LimbicB,0.03989762996483489,False
ContB-SalVentAttnA,-0.0017905657047529748,False
ContB-SalVentAttnB,0.036754267017167434,False
ContB-SomMotA,0.019709692997822312,False
ContB-SomMotB,-0.0044913128011788055,False
ContB-TempPar,0.12114543440803,False
ContB-VisCent,0.06722391948305607,False
ContB-VisPeri,0.019282510010291506,False
ContC-ContC,0.192160594806976,True
ContC-DefaultA,0.1888703835203353,False
ContC-DefaultB,0.1392050736451085,False
ContC-DefaultC,0.06233235006773496,False
ContC-DorsAttnA,-0.017255230429271934,False
ContC-DorsAttnB,0.04520382404009603,False
ContC-LimbicA,0.10479273170950183,False
ContC-LimbicB,0.10689374527304192,False
ContC-SalVentAttnA,0.019100495860842587,False
ContC-SalVentAttnB,0.13241008636813456,False
ContC-SomMotA,0.05569624972604186,False
ContC-SomMotB,0.00048538312005012906,False
ContC-TempPar,0.0018323760977410409,False
ContC-VisCent,0.09628744694078106,False
ContC-VisPeri,0.0772232645839995,False
DefaultA-DefaultA,0.21160982817238128,True
DefaultA-DefaultB,0.17685098700921753,False
DefaultA-DefaultC,0.06919149067039632,False
DefaultA-DorsAttnA,-0.030288046371816455,False
DefaultA-DorsAttnB,0.04112941395793434,False
DefaultA-LimbicA,0.12726588956840665,False
DefaultA-LimbicB,0.12507785427476822,False
DefaultA-SalVentAttnA,0.02572207557687485,False
DefaultA-SalVentAttnB,0.14265630572167193,False
DefaultA-SomMotA,0.05134837433883144,False
DefaultA-SomMotB,-0.004037576282720302,False
DefaultA-TempPar,-0.0230142300410815,False
DefaultA-VisCent,0.10181686670772686,False
DefaultA-VisPeri,0.07143326434963641,False
DefaultB-DefaultB,0.22830224634454951,True
DefaultB-DefaultC,0.20845894062456707,False
DefaultB-DorsAttnA,-0.021693661941954972,False
DefaultB-DorsAttnB,0.01362572496896967,False
DefaultB-LimbicA,0.11399677586213425,False
DefaultB-LimbicB,0.1085347428963968,False
DefaultB-SalVentAttnA,0.01973812098029312,False
DefaultB-SalVentAttnB,0.11113120317572471,False
DefaultB-SomMotA,-0.0020400506581315556,False
DefaultB-SomMotB,-0.010428416465987933,False
DefaultB-TempPar,0.03425741859600671,False
DefaultB-VisCent,0.057688660600660996,False
DefaultB-VisPeri,0.00015731158998774433,False
DefaultC-DefaultC,0.40066365967202794,True
DefaultC-DorsAttnA,0.006137558466238728,False
DefaultC-DorsAttnB,-0.019089385423909075,False
DefaultC-LimbicA,0.030015319344932383,False
DefaultC-LimbicB,0.07891498293939339,False
DefaultC-SalVentAttnA,0.011990518003928074,False
DefaultC-SalVentAttnB,0.043064164896046676,False
DefaultC-SomMotA,-0.06200988612918643,False
DefaultC-SomMotB,0.012833612131179352,False
DefaultC-TempPar,0.24715265589021693,False
DefaultC-VisCent,0.01641010694974648,False
DefaultC-VisPeri,-0.07642266831067887,False
DorsAttnA-DorsAttnA,0.1323838130573044,True
DorsAttnA-DorsAttnB,0.04674481209505112,False
DorsAttnA-LimbicA,0.005767694231058997,False
DorsAttnA-LimbicB,-0.00889435797224364,False
DorsAttnA-SalVentAttnA,0.029258952962653,False
DorsAttnA-SalVentAttnB,0.0012516632820301424,False
DorsAttnA-SomMotA,0.022602247168764425,False
DorsAttnA-SomMotB,0.04896527469177139,False
DorsAttnA-TempPar,0.01044348863384497,False
DorsAttnA-VisCent,0.010771018115577286,False
DorsAttnA-VisPeri,0.011113654613038206,False
DorsAttnB-DorsAttnB,0.07143019710423414,True
DorsAttnB-LimbicA,0.034550705964940066,False
DorsAttnB-LimbicB,0.025104267015786913,False
DorsAttnB-SalVentAttnA,0.02412013385913201,False
DorsAttnB-SalVentAttnB,0.043156202663289414,False
DorsAttnB-SomMotA,0.03988871242866428,False
DorsAttnB-SomMotB,0.007278792542696403,False
DorsAttnB-TempPar,-0.004366531473876649,False
DorsAttnB-VisCent,0.054733382419830244,False
DorsAttnB-VisPeri,0.052630497368053045,False
LimbicA-LimbicA,0.1609937345879427,True
LimbicA-LimbicB,0.09308462302672094,False
LimbicA-SalVentAttnA,0.017829303132920082,False
LimbicA-SalVentAttnB,0.10122654667057635,False
LimbicA-SomMotA,0.009499049248346809,False
LimbicA-SomMotB,-0.019318350433562437,False
LimbicA-TempPar,-0.03183281364155085,False
LimbicA-VisCent,0.04168285107064016,False
LimbicA-VisPeri,0.01195017648224685,False
LimbicB-LimbicB,0.14082216702186193,True
LimbicB-SalVentAttnA,0.05716736643465255,False
LimbicB-SalVentAttnB,0.1499103246085089,False
LimbicB-SomMotA,-0.026669054544723642,False
LimbicB-SomMotB,0.006874057286672285,False
LimbicB-TempPar,-0.008288838112995451,False
LimbicB-VisCent,0.03141386718698607,False
LimbicB-VisPeri,-0.007795927129685077,False
SalVentAttnA-SalVentAttnA,0.051215369065351984,True
