network_connection,fc,within_network
ContA-ContA,0.1570512150071955,True
ContA-ContB,0.12126801911570062,False
ContA-ContC,0.0871150692061016,False
ContA-DefaultA,0.1234776504247537,False
ContA-DefaultB,0.14421922573671733,False
ContA-DefaultC,0.12365881771319337,False
ContA-DorsAttnA,-0.11122759335954965,False
ContA-DorsAttnB,0.02155049282458793,False
ContA-LimbicA,0.16281012427375166,False
ContA-LimbicB,0.1551727322267767,False
ContA-SalVentAttnA,0.0008815482947584438,False
ContA-SalVentAttnB,0.15331260595876559,False
ContA-SomMotA,-0.12095898784515448,False
ContA-SomMotB,-0.10142780528067794,False
ContA-TempPar,0.08621334376983024,False
ContA-VisCent,-0.0038398786262934474,False
ContA-VisPeri,-0.11900488400560971,False
ContB-ContB,0.14972747276926987,True
ContB-ContC,0.08853475178547404,False
ContB-DefaultA,0.10031396426951882,False
ContB-DefaultB,0.14514800029907385,False
ContB-DefaultC,0.18456889300150375,False
ContB-DorsAttnA,-0.10608801583959523,False
ContB-DorsAttnB,0.02107701659702253,False
ContB-LimbicA,0.1282782254530789,False
ContB-LimbicB,0.11757485770421205,False
ContB-SalVentAttnA,-0.01855494905107496,False
ContB-SalVentAttnB,0.10557597565795429,False
ContB-SomMotA,-0.11916149375314758,False
ContB-SomMotB,-0.1118030021050694,False
ContB-TempPar,0.16361894152266473,False
ContB-VisCent,-0.012745033537769774,False
ContB-VisPeri,-0.13595737593086674,False
ContC-ContC,0.1785810658850068,True
ContC-DefaultA,0.1915376199564158,False
ContC-DefaultB,0.17497950726636144,False
ContC-DefaultC,0.057882467287159595,False
ContC-DorsAttnA,-0.1144812390738272,False
ContC-DorsAttnB,-0.026240900258869927,False
ContC-LimbicA,0.0920657536012976,False
ContC-LimbicB,0.08445009838649968,False
ContC-SalVentAttnA,-0.04330314744717693,False
ContC-SalVentAttnB,0.048573299920829066,False
ContC-SomMotA,-0.06136610014607713,False
ContC-SomMotB,-0.09810765678877584,False
ContC-TempPar,0.02558691294543813,False
ContC-VisCent,-0.018258441739649446,False
ContC-VisPeri,-0.08964547951087383,False
DefaultA-DefaultA,0.2425188898686669,True
DefaultA-DefaultB,0.23608115160474483,False
DefaultA-DefaultC,0.08279784355466481,False
DefaultA-DorsAttnA,-0.15620876642419002,False
DefaultA-DorsAttnB,-0.0363061419255968,False
DefaultA-LimbicA,0.11808721129990028,False
DefaultA-LimbicB,0.12790944889123226,False
DefaultA-SalVentAttnA,-0.04569792707964797,False
DefaultA-SalVentAttnB,0.08659553087496048,False
DefaultA-SomMotA,-0.07546123896951384,False
DefaultA-SomMotB,-0.12563741081334173,False
DefaultA-TempPar,0.032726629080986364,False
DefaultA-VisCent,-0.012305325602142774,False
DefaultA-VisPeri,-0.11244722489460558,False
DefaultB-DefaultB,0.28558312151939547,True
DefaultB-DefaultC,0.220589181822891,False
DefaultB-DorsAttnA,-0.20806098010079324,False
DefaultB-DorsAttnB,-0.04304725724702138,False
DefaultB-LimbicA,0.13755715537800287,False
DefaultB-LimbicB,0.16573854446342845,False
DefaultB-SalVentAttnA,-0.04187456103503774,False
DefaultB-SalVentAttnB,0.12966581545111425,False
DefaultB-SomMotA,-0.11947178092435244,False
DefaultB-SomMotB,-0.16078785353828282,False
DefaultB-TempPar,0.13943026279033752,False
DefaultB-VisCent,-0.02199962090983956,False
DefaultB-VisPeri,-0.1418629922960673,False
DefaultC-DefaultC,0.44246390265399466,True
DefaultC-DorsAttnA,-0.19495382756853075,False
DefaultC-DorsAttnB,0.0019220635052042355,False
DefaultC-LimbicA,0.12732168377334338,False
DefaultC-LimbicB,0.17218216276529333,False
DefaultC-SalVentAttnA,-0.00916225488593872,False
DefaultC-SalVentAttnB,0.17883202338170162,False
DefaultC-SomMotA,-0.1861385198126715,False
DefaultC-SomMotB,-0.18909200084176528,False
DefaultC-TempPar,0.39110546345085767,False
DefaultC-VisCent,-0.03907985963396435,False
DefaultC-VisPeri,-0.1495052445065305,False
DorsAttnA-DorsAttnA,0.33193443027713215,True
DorsAttnA-DorsAttnB,0.0961673556343192,False
DorsAttnA-LimbicA,-0.1040111370690381,False
DorsAttnA-LimbicB,-0.1377275746779828,False
DorsAttnA-SalVentAttnA,0.035065471385868234,False
DorsAttnA-SalVentAttnB,-0.10602569901803878,False
DorsAttnA-SomMotA,0.06403972378221273,False
DorsAttnA-SomMotB,0.14183314376720377,False
DorsAttnA-TempPar,-0.17055582622295645,False
DorsAttnA-VisCent,0.0015445389264355527,False
DorsAttnA-VisPeri,0.02767529611349674,False
DorsAttnB-DorsAttnB,0.10950900090591376,True
DorsAttnB-LimbicA,0.02842226751339829,False
DorsAttnB-LimbicB,0.03402793794094148,False
DorsAttnB-SalVentAttnA,0.033377454535347614,False
DorsAttnB-SalVentAttnB,0.0635865322588723,False
DorsAttnB-SomMotA,-0.04535284561766343,False
DorsAttnB-SomMotB,-0.030112309544609854,False
DorsAttnB-TempPar,0.002043924478174222,False
DorsAttnB-VisCent,0.0007568830330661017,False
DorsAttnB-VisPeri,-0.03788494407954506,False
LimbicA-LimbicA,0.174659814002533,True
LimbicA-LimbicB,0.17239250459034408,False
LimbicA-SalVentAttnA,0.012096631135612145,False
LimbicA-SalVentAttnB,0.17127253986035723,False
LimbicA-SomMotA,-0.1261314014016807,False
LimbicA-SomMotB,-0.1021407457097993,False
LimbicA-TempPar,0.09454311501023306,False
LimbicA-VisCent,0.00361727313082176,False
LimbicA-VisPeri,-0.1369673363308022,False
LimbicB-LimbicB,0.22718984886784774,True
LimbicB-SalVentAttnA,0.03173892023164325,False
LimbicB-SalVentAttnB,0.2318946745978013,False
LimbicB-SomMotA,-0.13740107789290115,False
LimbicB-SomMotB,-0.11178274403098203,False
LimbicB-TempPar,0.1063143696344529,False
LimbicB-VisCent,0.005319600415996948,False
LimbicB-VisPeri,-0.13441550433313348,False
SalVentAttnA-SalVentAttnA,0.039757965853990385,True
SalVentAttnA-SalVentAttnB,0.051463169517497666,False
SalVentAttnA-SomMotA,-0.01565347338596122,False
SalVentAttnA-SomMotB,0.01708653908759348,False
SalVentAttnA-TempPar,-0.013864896431497669,False
SalVentAttnA-VisCent,0.004957890266479951,False
SalVentAttnA-VisPeri,0.0063000588235068685,False
SalVentAttnB-SalVentAttnB,0.24621462225729893,True
SalVentAttnB-SomMotA,-0.1518398570402449,False
