network_connection,fc,within_network
ContA-ContA,0.3312882360161592,True
ContA-ContB,0.18425999769986987,False
ContA-ContC,0.10286595199660124,False
ContA-DefaultA,0.14041074520831118,False
ContA-DefaultB,0.15148919189506746,False
ContA-DefaultC,0.10098371693180648,False
ContA-DorsAttnA,0.023470908878902696,False
ContA-DorsAttnB,0.06006790244839669,False
ContA-LimbicA,0.3287519696131646,False
ContA-LimbicB,0.22486242126121336,False
ContA-SalVentAttnA,0.0491488989708737,False
ContA-SalVentAttnB,0.2104285183031047,False
ContA-SomMotA,-0.09488633930988626,False
ContA-SomMotB,-0.01664345620697965,False
ContA-TempPar,0.060918094312193055,False
ContA-VisCent,-0.017468228799643656,False
ContA-VisPeri,-0.10372565344597492,False
ContB-ContB,0.1763960197524071,True
ContB-ContC,0.059488298665159055,False
ContB-DefaultA,0.03160449706213128,False
ContB-DefaultB,0.05963348970782009,False
ContB-DefaultC,0.12704564652924139,False
ContB-DorsAttnA,0.03598281939770687,False
ContB-DorsAttnB,0.05686387614617421,False
ContB-LimbicA,0.15822713572113828,False
ContB-LimbicB,0.08696477930098372,False
ContB-SalVentAttnA,-0.011200673535902254,False
ContB-SalVentAttnB,0.05056647680161762,False
ContB-SomMotA,-0.055712098812192905,False
ContB-SomMotB,-0.033894493627123906,False
ContB-TempPar,0.16522467160165671,False
ContB-VisCent,0.017538126935277464,False
ContB-VisPeri,-0.09247039697681733,False
ContC-ContC,0.30609745452499854,True
ContC-DefaultA,0.2959455608111358,False
ContC-DefaultB,0.23385021928173735,False
ContC-DefaultC,0.06756865037992754,False
ContC-DorsAttnA,-0.0599926973688545,False
ContC-DorsAttnB,0.020975604270080595,False
ContC-LimbicA,0.13923564014569376,False
ContC-LimbicB,0.20556587505443383,False
ContC-SalVentAttnA,0.059882893598188935,False
ContC-SalVentAttnB,0.1840909307087854,False
ContC-SomMotA,0.01221176521969893,False
ContC-SomMotB,0.013625874716944405,False
ContC-TempPar,-0.03126593732952058,False
ContC-VisCent,0.029349754384485092,False
ContC-VisPeri,0.0707445715379967,False
DefaultA-DefaultA,0.33199188664851437,True
DefaultA-DefaultB,0.2804306072057669,False
DefaultA-DefaultC,0.0728961249203985,False
DefaultA-DorsAttnA,-0.06570553797347604,False
DefaultA-DorsAttnB,0.02981433505358642,False
