network_connection,fc,within_network
ContA-ContA,0.1254840130938536,True
ContA-ContB,0.08150919553375781,False
ContA-ContC,0.012092540657783287,False
ContA-DefaultA,0.008553037686316812,False
ContA-DefaultB,0.011140330083372502,False
ContA-DefaultC,0.019297600640036234,False
ContA-DorsAttnA,-0.027544762231863414,False
ContA-DorsAttnB,0.003657353485056198,False
ContA-LimbicA,0.13138213760247164,False
ContA-LimbicB,0.05975507435012926,False
ContA-SalVentAttnA,-0.006353240601099482,False
ContA-SalVentAttnB,0.06965765300871395,False
ContA-SomMotA,-0.055721143777807645,False
ContA-SomMotB,-0.03740365956873621,False
ContA-TempPar,0.007009345895393246,False
ContA-VisCent,-0.02116120182028866,False
ContA-VisPeri,-0.038599650820852066,False
ContB-ContB,0.11608675966223837,True
ContB-ContC,0.024106420577746156,False
ContB-DefaultA,0.007048141517643749,False
ContB-DefaultB,0.04713094480396639,False
ContB-DefaultC,0.12553211224909225,False
ContB-DorsAttnA,-0.027081063995359905,False
ContB-DorsAttnB,-0.0022264235255282892,False
ContB-LimbicA,0.06677236561464445,False
ContB-LimbicB,0.03288588208223574,False
ContB-SalVentAttnA,-0.019987373710537392,False
ContB-SalVentAttnB,0.026711044972012935,False
ContB-SomMotA,-0.08202632222848136,False
ContB-SomMotB,-0.05005602691230411,False
ContB-TempPar,0.11504589046464084,False
ContB-VisCent,-0.01751447638717868,False
ContB-VisPeri,-0.07761449734640358,False
ContC-ContC,0.09339166147967409,True
ContC-DefaultA,0.06524960960346149,False
ContC-DefaultB,0.06492972233706874,False
ContC-DefaultC,0.05698847702821718,False
ContC-DorsAttnA,-0.03297705851640992,False
ContC-DorsAttnB,0.009842934306292411,False
ContC-LimbicA,0.027368919916092204,False
ContC-LimbicB,0.05871424564405418,False
ContC-SalVentAttnA,0.0052923100869706535,False
ContC-SalVentAttnB,0.0641782615859149,False
ContC-SomMotA,-0.04966377019174514,False
ContC-SomMotB,-0.03032624893759871,False
ContC-TempPar,0.02567755449330804,False
ContC-VisCent,0.004341414403668693,False
ContC-VisPeri,-0.07331166526612874,False
DefaultA-DefaultA,0.0754707099290774,True
DefaultA-DefaultB,0.051345190217943544,False
DefaultA-DefaultC,0.003391124131013961,False
DefaultA-DorsAttnA,-0.03949381912266217,False
DefaultA-DorsAttnB,2.156776464235374e-05,False
DefaultA-LimbicA,0.01895786741785401,False
DefaultA-LimbicB,0.04431233270790794,False
DefaultA-SalVentAttnA,0.00305947674334698,False
DefaultA-SalVentAttnB,0.045863629871388645,False
DefaultA-SomMotA,-0.02420678702024835,False
DefaultA-SomMotB,-0.014019816688182373,False
DefaultA-TempPar,-0.026483267190420816,False
DefaultA-VisCent,0.016835821335491455,False
DefaultA-VisPeri,-0.054929086879280865,False
DefaultB-DefaultB,0.11030221958845345,True
DefaultB-DefaultC,0.18590847633372218,False
DefaultB-DorsAttnA,-0.05175070594422159,False
DefaultB-DorsAttnB,-0.0062872779975420515,False
DefaultB-LimbicA,0.014835391434424057,False
DefaultB-LimbicB,0.05626868895220197,False
DefaultB-SalVentAttnA,-0.003138159326846291,False
DefaultB-SalVentAttnB,0.04975309779650834,False
DefaultB-SomMotA,-0.08297272471423005,False
DefaultB-SomMotB,-0.043539776945756635,False
DefaultB-TempPar,0.12893091268473833,False
DefaultB-VisCent,-0.005997582949193755,False
DefaultB-VisPeri,-0.11964492804320434,False
DefaultC-DefaultC,0.46202659286457615,True
DefaultC-DorsAttnA,-0.07519732931695969,False
DefaultC-DorsAttnB,-0.006476461119488611,False
DefaultC-LimbicA,0.0027895917314463294,False
DefaultC-LimbicB,0.06490684453024066,False
DefaultC-SalVentAttnA,-0.016579217100886213,False
DefaultC-SalVentAttnB,0.05766506174124696,False
DefaultC-SomMotA,-0.18817185554992308,False
DefaultC-SomMotB,-0.10639775509319561,False
DefaultC-TempPar,0.4264273653553339,False
DefaultC-VisCent,-0.029971373301382238,False
DefaultC-VisPeri,-0.2109921657251118,False
DorsAttnA-DorsAttnA,0.18249300062714144,True
DorsAttnA-DorsAttnB,0.06811242663896505,False
DorsAttnA-LimbicA,-0.0007474832074275767,False
DorsAttnA-LimbicB,-0.02805746788330313,False
DorsAttnA-SalVentAttnA,0.04152203205576125,False
DorsAttnA-SalVentAttnB,-0.014860792044015402,False
DorsAttnA-SomMotA,-0.008368401582538598,False
DorsAttnA-SomMotB,0.04308857559205765,False
DorsAttnA-TempPar,-0.015662000437734917,False
DorsAttnA-VisCent,-0.023038577072740065,False
DorsAttnA-VisPeri,-0.05075909855760278,False
