network_connection,fc,within_network
ContA-ContA,0.2512035189896565,True
ContA-ContB,0.166824482862631,False
ContA-ContC,0.1183919918279121,False
ContA-DefaultA,0.11286095393884564,False
ContA-DefaultB,0.10332862813824904,False
ContA-DefaultC,0.015412811928536026,False
ContA-DorsAttnA,0.002665555692896506,False
ContA-DorsAttnB,0.06302677988252035,False
ContA-LimbicA,0.20731197574403956,False
ContA-LimbicB,0.07313868907004167,False
ContA-SalVentAttnA,0.008378592317103148,False
ContA-SalVentAttnB,0.12040843124201195,False
ContA-SomMotA,-0.0472978115790917,False
ContA-SomMotB,-0.0372972900878098,False
ContA-TempPar,0.04030604703464224,False
ContA-VisCent,0.01786475585204836,False
ContA-VisPeri,-0.020869602430450464,False
ContB-ContB,0.2615964967503043,True
ContB-ContC,0.10136498939355594,False
ContB-DefaultA,0.051089229938972934,False
ContB-DefaultB,0.08936828994565006,False
ContB-DefaultC,0.09820865473147522,False
ContB-DorsAttnA,0.03045330840316293,False
ContB-DorsAttnB,0.13129595788404946,False
ContB-LimbicA,0.12063006506533477,False
ContB-LimbicB,-0.0026468387048547443,False
ContB-SalVentAttnA,-0.02469382922356326,False
ContB-SalVentAttnB,0.0044510671796689,False
ContB-SomMotA,-0.013799265606492837,False
ContB-SomMotB,-0.053381253560603054,False
ContB-TempPar,0.1402574789952666,False
ContB-VisCent,0.08364111941880363,False
ContB-VisPeri,0.0137330171007776,False
ContC-ContC,0.1429710634327561,True
ContC-DefaultA,0.13083979516926578,False
ContC-DefaultB,0.09824010339673185,False
ContC-DefaultC,0.006199601502192025,False
ContC-DorsAttnA,-0.025560352564288437,False
ContC-DorsAttnB,0.03535293779384039,False
ContC-LimbicA,0.1162712595869916,False
ContC-LimbicB,0.08855278372428375,False
ContC-SalVentAttnA,0.01771543422914403,False
ContC-SalVentAttnB,0.10686195418475287,False
ContC-SomMotA,-0.005322106492392561,False
ContC-SomMotB,-0.019363252217968686,False
ContC-TempPar,0.023284028806890154,False
ContC-VisCent,0.024923662841472374,False
ContC-VisPeri,-0.004204853637728766,False
DefaultA-DefaultA,0.14789774281949544,True
DefaultA-DefaultB,0.11323505393749252,False
DefaultA-DefaultC,0.006280384163933466,False
DefaultA-DorsAttnA,-0.03481285795114408,False
DefaultA-DorsAttnB,0.01872802001747545,False
DefaultA-LimbicA,0.10299777419985574,False
DefaultA-LimbicB,0.10381902283496668,False
DefaultA-SalVentAttnA,0.027248240504455366,False
DefaultA-SalVentAttnB,0.11533552599830527,False
DefaultA-SomMotA,-0.0045056187795681,False
DefaultA-SomMotB,-0.005259507451612889,False
DefaultA-TempPar,-0.004157863470592587,False
DefaultA-VisCent,0.03454360764363474,False
DefaultA-VisPeri,-0.003755435723739543,False
DefaultB-DefaultB,0.18057413781923096,True
DefaultB-DefaultC,0.146518837580288,False
DefaultB-DorsAttnA,-0.04571696552131499,False
DefaultB-DorsAttnB,-0.0004281742131152367,False
