network_connection,fc,within_network
ContA-ContA,0.23942141189279753,True
ContA-ContB,0.13754609206682641,False
ContA-ContC,0.060715176811868714,False
ContA-DefaultA,0.061544891459526484,False
ContA-DefaultB,0.059574299972106476,False
ContA-DefaultC,0.0186849235297497,False
ContA-DorsAttnA,0.05055711103794879,False
ContA-DorsAttnB,0.10214575339231884,False
ContA-LimbicA,0.24483311307255826,False
ContA-LimbicB,0.19715221523691667,False
ContA-SalVentAttnA,0.03510309989066876,False
ContA-SalVentAttnB,0.1831980647121368,False
ContA-SomMotA,-0.1295134880710206,False
ContA-SomMotB,-0.05663649093618862,False
ContA-TempPar,-0.05082964335017756,False
ContA-VisCent,0.002580436019694747,False
ContA-VisPeri,-0.13000893046585424,False
ContB-ContB,0.19219329130284887,True
ContB-ContC,0.0585832231144507,False
ContB-DefaultA,0.022869344844425113,False
ContB-DefaultB,0.07533744692187103,False
ContB-DefaultC,0.15285862283600918,False
ContB-DorsAttnA,0.04953615746861903,False
ContB-DorsAttnB,0.0846893701653617,False
ContB-LimbicA,0.10117832610710799,False
ContB-LimbicB,0.06098544166502806,False
ContB-SalVentAttnA,-0.03138625719082569,False
ContB-SalVentAttnB,0.02992020434039207,False
ContB-SomMotA,-0.1134520316892,False
ContB-SomMotB,-0.06014443238773397,False
ContB-TempPar,0.10276013413767673,False
ContB-VisCent,0.015397312927438653,False
ContB-VisPeri,-0.12777364857859141,False
ContC-ContC,0.12656732729071077,True
ContC-DefaultA,0.09164810735615343,False
ContC-DefaultB,0.022548233632292154,False
ContC-DefaultC,-0.02888235089985663,False
ContC-DorsAttnA,0.0032498004987076,False
ContC-DorsAttnB,0.052603951383261884,False
ContC-LimbicA,0.08784504908551298,False
ContC-LimbicB,0.08738084667012744,False
ContC-SalVentAttnA,0.01657751726744245,False
ContC-SalVentAttnB,0.0869582983965977,False
ContC-SomMotA,-0.030365383682554748,False
ContC-SomMotB,-0.029253995263567215,False
ContC-TempPar,-0.02609552195895511,False
ContC-VisCent,0.011510516835769195,False
ContC-VisPeri,-0.05008687213933972,False
DefaultA-DefaultA,0.10086690418937212,True
DefaultA-DefaultB,0.03967986482439668,False
DefaultA-DefaultC,-0.030990354832147238,False
DefaultA-DorsAttnA,-0.006947504083021438,False
DefaultA-DorsAttnB,0.03861272023303979,False
DefaultA-LimbicA,0.0746425312489423,False
DefaultA-LimbicB,0.10665577277867423,False
DefaultA-SalVentAttnA,0.036569359229091304,False
DefaultA-SalVentAttnB,0.11220924760049324,False
DefaultA-SomMotA,-0.03050930406084352,False
DefaultA-SomMotB,-0.02428254793560287,False
DefaultA-TempPar,-0.03473357192522734,False
DefaultA-VisCent,0.01306041401205694,False
DefaultA-VisPeri,-0.04492234449753839,False
DefaultB-DefaultB,0.11231691719106102,True
DefaultB-DefaultC,0.16702966042780285,False
DefaultB-DorsAttnA,-0.030024844453557128,False
DefaultB-DorsAttnB,0.017391201405063637,False
DefaultB-LimbicA,0.02034701365144089,False
DefaultB-LimbicB,0.04526547638081612,False
DefaultB-SalVentAttnA,-0.009177852235379452,False
DefaultB-SalVentAttnB,0.052150344802906735,False
DefaultB-SomMotA,-0.06675082950560457,False
DefaultB-SomMotB,-0.044761888971954406,False
DefaultB-TempPar,0.07833752018410342,False
DefaultB-VisCent,0.009668259877121077,False
DefaultB-VisPeri,-0.06949562390973277,False
DefaultC-DefaultC,0.44767980671026547,True
DefaultC-DorsAttnA,-0.09408243734483941,False
DefaultC-DorsAttnB,0.008043267890304446,False
DefaultC-LimbicA,-0.07201998384333787,False
DefaultC-LimbicB,-0.025984674011710972,False
DefaultC-SalVentAttnA,-0.07318351177102085,False
DefaultC-SalVentAttnB,-0.035621959216516216,False
DefaultC-SomMotA,-0.11901026304413244,False
DefaultC-SomMotB,-0.08000311798225569,False
DefaultC-TempPar,0.35324913870735686,False
DefaultC-VisCent,0.022154500899396294,False
DefaultC-VisPeri,-0.1046148351410218,False
DorsAttnA-DorsAttnA,0.23663573184670092,True
DorsAttnA-DorsAttnB,0.08738426717571457,False
DorsAttnA-LimbicA,0.06618645828316078,False
DorsAttnA-LimbicB,-0.005096835160517452,False
DorsAttnA-SalVentAttnA,0.0198935212170141,False
DorsAttnA-SalVentAttnB,-0.030561828480551202,False
DorsAttnA-SomMotA,-0.016694516906597196,False
DorsAttnA-SomMotB,0.007622566581430779,False
DorsAttnA-TempPar,-0.08885612684107372,False
DorsAttnA-VisCent,-0.021178033743322375,False
DorsAttnA-VisPeri,-0.06567405017177902,False
DorsAttnB-DorsAttnB,0.12132018320848877,True
DorsAttnB-LimbicA,0.11356464794480799,False
DorsAttnB-LimbicB,0.10996563288820323,False
DorsAttnB-SalVentAttnA,0.02426552948732547,False
DorsAttnB-SalVentAttnB,0.10091004355744583,False
DorsAttnB-SomMotA,-0.0796471036229552,False
DorsAttnB-SomMotB,-0.05535635777421099,False
DorsAttnB-TempPar,-0.01178953958985905,False
DorsAttnB-VisCent,0.0032737570376039048,False
DorsAttnB-VisPeri,-0.09133154612766321,False
LimbicA-LimbicA,0.2775465700957112,True
LimbicA-LimbicB,0.21882993192548342,False
LimbicA-SalVentAttnA,0.06259854604960627,False
LimbicA-SalVentAttnB,0.2054677367467066,False
LimbicA-SomMotA,-0.10521748449856821,False
LimbicA-SomMotB,-0.04794404805361532,False
LimbicA-TempPar,-0.1235637846279501,False
LimbicA-VisCent,-0.010364424313070445,False
LimbicA-VisPeri,-0.11698903552769603,False
LimbicB-LimbicB,0.27917312035705116,True
LimbicB-SalVentAttnA,0.09746927078443372,False
LimbicB-SalVentAttnB,0.2833115041409367,False
LimbicB-SomMotA,-0.11625987266839395,False
LimbicB-SomMotB,-0.04769310496857317,False
LimbicB-TempPar,-0.07979770658126904,False
LimbicB-VisCent,0.01672051497701304,False
LimbicB-VisPeri,-0.11912509413052298,False
SalVentAttnA-SalVentAttnA,0.0898166301248094,True
SalVentAttnA-SalVentAttnB,0.11030127346828457,False
SalVentAttnA-SomMotA,-0.0019861893037940543,False
SalVentAttnA-SomMotB,0.030713059063660404,False
SalVentAttnA-TempPar,-0.08626406615693756,False
SalVentAttnA-VisCent,0.0036222662953088827,False
SalVentAttnA-VisPeri,0.0069326843784823155,False
SalVentAttnB-SalVentAttnB,0.31762416929344234,True
SalVentAttnB-SomMotA,-0.11700506182042371,False
SalVentAttnB-SomMotB,-0.07127720568561305,False
SalVentAttnB-TempPar,-0.0800701459837522,False
SalVentAttnB-VisCent,0.001743796693831004,False
SalVentAttnB-VisPeri,-0.08578366024217789,False
SomMotA-SomMotA,0.16183913203654057,True
SomMotA-SomMotB,0.10841251148823788,False
SomMotA-TempPar,-0.08674968409872502,False
SomMotA-VisCent,0.026279811484487894,False
SomMotA-VisPeri,0.17253868690927435,False
SomMotB-SomMotB,0.160002644275515,True
SomMotB-TempPar,-0.09540146734018679,False
SomMotB-VisCent,0.04526232764178889,False
SomMotB-VisPeri,0.07796568427076374,False
TempPar-TempPar,0.4306283833213133,True
TempPar-VisCent,-0.00514618388997599,False
TempPar-VisPeri,-0.07498600584425795,False
VisCent-VisCent,0.03853848846335314,True
VisCent-VisPeri,0.014668605676136181,False
VisPeri-VisPeri,0.24157581022822622,True
