network_connection,fc,within_network
ContA-ContA,0.19715618199092289,True
ContA-ContB,0.13433963508304878,False
ContA-ContC,0.11413784380771223,False
ContA-DefaultA,0.13851116197342542,False
ContA-DefaultB,0.13970839109430166,False
ContA-DefaultC,0.07844585291703805,False
ContA-DorsAttnA,0.016376390187601984,False
ContA-DorsAttnB,0.0736059386429433,False
ContA-LimbicA,0.19685738072360104,False
ContA-LimbicB,0.15409047786776556,False
ContA-SalVentAttnA,0.04252629846570149,False
ContA-SalVentAttnB,0.1693398629306592,False
ContA-SomMotA,-0.03414524372369975,False
ContA-SomMotB,-0.009062007530164989,False
ContA-TempPar,0.08539535192521754,False
ContA-VisCent,0.04552375528694638,False
ContA-VisPeri,-0.028290463390197088,False
ContB-ContB,0.23361829733885506,True
ContB-ContC,0.13116795979651566,False
ContB-DefaultA,0.11783753221032159,False
ContB-DefaultB,0.16654493445025093,False
ContB-DefaultC,0.172729618414948,False
ContB-DorsAttnA,0.05997308215221412,False
ContB-DorsAttnB,0.09426524065113698,False
ContB-LimbicA,0.12425239841895946,False
ContB-LimbicB,0.07871747466195214,False
ContB-SalVentAttnA,0.015714551227216062,False
ContB-SalVentAttnB,0.06738892494781262,False
ContB-SomMotA,-0.03849354105830069,False
ContB-SomMotB,-0.0032113973143853445,False
ContB-TempPar,0.25071773718181545,False
ContB-VisCent,0.061123017931811616,False
ContB-VisPeri,-0.02445318527128984,False
ContC-ContC,0.27751111384594157,True
ContC-DefaultA,0.2311566862955403,False
ContC-DefaultB,0.17957668510539415,False
ContC-DefaultC,0.014809134570495045,False
ContC-DorsAttnA,0.029368129306179616,False
ContC-DorsAttnB,0.10759568113715498,False
ContC-LimbicA,0.16132787888490355,False
ContC-LimbicB,0.16895762212165982,False
ContC-SalVentAttnA,0.06522347215375819,False
ContC-SalVentAttnB,0.18515528734259246,False
ContC-SomMotA,0.0251109367609763,False
ContC-SomMotB,-0.006119046197074494,False
ContC-TempPar,0.03988527309901067,False
ContC-VisCent,0.09994746652625135,False
ContC-VisPeri,0.09040375111678575,False
DefaultA-DefaultA,0.22434342725962955,True
DefaultA-DefaultB,0.19526054888802236,False
DefaultA-DefaultC,0.045620277209939976,False
DefaultA-DorsAttnA,0.0038021949177599024,False
DefaultA-DorsAttnB,0.08684478340128965,False
DefaultA-LimbicA,0.16929361505812826,False
DefaultA-LimbicB,0.1846160510317967,False
DefaultA-SalVentAttnA,0.0585874727840826,False
DefaultA-SalVentAttnB,0.19048819720113794,False
DefaultA-SomMotA,0.0031930430539096194,False
DefaultA-SomMotB,-0.010026572701781986,False
DefaultA-TempPar,0.06043106101634555,False
DefaultA-VisCent,0.0874873049213513,False
DefaultA-VisPeri,0.05079445726081597,False
DefaultB-DefaultB,0.24829675809492388,True
DefaultB-DefaultC,0.1983664646974309,False
DefaultB-DorsAttnA,-0.01978925643566758,False
DefaultB-DorsAttnB,0.05529008882161507,False
DefaultB-LimbicA,0.1398804337722054,False
DefaultB-LimbicB,0.16369172280757496,False
DefaultB-SalVentAttnA,0.025781036203553574,False
DefaultB-SalVentAttnB,0.14761787507774823,False
DefaultB-SomMotA,-0.03503389407848125,False
DefaultB-SomMotB,-0.02674153344797922,False
DefaultB-TempPar,0.20161307325464778,False
DefaultB-VisCent,0.0661076580715693,False
DefaultB-VisPeri,0.006212810160070227,False
DefaultC-DefaultC,0.3443797558877269,True
DefaultC-DorsAttnA,-0.04344740882676356,False
DefaultC-DorsAttnB,-0.008746878186917563,False
DefaultC-LimbicA,0.0298572122245627,False
DefaultC-LimbicB,0.06764937598434369,False
DefaultC-SalVentAttnA,-0.02490886135389235,False
DefaultC-SalVentAttnB,0.01808061581764611,False
DefaultC-SomMotA,-0.07710592815635006,False
DefaultC-SomMotB,-0.026629866853096627,False
DefaultC-TempPar,0.35898706296591487,False
DefaultC-VisCent,0.01180146767909539,False
DefaultC-VisPeri,-0.08459080257481967,False
DorsAttnA-DorsAttnA,0.2486373075045962,True
DorsAttnA-DorsAttnB,0.11448224654480123,False
DorsAttnA-LimbicA,0.04988977842110059,False
DorsAttnA-LimbicB,-0.04185095619905851,False
DorsAttnA-SalVentAttnA,0.03155306153013175,False
DorsAttnA-SalVentAttnB,-0.023685865991153625,False
DorsAttnA-SomMotA,0.04862342070357789,False
DorsAttnA-SomMotB,0.06721582201182662,False
DorsAttnA-TempPar,-0.03155010564429057,False
DorsAttnA-VisCent,0.030196755384353083,False
DorsAttnA-VisPeri,0.0057550079933145855,False
DorsAttnB-DorsAttnB,0.13239506279452168,True
DorsAttnB-LimbicA,0.1099056831224946,False
DorsAttnB-LimbicB,0.07580763583609006,False
DorsAttnB-SalVentAttnA,0.05642557879770867,False
DorsAttnB-SalVentAttnB,0.09151209282536177,False
DorsAttnB-SomMotA,0.023409590194227288,False
DorsAttnB-SomMotB,0.009216421204737943,False
DorsAttnB-TempPar,0.007204810446414194,False
DorsAttnB-VisCent,0.06494443930637911,False
DorsAttnB-VisPeri,0.04846581315124055,False
LimbicA-LimbicA,0.22987084467948535,True
LimbicA-LimbicB,0.1737834723085567,False
LimbicA-SalVentAttnA,0.06262470641273565,False
LimbicA-SalVentAttnB,0.20493465339121128,False
LimbicA-SomMotA,-0.023369281908401388,False
LimbicA-SomMotB,-0.009320012408532035,False
LimbicA-TempPar,0.0250931956055822,False
LimbicA-VisCent,0.052395770111916866,False
LimbicA-VisPeri,-0.014432723430507095,False
LimbicB-LimbicB,0.24347554661320917,True
LimbicB-SalVentAttnA,0.0798347652665414,False
LimbicB-SalVentAttnB,0.25866783040785696,False
LimbicB-SomMotA,-0.024571726983302487,False
LimbicB-SomMotB,-0.02397247135958027,False
LimbicB-TempPar,0.053530122314817595,False
LimbicB-VisCent,0.07161808272832292,False
LimbicB-VisPeri,0.018435041533230157,False
SalVentAttnA-SalVentAttnA,0.0632973405708446,True
SalVentAttnA-SalVentAttnB,0.09667474101026546,False
SalVentAttnA-SomMotA,0.029095506508040304,False
SalVentAttnA-SomMotB,0.03401820273532088,False
SalVentAttnA-TempPar,-0.032795977424137486,False
SalVentAttnA-VisCent,0.03842889433825174,False
SalVentAttnA-VisPeri,0.04801473032129862,False
SalVentAttnB-SalVentAttnB,0.2851738890994571,True
SalVentAttnB-SomMotA,-0.020755916444090538,False
SalVentAttnB-SomMotB,-0.02144754202957091,False
SalVentAttnB-TempPar,-0.002872423792835516,False
SalVentAttnB-VisCent,0.06669323801260969,False
SalVentAttnB-VisPeri,0.029864175145243848,False
SomMotA-SomMotA,0.10891739049492541,True
SomMotA-SomMotB,0.07203292868136434,False
SomMotA-TempPar,-0.07475790734179948,False
SomMotA-VisCent,0.06413839181031529,False
SomMotA-VisPeri,0.155991685200351,False
SomMotB-SomMotB,0.09774957436818903,True
SomMotB-TempPar,-0.03578305739250763,False
SomMotB-VisCent,0.04159719780860509,False
SomMotB-VisPeri,0.062442712884628895,False
TempPar-TempPar,0.5112616773813171,True
TempPar-VisCent,0.023682724018516736,False
TempPar-VisPeri,-0.08141458155943349,False
VisCent-VisCent,0.09481473400043312,True
VisCent-VisPeri,0.12495052124198423,False
VisPeri-VisPeri,0.3270407239864273,True
