network_connection,fc,within_network
ContA-ContA,0.30234711727339525,True
ContA-ContB,0.23254059081841458,False
ContA-ContC,0.16874408553802347,False
ContA-DefaultA,0.14750898342965033,False
ContA-DefaultB,0.1720232206316662,False
ContA-DefaultC,0.20266520368919802,False
ContA-DorsAttnA,-0.07110294024325174,False
ContA-DorsAttnB,0.09120522520873783,False
ContA-LimbicA,0.2872774951942334,False
ContA-LimbicB,0.22803720779953768,False
ContA-SalVentAttnA,0.00807269474934019,False
ContA-SalVentAttnB,0.22631871966915248,False
ContA-SomMotA,-0.21042666235924007,False
ContA-SomMotB,-0.14599094242094426,False
ContA-TempPar,0.07080993385605196,False
ContA-VisCent,-0.022596532608125892,False
ContA-VisPeri,-0.1899627388818269,False
ContB-ContB,0.24710422091106518,True
ContB-ContC,0.11741983675909182,False
ContB-DefaultA,0.09548283600482813,False
ContB-DefaultB,0.1456468227370145,False
ContB-DefaultC,0.23912649090373944,False
ContB-DorsAttnA,-0.04420288711940605,False
ContB-DorsAttnB,0.0838945327116854,False
ContB-LimbicA,0.2036978991835436,False
ContB-LimbicB,0.12726672717817164,False
ContB-SalVentAttnA,-0.043144403828441445,False
ContB-SalVentAttnB,0.10305225637797948,False
ContB-SomMotA,-0.19599958137096926,False
ContB-SomMotB,-0.1169191124638558,False
ContB-TempPar,0.1636869982665461,False
ContB-VisCent,-0.01893429063859523,False
ContB-VisPeri,-0.19000467512287184,False
ContC-ContC,0.25212518668024875,True
ContC-DefaultA,0.24705392289550676,False
ContC-DefaultB,0.1802418566893802,False
ContC-DefaultC,0.061004934312304165,False
ContC-DorsAttnA,-0.0863883816440454,False
ContC-DorsAttnB,0.038527650779731734,False
ContC-LimbicA,0.16375569062742015,False
ContC-LimbicB,0.1604107691721104,False
ContC-SalVentAttnA,-0.012854588943858328,False
ContC-SalVentAttnB,0.1482927063511781,False
ContC-SomMotA,-0.06071200855401656,False
ContC-SomMotB,-0.08192914973902117,False
ContC-TempPar,-0.04172022776161017,False
ContC-VisCent,0.019956179179720524,False
ContC-VisPeri,-0.05578012979796743,False
