network_connection,fc,within_network
ContA-ContA,0.30054373018413627,True
ContA-ContB,0.1838543685896077,False
ContA-ContC,0.20710358493113726,False
ContA-DefaultA,0.21440004477503594,False
ContA-DefaultB,0.1670794538942831,False
ContA-DefaultC,-0.0332262534096911,False
ContA-DorsAttnA,-0.07698113196027223,False
ContA-DorsAttnB,0.07359259591425117,False
ContA-LimbicA,0.3310853447137458,False
ContA-LimbicB,0.21228564217092863,False
ContA-SalVentAttnA,-0.023684799436892036,False
ContA-SalVentAttnB,0.19379767762451086,False
ContA-SomMotA,-0.059780562846034904,False
ContA-SomMotB,-0.11135515319731694,False
ContA-TempPar,-0.10063559219075624,False
ContA-VisCent,0.08540275616011478,False
ContA-VisPeri,-0.05577240524791312,False
ContB-ContB,0.20149736612959782,True
ContB-ContC,0.14309284584060758,False
ContB-DefaultA,0.12523181526358512,False
ContB-DefaultB,0.13407183328981578,False
ContB-DefaultC,0.046923396869268164,False
ContB-DorsAttnA,-0.06326369769976029,False
ContB-DorsAttnB,0.04972262392543792,False
ContB-LimbicA,0.19308818550742166,False
ContB-LimbicB,0.08113681586968,False
ContB-SalVentAttnA,-0.052010622586687094,False
ContB-SalVentAttnB,0.0524437358208824,False
ContB-SomMotA,-0.05639041716185931,False
ContB-SomMotB,-0.1000672752449874,False
ContB-TempPar,0.03373478512015716,False
ContB-VisCent,0.08028608453720412,False
ContB-VisPeri,-0.052657507758890526,False
ContC-ContC,0.37358619978663715,True
ContC-DefaultA,0.3772064709341318,False
ContC-DefaultB,0.22619568060484282,False
ContC-DefaultC,-0.10568119687386499,False
ContC-DorsAttnA,-0.09397895190483334,False
ContC-DorsAttnB,0.09321185410984949,False
ContC-LimbicA,0.2704956369317634,False
ContC-LimbicB,0.25466845649569897,False
ContC-SalVentAttnA,-0.0049675519463648595,False
ContC-SalVentAttnB,0.23103706690660014,False
ContC-SomMotA,0.015244096949610604,False
ContC-SomMotB,-0.12094322783411769,False
ContC-TempPar,-0.15358309771546497,False
ContC-VisCent,0.14546284113438043,False
ContC-VisPeri,0.032981858728856076,False
DefaultA-DefaultA,0.4181695242639715,True
DefaultA-DefaultB,0.26247007114333426,False
DefaultA-DefaultC,-0.13100515976398258,False
DefaultA-DorsAttnA,-0.10532924950808399,False
DefaultA-DorsAttnB,0.09215592423300308,False
DefaultA-LimbicA,0.27154004184041003,False
DefaultA-LimbicB,0.2526803411165968,False
DefaultA-SalVentAttnA,-0.012675815112664801,False
DefaultA-SalVentAttnB,0.22776798300502168,False
DefaultA-SomMotA,0.02747617191348764,False
DefaultA-SomMotB,-0.13105542564574285,False
DefaultA-TempPar,-0.16765476896985343,False
DefaultA-VisCent,0.16709851627003336,False
DefaultA-VisPeri,0.0460933584712429,False
DefaultB-DefaultB,0.24106457097113607,True
DefaultB-DefaultC,0.059479378885429014,False
DefaultB-DorsAttnA,-0.11445660403766197,False
DefaultB-DorsAttnB,0.029763082888746014,False
DefaultB-LimbicA,0.18989796576125798,False
DefaultB-LimbicB,0.15844025758715222,False
DefaultB-SalVentAttnA,-0.033574041273991106,False
DefaultB-SalVentAttnB,0.12498463047435857,False
DefaultB-SomMotA,-0.022937966631003778,False
DefaultB-SomMotB,-0.10761177622639126,False
DefaultB-TempPar,-0.04643572914598712,False
DefaultB-VisCent,0.10528445299807937,False
DefaultB-VisPeri,-0.010624308098374153,False
DefaultC-DefaultC,0.321454667493995,True
DefaultC-DorsAttnA,-0.09245957807233796,False
DefaultC-DorsAttnB,-0.09152917611261958,False
DefaultC-LimbicA,-0.06457229328384957,False
DefaultC-LimbicB,-0.04783779413410925,False
DefaultC-SalVentAttnA,-0.03476340487317482,False
DefaultC-SalVentAttnB,-0.07495298748922087,False
DefaultC-SomMotA,-0.11851680796287796,False
DefaultC-SomMotB,-0.025952808759381638,False
DefaultC-TempPar,0.25500229435542654,False
DefaultC-VisCent,-0.09058582356933297,False
DefaultC-VisPeri,-0.1391971513180633,False
DorsAttnA-DorsAttnA,0.2605383654669326,True
DorsAttnA-DorsAttnB,0.07351445386424685,False
DorsAttnA-LimbicA,-0.0750936832146891,False
DorsAttnA-LimbicB,-0.0778973728508153,False
DorsAttnA-SalVentAttnA,0.07228191981818044,False
DorsAttnA-SalVentAttnB,-0.0344619399782217,False
DorsAttnA-SomMotA,-0.007981433945940735,False
DorsAttnA-SomMotB,0.04756504617879587,False
DorsAttnA-TempPar,-0.07772771366153454,False
DorsAttnA-VisCent,-0.04131858425430612,False
DorsAttnA-VisPeri,0.0037050302412795937,False
DorsAttnB-DorsAttnB,0.11417700393161546,True
DorsAttnB-LimbicA,0.10491720634950846,False
DorsAttnB-LimbicB,0.07857208085598846,False
DorsAttnB-SalVentAttnA,0.03634913662200137,False
DorsAttnB-SalVentAttnB,0.09385185690955437,False
DorsAttnB-SomMotA,0.007064351735855155,False
DorsAttnB-SomMotB,-0.06469598626798807,False
DorsAttnB-TempPar,-0.09378836592307234,False
DorsAttnB-VisCent,0.07210545500127741,False
DorsAttnB-VisPeri,0.046963901648178194,False
LimbicA-LimbicA,0.36842957354051,True
LimbicA-LimbicB,0.2568296550632778,False
LimbicA-SalVentAttnA,-0.0191748051401099,False
LimbicA-SalVentAttnB,0.24015251514007602,False
LimbicA-SomMotA,-0.041321957874978756,False
LimbicA-SomMotB,-0.11844949493597917,False
LimbicA-TempPar,-0.13990347297425998,False
LimbicA-VisCent,0.11318124438500014,False
LimbicA-VisPeri,-0.03739177425805314,False
LimbicB-LimbicB,0.26692841631677405,True
LimbicB-SalVentAttnA,0.033693292121189655,False
LimbicB-SalVentAttnB,0.282118075979104,False
LimbicB-SomMotA,-0.02883992522839414,False
LimbicB-SomMotB,-0.07986634772119396,False
LimbicB-TempPar,-0.13708486195407044,False
LimbicB-VisCent,0.0751811947779147,False
LimbicB-VisPeri,-0.03734150081724658,False
SalVentAttnA-SalVentAttnA,0.0713216826032652,True
SalVentAttnA-SalVentAttnB,0.06715913364706677,False
SalVentAttnA-SomMotA,-0.00899501943008479,False
SalVentAttnA-SomMotB,0.01601141904251436,False
SalVentAttnA-TempPar,-0.03759534377557177,False
SalVentAttnA-VisCent,-0.02231796530293993,False
SalVentAttnA-VisPeri,0.007593427398660425,False
SalVentAttnB-SalVentAttnB,0.3022568513986664,True
SalVentAttnB-SomMotA,-0.037576302500055905,False
SalVentAttnB-SomMotB,-0.08512041573297746,False
SalVentAttnB-TempPar,-0.15459164313796384,False
SalVentAttnB-VisCent,0.05446176358250859,False
SalVentAttnB-VisPeri,-0.036235769443587904,False
SomMotA-SomMotA,0.15068043316693985,True
SomMotA-SomMotB,0.09223352099710383,False
SomMotA-TempPar,-0.09073254387051027,False
SomMotA-VisCent,0.08529348666032248,False
SomMotA-VisPeri,0.1733563752901099,False
SomMotB-SomMotB,0.18362257950204705,True
SomMotB-TempPar,-0.03259251979732267,False
SomMotB-VisCent,-0.02664154931674918,False
SomMotB-VisPeri,0.05809293791629255,False
TempPar-TempPar,0.4616386120108643,True
TempPar-VisCent,-0.10359799856503656,False
TempPar-VisPeri,-0.1081986662485125,False
VisCent-VisCent,0.15028755550883632,True
VisCent-VisPeri,0.1203887587552754,False
VisPeri-VisPeri,0.29638588950943756,True
