network_connection,fc,within_network
ContA-ContA,0.2808807676300887,True
ContA-ContB,0.23778849253329895,False
ContA-ContC,0.18146549586224966,False
ContA-DefaultA,0.1790862726511822,False
ContA-DefaultB,0.19265715351189824,False
ContA-DefaultC,0.07764841664226396,False
ContA-DorsAttnA,0.0046271137602251705,False
ContA-DorsAttnB,0.11587840488857665,False
ContA-LimbicA,0.28309643178735955,False
ContA-LimbicB,0.1704500908381587,False
ContA-SalVentAttnA,-0.023721528084742066,False
ContA-SalVentAttnB,0.1246701076034518,False
ContA-SomMotA,-0.046312123738927326,False
ContA-SomMotB,-0.046440317624854156,False
ContA-TempPar,-0.02927744095859512,False
ContA-VisCent,0.09060616910191273,False
ContA-VisPeri,-0.11460198191358516,False
ContB-ContB,0.30801686731488986,True
ContB-ContC,0.20285175291970953,False
ContB-DefaultA,0.1786642301846558,False
ContB-DefaultB,0.22366269097166921,False
ContB-DefaultC,0.1928284178104904,False
ContB-DorsAttnA,0.014038715546756451,False
ContB-DorsAttnB,0.10718208982323665,False
ContB-LimbicA,0.20721260647384462,False
ContB-LimbicB,0.13130871100522895,False
ContB-SalVentAttnA,-0.050036457549060706,False
ContB-SalVentAttnB,0.06346781563132455,False
ContB-SomMotA,-0.06935681220681124,False
ContB-SomMotB,-0.06602105996168209,False
ContB-TempPar,0.05072323290461288,False
ContB-VisCent,0.07484338964456155,False
ContB-VisPeri,-0.15483506659716698,False
ContC-ContC,0.32848460387592643,True
ContC-DefaultA,0.3046925216847789,False
ContC-DefaultB,0.24876402821988727,False
ContC-DefaultC,0.09590267943497395,False
ContC-DorsAttnA,-0.018201481964875026,False
ContC-DorsAttnB,0.11393778930762617,False
ContC-LimbicA,0.19946881494155744,False
ContC-LimbicB,0.19440655766996098,False
ContC-SalVentAttnA,0.0032075107226207968,False
ContC-SalVentAttnB,0.16416871023540258,False
ContC-SomMotA,-0.021094054507208054,False
ContC-SomMotB,-0.051373580782833723,False
ContC-TempPar,-0.033338124987873106,False
ContC-VisCent,0.10521689055883904,False
ContC-VisPeri,-0.10908459407683804,False
DefaultA-DefaultA,0.2924593695381862,True
DefaultA-DefaultB,0.25050463274740253,False
DefaultA-DefaultC,0.09651166038563588,False
DefaultA-DorsAttnA,-0.02252160740433324,False
DefaultA-DorsAttnB,0.09948994281406888,False
DefaultA-LimbicA,0.19204273123878735,False
DefaultA-LimbicB,0.18817913411272344,False
DefaultA-SalVentAttnA,0.0015197840203190246,False
DefaultA-SalVentAttnB,0.15501745939763764,False
DefaultA-SomMotA,-0.022645245862040583,False
DefaultA-SomMotB,-0.050064973373325584,False
DefaultA-TempPar,-0.01828843631584584,False
DefaultA-VisCent,0.10370664457321235,False
DefaultA-VisPeri,-0.10697992806209577,False
DefaultB-DefaultB,0.2953186777842393,True
DefaultB-DefaultC,0.22549024101275142,False
DefaultB-DorsAttnA,-0.06267281660893248,False
DefaultB-DorsAttnB,0.06191210229498438,False
DefaultB-LimbicA,0.17265594665543577,False
DefaultB-LimbicB,0.16502378695094355,False
DefaultB-SalVentAttnA,-0.02609615915613033,False
DefaultB-SalVentAttnB,0.10727243787140518,False
DefaultB-SomMotA,-0.04673336980660382,False
DefaultB-SomMotB,-0.05640065280052751,False
DefaultB-TempPar,0.0729106733393583,False
DefaultB-VisCent,0.0873058119811203,False
DefaultB-VisPeri,-0.11958748909742559,False
DefaultC-DefaultC,0.37750218133471186,True
DefaultC-DorsAttnA,-0.08109370175288762,False
DefaultC-DorsAttnB,-0.013468681399842808,False
DefaultC-LimbicA,0.033976616337350635,False
DefaultC-LimbicB,0.07474351772693447,False
DefaultC-SalVentAttnA,-0.04914993119096664,False
DefaultC-SalVentAttnB,0.01652879049967212,False
DefaultC-SomMotA,-0.10243175763499977,False
DefaultC-SomMotB,-0.08367281385848717,False
DefaultC-TempPar,0.27202897995669184,False
DefaultC-VisCent,0.0008281919691170245,False
DefaultC-VisPeri,-0.11794378188225996,False
DorsAttnA-DorsAttnA,0.2272150431191241,True
DorsAttnA-DorsAttnB,0.08394643593969825,False
DorsAttnA-LimbicA,0.027439814167116727,False
