network_connection,fc,within_network
ContA-ContA,0.25003483695272605,True
ContA-ContB,0.208211706596944,False
ContA-ContC,0.10451878368029474,False
ContA-DefaultA,0.06698069174306376,False
ContA-DefaultB,0.04087274490036444,False
ContA-DefaultC,0.006948642854982472,False
ContA-DorsAttnA,0.01659303423734949,False
ContA-DorsAttnB,0.023402396929030275,False
ContA-LimbicA,0.24462055726654017,False
ContA-LimbicB,0.0776691154607008,False
ContA-SalVentAttnA,-0.01629787138676403,False
ContA-SalVentAttnB,0.14513979234216035,False
ContA-SomMotA,-0.12129247018947706,False
ContA-SomMotB,-0.046256014321078044,False
ContA-TempPar,0.07869596762643426,False
ContA-VisCent,-0.06080114757370994,False
ContA-VisPeri,-0.112731976123943,False
ContB-ContB,0.3373570557232746,True
ContB-ContC,0.1715578365514615,False
ContB-DefaultA,0.02960911679327932,False
ContB-DefaultB,-0.007183036428732987,False
ContB-DefaultC,0.07655689322201215,False
ContB-DorsAttnA,0.001114980080255148,False
ContB-DorsAttnB,0.019893224039311385,False
ContB-LimbicA,0.21714240174411054,False
ContB-LimbicB,0.041786895903721255,False
ContB-SalVentAttnA,-0.0788077323307112,False
ContB-SalVentAttnB,0.0725662718822165,False
ContB-SomMotA,-0.16178283467254082,False
ContB-SomMotB,-0.13262023761027047,False
ContB-TempPar,0.2926408892565884,False
ContB-VisCent,-0.07485550491393628,False
ContB-VisPeri,-0.19334252464628884,False
ContC-ContC,0.20306392786643457,True
ContC-DefaultA,0.11886125156572167,False
ContC-DefaultB,0.022770836782998113,False
ContC-DefaultC,-0.03233274360235664,False
ContC-DorsAttnA,-0.022787774791243425,False
ContC-DorsAttnB,0.0141246102663373,False
ContC-LimbicA,0.160662381211643,False
ContC-LimbicB,0.10651030379195756,False
ContC-SalVentAttnA,-0.013112970477935615,False
ContC-SalVentAttnB,0.1548097726063835,False
ContC-SomMotA,-0.09065789793814279,False
ContC-SomMotB,-0.07157986485290145,False
ContC-TempPar,0.050142924487146516,False
ContC-VisCent,-0.020142679994908343,False
ContC-VisPeri,-0.07739022226595606,False
DefaultA-DefaultA,0.1319516916545119,True
DefaultA-DefaultB,0.08706118915457851,False
DefaultA-DefaultC,-0.01395048562213987,False
DefaultA-DorsAttnA,-0.005659118736608296,False
DefaultA-DorsAttnB,0.016616295125597435,False
DefaultA-LimbicA,0.09625090503236595,False
DefaultA-LimbicB,0.12021155812193492,False
DefaultA-SalVentAttnA,0.032150603030196755,False
DefaultA-SalVentAttnB,0.15571953316640877,False
DefaultA-SomMotA,-0.03387100613803996,False
DefaultA-SomMotB,-0.001545693262661094,False
DefaultA-TempPar,-0.048834150852520096,False
DefaultA-VisCent,0.024815718342284496,False
DefaultA-VisPeri,-0.0047139941922427955,False
DefaultB-DefaultB,0.16005255610285105,True
DefaultB-DefaultC,0.14175068705831573,False
DefaultB-DorsAttnA,-0.021750088951050506,False
DefaultB-DorsAttnB,-0.02660656760929714,False
DefaultB-LimbicA,0.007522219109731128,False
DefaultB-LimbicB,0.06043820097120314,False
DefaultB-SalVentAttnA,0.0023945452914989783,False
DefaultB-SalVentAttnB,0.07317062011019461,False
DefaultB-SomMotA,-0.021764524771252285,False
DefaultB-SomMotB,0.022417658516105547,False
DefaultB-TempPar,-0.04300340117814896,False
DefaultB-VisCent,0.03247831439338482,False
DefaultB-VisPeri,0.00387662153906523,False
DefaultC-DefaultC,0.2797548348254254,True
DefaultC-DorsAttnA,-0.0543178911844867,False
DefaultC-DorsAttnB,-0.0357391361754009,False
DefaultC-LimbicA,-0.05174172079555083,False
DefaultC-LimbicB,0.001969027388608364,False
DefaultC-SalVentAttnA,-0.06745968305704293,False
DefaultC-SalVentAttnB,-0.034558027782334376,False
DefaultC-SomMotA,-0.044781210338404494,False
DefaultC-SomMotB,-0.04575932017478655,False
DefaultC-TempPar,0.188065069257787,False
DefaultC-VisCent,0.02740318057361062,False
DefaultC-VisPeri,-0.07301148619256417,False
DorsAttnA-DorsAttnA,0.20700039731616826,True
DorsAttnA-DorsAttnB,0.09661221646527515,False
DorsAttnA-LimbicA,0.0425254674680569,False
DorsAttnA-LimbicB,-0.019606418713067113,False
DorsAttnA-SalVentAttnA,0.03845729197408823,False
DorsAttnA-SalVentAttnB,-0.01637801366586957,False
DorsAttnA-SomMotA,0.03779639557094649,False
DorsAttnA-SomMotB,0.07928126648813975,False
DorsAttnA-TempPar,-0.046051864731123535,False
DorsAttnA-VisCent,-0.0049019149980616865,False
