network_connection,fc,within_network
ContA-ContA,0.15946529576230714,True
ContA-ContB,0.10452016035130951,False
ContA-ContC,0.060213343273208535,False
ContA-DefaultA,0.07603300789985688,False
ContA-DefaultB,0.042896991817484464,False
ContA-DefaultC,0.03073665384002106,False
ContA-DorsAttnA,-0.018671944141350663,False
ContA-DorsAttnB,0.06851463873462985,False
ContA-LimbicA,0.16457169799091706,False
ContA-LimbicB,0.1192815676656971,False
ContA-SalVentAttnA,0.0035075302786863535,False
ContA-SalVentAttnB,0.13965157002972142,False
ContA-SomMotA,-0.09875286770754628,False
ContA-SomMotB,-0.0612363719837941,False
ContA-TempPar,0.03244504514694291,False
ContA-VisCent,-0.015591537320889958,False
ContA-VisPeri,-0.07156917296464185,False
ContB-ContB,0.12929627343962094,True
ContB-ContC,0.039602265862401724,False
ContB-DefaultA,0.029226627566654773,False
ContB-DefaultB,0.022347158043778098,False
ContB-DefaultC,0.07198946989453153,False
ContB-DorsAttnA,0.05339069479401602,False
ContB-DorsAttnB,0.0724255741018217,False
ContB-LimbicA,0.08933789877619518,False
ContB-LimbicB,0.062018150759576465,False
ContB-SalVentAttnA,-0.0010210908801949487,False
ContB-SalVentAttnB,0.08387289744002462,False
ContB-SomMotA,-0.09735401936028852,False
ContB-SomMotB,-0.04842953045388532,False
ContB-TempPar,0.10044148104592139,False
ContB-VisCent,-0.01537579993069934,False
ContB-VisPeri,-0.0728465328911744,False
ContC-ContC,0.08214189474236751,True
ContC-DefaultA,0.07447929155357857,False
ContC-DefaultB,0.02421330484674794,False
ContC-DefaultC,-0.032832751954252705,False
ContC-DorsAttnA,-0.013680734429467156,False
ContC-DorsAttnB,0.024608739463246862,False
ContC-LimbicA,0.0753022268957974,False
ContC-LimbicB,0.06481660030744671,False
ContC-SalVentAttnA,0.016279804489081666,False
ContC-SalVentAttnB,0.07965729309611758,False
ContC-SomMotA,-0.044503304622119336,False
ContC-SomMotB,-0.03006345677312255,False
ContC-TempPar,-0.0417071549243015,False
ContC-VisCent,-0.008663352506270322,False
ContC-VisPeri,-0.03524435864342026,False
DefaultA-DefaultA,0.09199822446954924,True
DefaultA-DefaultB,0.05355240078440827,False
DefaultA-DefaultC,-0.008633301979474279,False
DefaultA-DorsAttnA,-0.0434456147891952,False
DefaultA-DorsAttnB,0.015026656206336173,False
DefaultA-LimbicA,0.08768692696488568,False
DefaultA-LimbicB,0.08667533817376336,False
DefaultA-SalVentAttnA,0.012751325658082253,False
DefaultA-SalVentAttnB,0.09408369011588433,False
DefaultA-SomMotA,-0.05334313339226605,False
DefaultA-SomMotB,-0.03265030387504905,False
DefaultA-TempPar,-0.04180893385175863,False
DefaultA-VisCent,-0.01290206311806311,False
DefaultA-VisPeri,-0.04396774929369716,False
DefaultB-DefaultB,0.11522652657447817,True
DefaultB-DefaultC,0.18846093051802948,False
DefaultB-DorsAttnA,-0.09008283430704662,False
DefaultB-DorsAttnB,-0.02340633343678985,False
DefaultB-LimbicA,0.0337410605992058,False
DefaultB-LimbicB,0.059502386746280056,False
DefaultB-SalVentAttnA,-0.010802155666977521,False
DefaultB-SalVentAttnB,0.05707811566656208,False
DefaultB-SomMotA,-0.06919346788801853,False
DefaultB-SomMotB,-0.03540336793100801,False
DefaultB-TempPar,0.10842188893422322,False
DefaultB-VisCent,-0.04144119008264463,False
DefaultB-VisPeri,-0.06041845949551692,False
DefaultC-DefaultC,0.5009416225887158,True
DefaultC-DorsAttnA,-0.12999685700444727,False
DefaultC-DorsAttnB,-0.03737164670680706,False
DefaultC-LimbicA,-0.007521663752295651,False
DefaultC-LimbicB,0.05101101493510019,False
DefaultC-SalVentAttnA,-0.04011876610325834,False
DefaultC-SalVentAttnB,0.03256176303516575,False
DefaultC-SomMotA,-0.14252754171855841,False
DefaultC-SomMotB,-0.08590036640749468,False
DefaultC-TempPar,0.4215496851757319,False
DefaultC-VisCent,-0.08383229133725606,False
DefaultC-VisPeri,-0.11477660019321115,False
DorsAttnA-DorsAttnA,0.2839992516625518,True
DorsAttnA-DorsAttnB,0.07937860532448326,False
DorsAttnA-LimbicA,-0.02008879049946592,False
DorsAttnA-LimbicB,-0.06908601741724449,False
DorsAttnA-SalVentAttnA,0.024751267481338938,False
DorsAttnA-SalVentAttnB,-0.037443830975908456,False
DorsAttnA-SomMotA,0.007918720315249988,False
DorsAttnA-SomMotB,0.0498411284370255,False
DorsAttnA-TempPar,-0.05973607596882357,False
DorsAttnA-VisCent,0.0006848761437911179,False
DorsAttnA-VisPeri,-0.03887830277941883,False
DorsAttnB-DorsAttnB,0.09440353304825815,True
DorsAttnB-LimbicA,0.0669268958185346,False
DorsAttnB-LimbicB,0.048503641438657985,False
DorsAttnB-SalVentAttnA,0.013797902073455333,False
DorsAttnB-SalVentAttnB,0.07307219513541079,False
DorsAttnB-SomMotA,-0.052025451486825004,False
DorsAttnB-SomMotB,-0.03263016125293757,False
DorsAttnB-TempPar,-0.008217578107555967,False
DorsAttnB-VisCent,0.006077026379276526,False
DorsAttnB-VisPeri,-0.04326343303065929,False
LimbicA-LimbicA,0.16963822732365313,True
LimbicA-LimbicB,0.13373118348152396,False
LimbicA-SalVentAttnA,0.011957288738804403,False
LimbicA-SalVentAttnB,0.1538494478098467,False
LimbicA-SomMotA,-0.08832597414263874,False
LimbicA-SomMotB,-0.0529135352055202,False
LimbicA-TempPar,-0.010262126518454493,False
LimbicA-VisCent,-0.007723758779453189,False
LimbicA-VisPeri,-0.06425678629732011,False
LimbicB-LimbicB,0.1453075906993715,True
LimbicB-SalVentAttnA,0.020528274180600572,False
LimbicB-SalVentAttnB,0.15472041700906633,False
LimbicB-SomMotA,-0.09782742451149012,False
LimbicB-SomMotB,-0.05368643337608892,False
LimbicB-TempPar,0.013793215780480412,False
LimbicB-VisCent,-0.007630162309191,False
LimbicB-VisPeri,-0.06294001044897764,False
SalVentAttnA-SalVentAttnA,0.0377906594098516,True
SalVentAttnA-SalVentAttnB,0.030770242524052405,False
SalVentAttnA-SomMotA,-0.010126592111301272,False
SalVentAttnA-SomMotB,0.019860129696507287,False
SalVentAttnA-TempPar,-0.04598562296658991,False
SalVentAttnA-VisCent,-0.00438522271398225,False
SalVentAttnA-VisPeri,-0.01075230154396916,False
SalVentAttnB-SalVentAttnB,0.17293847031343573,True
SalVentAttnB-SomMotA,-0.11010434237677005,False
SalVentAttnB-SomMotB,-0.05724122294982673,False
SalVentAttnB-TempPar,0.006914943230219217,False
SalVentAttnB-VisCent,-0.010774601058774811,False
SalVentAttnB-VisPeri,-0.06856948417162041,False
SomMotA-SomMotA,0.14596347559568243,True
SomMotA-SomMotB,0.09287207713214118,False
SomMotA-TempPar,-0.13369727454011623,False
SomMotA-VisCent,0.05558274387124558,False
SomMotA-VisPeri,0.14044337765121662,False
SomMotB-SomMotB,0.1127833217515828,True
SomMotB-TempPar,-0.1159321831233581,False
SomMotB-VisCent,0.03665864527167078,False
SomMotB-VisPeri,0.06717554439301589,False
TempPar-TempPar,0.48875828942229077,True
TempPar-VisCent,-0.0683955907093478,False
TempPar-VisPeri,-0.09882512126724699,False
VisCent-VisCent,0.05011684554545977,True
VisCent-VisPeri,0.07066782258365521,False
VisPeri-VisPeri,0.19964532454247963,True
