network_connection,fc,within_network
ContA-ContA,0.19483753510075327,True
ContA-ContB,0.1355283017043153,False
ContA-ContC,0.07672235325272006,False
ContA-DefaultA,0.10954642856752657,False
ContA-DefaultB,0.08207656040564724,False
ContA-DefaultC,0.028042968243198574,False
ContA-DorsAttnA,0.01420663242999217,False
ContA-DorsAttnB,0.0325207888095638,False
ContA-LimbicA,0.20044572192764665,False
ContA-LimbicB,0.14862506844993864,False
ContA-SalVentAttnA,0.03389429706290443,False
ContA-SalVentAttnB,0.1485298099165148,False
ContA-SomMotA,-0.11373130555006307,False
ContA-SomMotB,-0.0047603071775683715,False
ContA-TempPar,0.00718691173457522,False
ContA-VisCent,0.006897234238066114,False
ContA-VisPeri,-0.09506454335287509,False
ContB-ContB,0.16927092105088826,True
ContB-ContC,0.03779759710261664,False
ContB-DefaultA,0.04096360864838625,False
ContB-DefaultB,0.0642556699573776,False
ContB-DefaultC,0.11815058999899487,False
ContB-DorsAttnA,0.039272762259997984,False
ContB-DorsAttnB,0.057455882048211435,False
ContB-LimbicA,0.11309862603594203,False
ContB-LimbicB,0.06257061432598188,False
ContB-SalVentAttnA,-0.002644064206493177,False
ContB-SalVentAttnB,0.05194319073525087,False
ContB-SomMotA,-0.0937030972609572,False
ContB-SomMotB,-0.013095851733911985,False
ContB-TempPar,0.13727904292852652,False
ContB-VisCent,0.009535808258948333,False
ContB-VisPeri,-0.08915668870864078,False
ContC-ContC,0.1810437167815855,True
ContC-DefaultA,0.15571482310467952,False
ContC-DefaultB,0.04910841769851639,False
ContC-DefaultC,-0.0690045607994653,False
ContC-DorsAttnA,-0.004267228098622677,False
ContC-DorsAttnB,0.011704012198806102,False
ContC-LimbicA,0.13606266695726152,False
ContC-LimbicB,0.1336107180289693,False
ContC-SalVentAttnA,0.02824308592062709,False
ContC-SalVentAttnB,0.14026326617471851,False
ContC-SomMotA,-0.022714460674462172,False
ContC-SomMotB,-0.014046777735011241,False
ContC-TempPar,-0.11618368939988216,False
ContC-VisCent,0.00507642027483355,False
ContC-VisPeri,-0.017610109073698005,False
DefaultA-DefaultA,0.18272317312341008,True
DefaultA-DefaultB,0.08337715038539265,False
DefaultA-DefaultC,-0.0682832062298311,False
DefaultA-DorsAttnA,-0.006805783062598045,False
DefaultA-DorsAttnB,0.002798426419191399,False
DefaultA-LimbicA,0.15402201337225088,False
DefaultA-LimbicB,0.13079142483184242,False
DefaultA-SalVentAttnA,0.03531273970949097,False
DefaultA-SalVentAttnB,0.13928518258658276,False
DefaultA-SomMotA,-0.03104398317668501,False
DefaultA-SomMotB,-0.0061592635995666185,False
DefaultA-TempPar,-0.08793888865809091,False
DefaultA-VisCent,0.00850024400784964,False
DefaultA-VisPeri,-0.029479442049926346,False
DefaultB-DefaultB,0.11169096706780356,True
DefaultB-DefaultC,0.12404413229640593,False
DefaultB-DorsAttnA,-0.01845175798681708,False
DefaultB-DorsAttnB,-0.001749411686259858,False
DefaultB-LimbicA,0.0661673228137742,False
DefaultB-LimbicB,0.06958944510387376,False
DefaultB-SalVentAttnA,0.015478087140495908,False
DefaultB-SalVentAttnB,0.06259911185542613,False
DefaultB-SomMotA,-0.041045271383787746,False
DefaultB-SomMotB,-0.0016688905621544837,False
DefaultB-TempPar,0.0419789639189758,False
DefaultB-VisCent,0.014450110653589462,False
DefaultB-VisPeri,-0.01948650390887342,False
DefaultC-DefaultC,0.39769349237562646,True
DefaultC-DorsAttnA,-0.015441340914227802,False
DefaultC-DorsAttnB,0.01975877458676035,False
DefaultC-LimbicA,-0.05804472640628679,False
DefaultC-LimbicB,-0.0012083075433261823,False
DefaultC-SalVentAttnA,-0.009498855441846721,False
DefaultC-SalVentAttnB,-0.026562682654448524,False
DefaultC-SomMotA,-0.0623102364369639,False
DefaultC-SomMotB,0.0007181865758349036,False
DefaultC-TempPar,0.28444301908539593,False
DefaultC-VisCent,0.033802021786771615,False
DefaultC-VisPeri,-0.028020390804714884,False
DorsAttnA-DorsAttnA,0.1788171520925762,True
DorsAttnA-DorsAttnB,0.09454907179041332,False
DorsAttnA-LimbicA,0.02518114131700723,False
DorsAttnA-LimbicB,-0.0076940444904247205,False
DorsAttnA-SalVentAttnA,0.030821699836237507,False
DorsAttnA-SalVentAttnB,0.020767769508651137,False
DorsAttnA-SomMotA,0.023311744956025372,False
DorsAttnA-SomMotB,0.04240015191699517,False
DorsAttnA-TempPar,-0.005673207341856933,False
DorsAttnA-VisCent,0.03424439050955019,False
DorsAttnA-VisPeri,-0.03772867932844509,False
DorsAttnB-DorsAttnB,0.09548687622564006,True
DorsAttnB-LimbicA,0.026880892409821364,False
DorsAttnB-LimbicB,0.012664242908999257,False
DorsAttnB-SalVentAttnA,0.010732944376634397,False
DorsAttnB-SalVentAttnB,0.03338276297267927,False
DorsAttnB-SomMotA,-0.005842415735791732,False
DorsAttnB-SomMotB,-0.00806101313623641,False
DorsAttnB-TempPar,0.030461932517532434,False
DorsAttnB-VisCent,0.03549683671249158,False
DorsAttnB-VisPeri,-0.01950245584982002,False
LimbicA-LimbicA,0.2485313278256506,True
LimbicA-LimbicB,0.19458719518605344,False
LimbicA-SalVentAttnA,0.03957360334679112,False
LimbicA-SalVentAttnB,0.19562658892985177,False
LimbicA-SomMotA,-0.09402024041382742,False
LimbicA-SomMotB,-0.0018645707020325687,False
LimbicA-TempPar,-0.07935203117784521,False
LimbicA-VisCent,-0.00014031709347686564,False
LimbicA-VisPeri,-0.1027560297566571,False
LimbicB-LimbicB,0.22427238794427187,True
LimbicB-SalVentAttnA,0.06520904833216797,False
LimbicB-SalVentAttnB,0.23870900622851673,False
LimbicB-SomMotA,-0.1017592396914841,False
LimbicB-SomMotB,0.010423965255247488,False
LimbicB-TempPar,-0.09544693519883558,False
LimbicB-VisCent,0.021607720127332367,False
LimbicB-VisPeri,-0.08222223750618517,False
SalVentAttnA-SalVentAttnA,0.057376451570493744,True
SalVentAttnA-SalVentAttnB,0.09073466538712863,False
SalVentAttnA-SomMotA,-0.0059546082483348,False
SalVentAttnA-SomMotB,0.042114876585526005,False
SalVentAttnA-TempPar,-0.038438087166448455,False
SalVentAttnA-VisCent,0.023007837206543806,False
SalVentAttnA-VisPeri,0.00350765687892193,False
SalVentAttnB-SalVentAttnB,0.26383788281905074,True
SalVentAttnB-SomMotA,-0.09071277630723541,False
SalVentAttnB-SomMotB,0.010924786572143609,False
SalVentAttnB-TempPar,-0.10898074421487199,False
SalVentAttnB-VisCent,0.027543847243766635,False
SalVentAttnB-VisPeri,-0.060106359507797004,False
SomMotA-SomMotA,0.17975358754534396,True
SomMotA-SomMotB,0.06572537774462038,False
SomMotA-TempPar,-0.03502615624036848,False
SomMotA-VisCent,0.03362417569639227,False
SomMotA-VisPeri,0.15247507582503966,False
SomMotB-SomMotB,0.10124406305026619,True
SomMotB-TempPar,-0.026868884907284427,False
SomMotB-VisCent,0.04486245361561692,False
SomMotB-VisPeri,0.03421713986217896,False
TempPar-TempPar,0.41766404724625006,True
TempPar-VisCent,-0.0018267782517032225,False
TempPar-VisPeri,-0.004560873300672468,False
VisCent-VisCent,0.04801862746523664,True
VisCent-VisPeri,0.043004614215641446,False
VisPeri-VisPeri,0.25154934887776204,True
