network_connection,fc,within_network
ContA-ContA,0.23468236520758912,True
ContA-ContB,0.1260651646075045,False
ContA-ContC,0.0835600296295758,False
ContA-DefaultA,0.08077243255588756,False
ContA-DefaultB,0.08990620291495595,False
ContA-DefaultC,0.03090514858604098,False
ContA-DorsAttnA,-0.051746085464745635,False
ContA-DorsAttnB,0.0389911638197935,False
ContA-LimbicA,0.22099069489608306,False
ContA-LimbicB,0.13892704721893773,False
ContA-SalVentAttnA,0.0057672829234863875,False
ContA-SalVentAttnB,0.14440648257240074,False
ContA-SomMotA,-0.10536198909685604,False
ContA-SomMotB,-0.07502573646495841,False
ContA-TempPar,-0.06215638606770323,False
ContA-VisCent,-0.028059424523453516,False
ContA-VisPeri,-0.10943764084805174,False
ContB-ContB,0.17677552887259326,True
ContB-ContC,0.058766151661319294,False
ContB-DefaultA,0.0038148592010082668,False
ContB-DefaultB,0.03668934677099428,False
ContB-DefaultC,0.09710527710052323,False
ContB-DorsAttnA,-0.013271959060280229,False
ContB-DorsAttnB,0.03461442651158843,False
ContB-LimbicA,0.10814220267065557,False
ContB-LimbicB,0.04071226796355716,False
ContB-SalVentAttnA,-0.042532895163642004,False
ContB-SalVentAttnB,0.013735350508560347,False
ContB-SomMotA,-0.09500013737438595,False
ContB-SomMotB,-0.07164969419048012,False
ContB-TempPar,0.10430939167195465,False
ContB-VisCent,-0.00486862069899221,False
ContB-VisPeri,-0.10644344012085596,False
ContC-ContC,0.2250292541866594,True
ContC-DefaultA,0.1880814304492568,False
ContC-DefaultB,0.09636166368060271,False
ContC-DefaultC,-0.043602229801289666,False
ContC-DorsAttnA,-0.04062981934496785,False
ContC-DorsAttnB,0.006406142245503357,False
ContC-LimbicA,0.12644011419630305,False
ContC-LimbicB,0.14096998234179622,False
ContC-SalVentAttnA,0.021095912260064364,False
ContC-SalVentAttnB,0.153567481183709,False
ContC-SomMotA,-0.053919587675894845,False
ContC-SomMotB,-0.04856869170529987,False
ContC-TempPar,-0.09755322009619359,False
ContC-VisCent,-0.010206984418337835,False
ContC-VisPeri,-0.0566406809591312,False
DefaultA-DefaultA,0.21056138893793558,True
DefaultA-DefaultB,0.13646812517140094,False
DefaultA-DefaultC,-0.05390095321131726,False
DefaultA-DorsAttnA,-0.04414214755008389,False
DefaultA-DorsAttnB,-0.0002605420231408927,False
DefaultA-LimbicA,0.11201036431387161,False
DefaultA-LimbicB,0.14913751381250423,False
DefaultA-SalVentAttnA,0.03539083642598161,False
DefaultA-SalVentAttnB,0.1704335414175008,False
DefaultA-SomMotA,-0.04823506400898483,False
DefaultA-SomMotB,-0.039307779148226286,False
DefaultA-TempPar,-0.12712243111753865,False
DefaultA-VisCent,-0.0040252158361917725,False
DefaultA-VisPeri,-0.04472128030717759,False
DefaultB-DefaultB,0.1943313493552528,True
DefaultB-DefaultC,0.14445404675656556,False
DefaultB-DorsAttnA,-0.07259261860265756,False
DefaultB-DorsAttnB,-0.03126470830287917,False
DefaultB-LimbicA,0.0929757351317886,False
DefaultB-LimbicB,0.10965679677893925,False
