network_connection,fc,within_network
ContA-ContA,0.14946525747746964,True
ContA-ContB,0.10067229868871251,False
ContA-ContC,0.04490777737669596,False
ContA-DefaultA,0.030151281363996564,False
ContA-DefaultB,0.026553303933618145,False
ContA-DefaultC,0.020166575038290502,False
ContA-DorsAttnA,0.01489102600633425,False
ContA-DorsAttnB,0.06334287750155357,False
ContA-LimbicA,0.16906286880917878,False
ContA-LimbicB,0.14153998083030883,False
ContA-SalVentAttnA,0.023711817828414066,False
ContA-SalVentAttnB,0.13552590956145388,False
ContA-SomMotA,-0.11650252352717574,False
ContA-SomMotB,-0.01710819415438938,False
ContA-TempPar,-0.01829294890799552,False
ContA-VisCent,-0.004871320554647117,False
ContA-VisPeri,-0.07330987826346141,False
ContB-ContB,0.2039965093156755,True
ContB-ContC,0.04543185136241184,False
ContB-DefaultA,0.0160487315560884,False
ContB-DefaultB,0.032740951383237224,False
ContB-DefaultC,0.12877307163366009,False
ContB-DorsAttnA,-0.012419005474272032,False
ContB-DorsAttnB,0.07853454147050157,False
ContB-LimbicA,0.07932177135773456,False
ContB-LimbicB,0.0840596165024288,False
ContB-SalVentAttnA,-0.03173014965077775,False
ContB-SalVentAttnB,0.0623724622140975,False
ContB-SomMotA,-0.14799206313998733,False
ContB-SomMotB,-0.0425115051891097,False
ContB-TempPar,0.1998410819578376,False
ContB-VisCent,-0.005593350379585105,False
ContB-VisPeri,-0.11134092119694446,False
ContC-ContC,0.2136523626055776,True
ContC-DefaultA,0.11952415059662828,False
ContC-DefaultB,0.03092172196396678,False
ContC-DefaultC,-0.05200807021995849,False
ContC-DorsAttnA,-0.04681352401075271,False
ContC-DorsAttnB,0.012487087539341059,False
ContC-LimbicA,0.1216908935251681,False
ContC-LimbicB,0.11631406602952965,False
ContC-SalVentAttnA,0.011771066195499835,False
ContC-SalVentAttnB,0.13894813766817068,False
ContC-SomMotA,-0.050055370105782655,False
ContC-SomMotB,-0.030303273438239343,False
ContC-TempPar,-0.05829325196490261,False
