network_connection,fc,within_network
ContA-ContA,0.2765142631998184,True
ContA-ContB,0.10092125726330163,False
ContA-ContC,0.07808709259327513,False
ContA-DefaultA,0.10187952778363694,False
ContA-DefaultB,0.07603498835799163,False
ContA-DefaultC,-0.07224572488483284,False
ContA-DorsAttnA,-0.05760871810135839,False
ContA-DorsAttnB,0.03802949385286751,False
ContA-LimbicA,0.28806927431346074,False
ContA-LimbicB,0.2468298894230469,False
ContA-SalVentAttnA,0.02463910190756277,False
ContA-SalVentAttnB,0.24191777579730173,False
ContA-SomMotA,-0.1510196214855399,False
ContA-SomMotB,-0.058234976691066996,False
ContA-TempPar,-0.16374667250302513,False
ContA-VisCent,-0.019140548912227683,False
ContA-VisPeri,-0.14336397884190336,False
ContB-ContB,0.16288047003472914,True
ContB-ContC,0.0072743513365239355,False
ContB-DefaultA,-0.015732153880739234,False
ContB-DefaultB,0.053969366655723744,False
ContB-DefaultC,0.12342387302946999,False
ContB-DorsAttnA,0.018320612127562107,False
ContB-DorsAttnB,0.05087477168912764,False
ContB-LimbicA,0.05003448779758831,False
ContB-LimbicB,0.029671899641008342,False
ContB-SalVentAttnA,-0.02679803789806134,False
ContB-SalVentAttnB,0.010325574183649053,False
ContB-SomMotA,-0.07908171599530932,False
ContB-SomMotB,-0.03237921430106713,False
ContB-TempPar,0.031966678469797546,False
ContB-VisCent,0.009925678936989443,False
ContB-VisPeri,-0.09441714302962544,False
ContC-ContC,0.21066729201667656,True
ContC-DefaultA,0.18303036284699542,False
ContC-DefaultB,0.03235852379695801,False
ContC-DefaultC,-0.11459516480427422,False
ContC-DorsAttnA,-0.04186886035556528,False
ContC-DorsAttnB,0.006586916525301055,False
ContC-LimbicA,0.14067084713493694,False
ContC-LimbicB,0.10149967364646549,False
ContC-SalVentAttnA,0.0248460369300026,False
ContC-SalVentAttnB,0.12498034821713382,False
ContC-SomMotA,-0.022537302256650665,False
ContC-SomMotB,-0.05125055581464272,False
ContC-TempPar,-0.08773594295460184,False
ContC-VisCent,-0.0025983039973463285,False
ContC-VisPeri,-0.02496722073815192,False
DefaultA-DefaultA,0.2057254090783378,True
DefaultA-DefaultB,0.06983788068444904,False
DefaultA-DefaultC,-0.11205286788943453,False
DefaultA-DorsAttnA,-0.07943645458557229,False
DefaultA-DorsAttnB,-0.014725121977630824,False
DefaultA-LimbicA,0.14441915378200523,False
DefaultA-LimbicB,0.17193331416419952,False
DefaultA-SalVentAttnA,0.03838260721867264,False
DefaultA-SalVentAttnB,0.18119943263497484,False
DefaultA-SomMotA,-0.047357057055396924,False
DefaultA-SomMotB,-0.04364529716154011,False
DefaultA-TempPar,-0.09293633329487545,False
DefaultA-VisCent,0.003643028624063061,False
DefaultA-VisPeri,-0.04838457235564804,False
DefaultB-DefaultB,0.14046888067425065,True
DefaultB-DefaultC,0.15480271804499082,False
DefaultB-DorsAttnA,-0.0878895242887783,False
DefaultB-DorsAttnB,-0.03353084959439451,False
DefaultB-LimbicA,0.046240950125045546,False
DefaultB-LimbicB,0.10950070434251552,False
DefaultB-SalVentAttnA,-0.002576749576051354,False
DefaultB-SalVentAttnB,0.1062661145263177,False
DefaultB-SomMotA,-0.10659850893135499,False
DefaultB-SomMotB,-0.07072468356830526,False
DefaultB-TempPar,0.026058441736911922,False
DefaultB-VisCent,-0.015740728856541986,False
DefaultB-VisPeri,-0.10408793543471163,False
DefaultC-DefaultC,0.46577767185553753,True
DefaultC-DorsAttnA,-0.056884509336391116,False
DefaultC-DorsAttnB,-0.03830408391513956,False
DefaultC-LimbicA,-0.16224657793808753,False
DefaultC-LimbicB,-0.10193310277481941,False
DefaultC-SalVentAttnA,-0.06873821302827421,False
DefaultC-SalVentAttnB,-0.11779718724641808,False
DefaultC-SomMotA,-0.08267194193944638,False
DefaultC-SomMotB,-0.07227406260434088,False
DefaultC-TempPar,0.296648335593484,False
DefaultC-VisCent,-0.019774062892372466,False
DefaultC-VisPeri,-0.09548722823319288,False
DorsAttnA-DorsAttnA,0.26200208494876814,True
DorsAttnA-DorsAttnB,0.09155565507579204,False
DorsAttnA-LimbicA,-0.0731611645880049,False
DorsAttnA-LimbicB,-0.11804413658297126,False
DorsAttnA-SalVentAttnA,0.03342296525949065,False
DorsAttnA-SalVentAttnB,-0.08600003498222275,False
DorsAttnA-SomMotA,0.01977471418845235,False
DorsAttnA-SomMotB,0.08810672279984487,False
DorsAttnA-TempPar,-0.031168182433566186,False
DorsAttnA-VisCent,0.0029719696267240044,False
DorsAttnA-VisPeri,0.04064983861447571,False
DorsAttnB-DorsAttnB,0.1248848730248108,True
DorsAttnB-LimbicA,0.027827659170183802,False
DorsAttnB-LimbicB,0.05078940378690863,False
DorsAttnB-SalVentAttnA,0.032355392552967696,False
