network_connection,fc,within_network
ContA-ContA,0.2953921122884708,True
ContA-ContB,0.17801311150060348,False
ContA-ContC,0.1367340295258437,False
ContA-DefaultA,0.14011976349975316,False
ContA-DefaultB,0.09625620285530982,False
ContA-DefaultC,0.019253950271444442,False
ContA-DorsAttnA,-0.040048205708992604,False
ContA-DorsAttnB,0.03221256571709471,False
ContA-LimbicA,0.2735919567825635,False
ContA-LimbicB,0.23398362820596244,False
ContA-SalVentAttnA,0.0243567890480388,False
ContA-SalVentAttnB,0.2586952915915885,False
ContA-SomMotA,-0.12956802250452917,False
ContA-SomMotB,-0.06078722675979587,False
ContA-TempPar,0.018241331757048087,False
ContA-VisCent,0.020652406517740467,False
ContA-VisPeri,-0.10423370747220659,False
ContB-ContB,0.2057337859402182,True
ContB-ContC,0.1267247090887617,False
ContB-DefaultA,0.10904149232216574,False
ContB-DefaultB,0.10703361868458439,False
ContB-DefaultC,0.14107463731778894,False
ContB-DorsAttnA,-0.004084149590907676,False
ContB-DorsAttnB,0.055421476915061336,False
ContB-LimbicA,0.15381935805947994,False
ContB-LimbicB,0.13568986735160654,False
ContB-SalVentAttnA,-0.004005861982320741,False
ContB-SalVentAttnB,0.13433642170230975,False
ContB-SomMotA,-0.11169851181257286,False
ContB-SomMotB,-0.045145326407713765,False
ContB-TempPar,0.16360807228971297,False
ContB-VisCent,0.020397808413801576,False
ContB-VisPeri,-0.11025339701397686,False
ContC-ContC,0.3054943738278784,True
ContC-DefaultA,0.26901479086032426,False
ContC-DefaultB,0.2092853910063697,False
ContC-DefaultC,0.07830529797521152,False
ContC-DorsAttnA,-0.08066557583525778,False
ContC-DorsAttnB,-0.00011245892888563792,False
ContC-LimbicA,0.1760650006000478,False
ContC-LimbicB,0.1955816461889511,False
ContC-SalVentAttnA,0.0237615290930649,False
ContC-SalVentAttnB,0.2389433975043286,False
ContC-SomMotA,-0.046422558110116294,False
ContC-SomMotB,-0.06013922744548745,False
ContC-TempPar,0.06698637898710628,False
ContC-VisCent,0.033672048479069586,False
ContC-VisPeri,-0.044060947445045295,False
DefaultA-DefaultA,0.25984063639935273,True
DefaultA-DefaultB,0.2225777685764755,False
DefaultA-DefaultC,0.09098496347037716,False
DefaultA-DorsAttnA,-0.0998915553190362,False
DefaultA-DorsAttnB,-0.029459567082647332,False
DefaultA-LimbicA,0.1556888990010641,False
DefaultA-LimbicB,0.1758128136878794,False
DefaultA-SalVentAttnA,0.014636363410260518,False
DefaultA-SalVentAttnB,0.20101596342496464,False
DefaultA-SomMotA,-0.03154329296113064,False
DefaultA-SomMotB,-0.04385674498549257,False
DefaultA-TempPar,0.09453758006629814,False
DefaultA-VisCent,0.03917952230739118,False
DefaultA-VisPeri,-0.06473512727537653,False
DefaultB-DefaultB,0.24817459026319352,True
DefaultB-DefaultC,0.21088943683786743,False
DefaultB-DorsAttnA,-0.1203590535781452,False
DefaultB-DorsAttnB,-0.06380414177956956,False
DefaultB-LimbicA,0.08912108537787182,False
DefaultB-LimbicB,0.10649586739829714,False
DefaultB-SalVentAttnA,-0.011257624188440885,False
DefaultB-SalVentAttnB,0.11011154413338475,False
DefaultB-SomMotA,-0.0319078023085673,False
DefaultB-SomMotB,-0.05104532111241185,False
DefaultB-TempPar,0.1904537762033502,False
DefaultB-VisCent,0.02898881293459618,False
DefaultB-VisPeri,-0.08097727135892611,False
DefaultC-DefaultC,0.38313133881937494,True
DefaultC-DorsAttnA,-0.10152385957405007,False
DefaultC-DorsAttnB,-0.04350114403977352,False
DefaultC-LimbicA,-0.01889491528756165,False
DefaultC-LimbicB,0.018088631014305787,False
DefaultC-SalVentAttnA,-0.029981306866395132,False
DefaultC-SalVentAttnB,-0.023031784775446134,False
DefaultC-SomMotA,-0.022040213198832686,False
DefaultC-SomMotB,-0.03656697511796944,False
DefaultC-TempPar,0.36327268842800586,False
DefaultC-VisCent,0.04533874973800193,False
DefaultC-VisPeri,-0.06082035711335023,False
DorsAttnA-DorsAttnA,0.20497383812990036,True
DorsAttnA-DorsAttnB,0.12591373178769222,False
DorsAttnA-LimbicA,-0.033259994449789304,False
DorsAttnA-LimbicB,-0.06769858709255897,False
DorsAttnA-SalVentAttnA,0.03251895452372057,False
DorsAttnA-SalVentAttnB,-0.049776787874463026,False
DorsAttnA-SomMotA,0.016010463952737634,False
DorsAttnA-SomMotB,0.06846464985869263,False
DorsAttnA-TempPar,-0.10015813671334135,False
DorsAttnA-VisCent,-0.03015157127643277,False
DorsAttnA-VisPeri,0.032012648620670346,False
DorsAttnB-DorsAttnB,0.13491758439036772,True
DorsAttnB-LimbicA,0.04176486858301789,False
DorsAttnB-LimbicB,0.034450499987715606,False
DorsAttnB-SalVentAttnA,0.02810155216151938,False
DorsAttnB-SalVentAttnB,0.052733388052948645,False
DorsAttnB-SomMotA,-0.021408334787164484,False
DorsAttnB-SomMotB,-0.00838840601006174,False
DorsAttnB-TempPar,-0.05457159458799251,False
DorsAttnB-VisCent,0.014320732598609848,False
DorsAttnB-VisPeri,0.035547696974495294,False
LimbicA-LimbicA,0.2544534081300513,True
LimbicA-LimbicB,0.2449241396553002,False
LimbicA-SalVentAttnA,0.04220799765021274,False
LimbicA-SalVentAttnB,0.28170988757007737,False
LimbicA-SomMotA,-0.11297682244564682,False
